Attribute,Attribute Value,Lower Limit Score,Upper Limit Score,Conditional Frequency,Individuals Evaluated On,fold_num
race,African-American,0.0,0.1,,0,0
race,Hispanic,0.0,0.1,,0,0
race,Caucasian,0.0,0.1,,0,0
race,Other,0.0,0.1,,0,0
race,Other,0.0,0.1,,0,1
race,Caucasian,0.0,0.1,,0,1
race,African-American,0.0,0.1,,0,1
race,Hispanic,0.0,0.1,,0,1
race,African-American,0.0,0.1,,0,2
race,Other,0.0,0.1,,0,2
race,Caucasian,0.0,0.1,,0,2
race,Hispanic,0.0,0.1,,0,2
race,African-American,0.0,0.1,,0,3
race,Caucasian,0.0,0.1,,0,3
race,Hispanic,0.0,0.1,,0,3
race,Other,0.0,0.1,,0,3
race,Caucasian,0.0,0.1,,0,4
race,African-American,0.0,0.1,,0,4
race,Hispanic,0.0,0.1,,0,4
race,Other,0.0,0.1,,0,4
race,African-American,0.1,0.2,,0,0
race,Hispanic,0.1,0.2,,0,0
race,Caucasian,0.1,0.2,,0,0
race,Other,0.1,0.2,,0,0
race,Other,0.1,0.2,,0,1
race,Caucasian,0.1,0.2,,0,1
race,African-American,0.1,0.2,,0,1
race,Hispanic,0.1,0.2,,0,1
race,African-American,0.1,0.2,,0,2
race,Other,0.1,0.2,,0,2
race,Caucasian,0.1,0.2,,0,2
race,Hispanic,0.1,0.2,,0,2
race,African-American,0.1,0.2,,0,3
race,Caucasian,0.1,0.2,,0,3
race,Hispanic,0.1,0.2,,0,3
race,Other,0.1,0.2,,0,3
race,Caucasian,0.1,0.2,0.0,3,4
race,African-American,0.1,0.2,,0,4
race,Hispanic,0.1,0.2,,0,4
race,Other,0.1,0.2,,0,4
race,African-American,0.2,0.3,0.0,1,0
race,Hispanic,0.2,0.3,,0,0
race,Caucasian,0.2,0.3,0.0,5,0
race,Other,0.2,0.3,,0,0
race,Other,0.2,0.3,,0,1
race,Caucasian,0.2,0.3,,0,1
race,African-American,0.2,0.3,,0,1
race,Hispanic,0.2,0.3,,0,1
race,African-American,0.2,0.3,,0,2
race,Other,0.2,0.3,,0,2
race,Caucasian,0.2,0.3,0.0,1,2
race,Hispanic,0.2,0.3,,0,2
race,African-American,0.2,0.3,,0,3
race,Caucasian,0.2,0.3,,0,3
race,Hispanic,0.2,0.3,,0,3
race,Other,0.2,0.3,,0,3
race,Caucasian,0.2,0.3,0.0,11,4
race,African-American,0.2,0.3,0.14285714285714285,7,4
race,Hispanic,0.2,0.3,0.0,2,4
race,Other,0.2,0.3,0.0,1,4
race,African-American,0.3,0.4,0.0,31,0
race,Hispanic,0.3,0.4,0.0,7,0
race,Caucasian,0.3,0.4,0.15151515151515152,33,0
race,Other,0.3,0.4,0.0,7,0
race,Other,0.3,0.4,,0,1
race,Caucasian,0.3,0.4,,0,1
race,African-American,0.3,0.4,,0,1
race,Hispanic,0.3,0.4,,0,1
race,African-American,0.3,0.4,0.0,3,2
race,Other,0.3,0.4,0.0,2,2
race,Caucasian,0.3,0.4,0.0,10,2
race,Hispanic,0.3,0.4,0.0,1,2
race,African-American,0.3,0.4,,0,3
race,Caucasian,0.3,0.4,,0,3
race,Hispanic,0.3,0.4,0.0,1,3
race,Other,0.3,0.4,,0,3
race,Caucasian,0.3,0.4,0.1,30,4
race,African-American,0.3,0.4,0.12121212121212122,33,4
race,Hispanic,0.3,0.4,0.0,8,4
race,Other,0.3,0.4,0.0,9,4
race,African-American,0.4,0.5,0.11392405063291139,79,0
race,Hispanic,0.4,0.5,0.0,8,0
race,Caucasian,0.4,0.5,0.08928571428571429,56,0
race,Other,0.4,0.5,0.14285714285714285,7,0
race,Other,0.4,0.5,0.0,9,1
race,Caucasian,0.4,0.5,0.08433734939759036,83,1
race,African-American,0.4,0.5,0.05454545454545454,110,1
race,Hispanic,0.4,0.5,0.058823529411764705,17,1
race,African-American,0.4,0.5,0.1111111111111111,18,2
race,Other,0.4,0.5,0.0,2,2
race,Caucasian,0.4,0.5,0.0,22,2
race,Hispanic,0.4,0.5,0.0,5,2
race,African-American,0.4,0.5,0.08823529411764706,34,3
race,Caucasian,0.4,0.5,0.07894736842105263,38,3
race,Hispanic,0.4,0.5,0.0,9,3
race,Other,0.4,0.5,0.0,4,3
race,Caucasian,0.4,0.5,0.23809523809523808,21,4
race,African-American,0.4,0.5,0.1111111111111111,72,4
race,Hispanic,0.4,0.5,0.0,8,4
race,Other,0.4,0.5,0.0,8,4
race,African-American,0.5,0.6,0.06153846153846154,65,0
race,Hispanic,0.5,0.6,0.0,7,0
race,Caucasian,0.5,0.6,0.13333333333333333,15,0
race,Other,0.5,0.6,0.0,5,0
race,Other,0.5,0.6,0.0,4,1
race,Caucasian,0.5,0.6,0.05128205128205128,39,1
race,African-American,0.5,0.6,0.16129032258064516,93,1
race,Hispanic,0.5,0.6,0.0,7,1
