Attribute,Attribute Value,Lower Limit Score,Upper Limit Score,Conditional Frequency,Individuals Evaluated On,fold_num
race,African-American,0.0,0.1,,0,0
race,Hispanic,0.0,0.1,,0,0
race,Caucasian,0.0,0.1,,0,0
race,Other,0.0,0.1,,0,0
race,Other,0.0,0.1,,0,1
race,Caucasian,0.0,0.1,,0,1
race,African-American,0.0,0.1,,0,1
race,Hispanic,0.0,0.1,,0,1
race,African-American,0.0,0.1,,0,2
race,Other,0.0,0.1,,0,2
race,Caucasian,0.0,0.1,,0,2
race,Hispanic,0.0,0.1,,0,2
race,African-American,0.0,0.1,,0,3
race,Caucasian,0.0,0.1,,0,3
race,Hispanic,0.0,0.1,,0,3
race,Other,0.0,0.1,,0,3
race,Caucasian,0.0,0.1,,0,4
race,African-American,0.0,0.1,,0,4
race,Hispanic,0.0,0.1,,0,4
race,Other,0.0,0.1,,0,4
race,African-American,0.1,0.2,,0,0
race,Hispanic,0.1,0.2,,0,0
race,Caucasian,0.1,0.2,,0,0
race,Other,0.1,0.2,,0,0
race,Other,0.1,0.2,,0,1
race,Caucasian,0.1,0.2,,0,1
race,African-American,0.1,0.2,,0,1
race,Hispanic,0.1,0.2,,0,1
race,African-American,0.1,0.2,,0,2
race,Other,0.1,0.2,,0,2
race,Caucasian,0.1,0.2,,0,2
race,Hispanic,0.1,0.2,,0,2
race,African-American,0.1,0.2,,0,3
race,Caucasian,0.1,0.2,,0,3
race,Hispanic,0.1,0.2,,0,3
race,Other,0.1,0.2,,0,3
race,Caucasian,0.1,0.2,,0,4
race,African-American,0.1,0.2,,0,4
race,Hispanic,0.1,0.2,,0,4
race,Other,0.1,0.2,,0,4
race,African-American,0.2,0.3,,0,0
race,Hispanic,0.2,0.3,,0,0
race,Caucasian,0.2,0.3,,0,0
race,Other,0.2,0.3,,0,0
race,Other,0.2,0.3,,0,1
race,Caucasian,0.2,0.3,,0,1
race,African-American,0.2,0.3,,0,1
race,Hispanic,0.2,0.3,,0,1
race,African-American,0.2,0.3,,0,2
race,Other,0.2,0.3,,0,2
race,Caucasian,0.2,0.3,,0,2
race,Hispanic,0.2,0.3,,0,2
race,African-American,0.2,0.3,,0,3
race,Caucasian,0.2,0.3,,0,3
race,Hispanic,0.2,0.3,,0,3
race,Other,0.2,0.3,,0,3
race,Caucasian,0.2,0.3,,0,4
race,African-American,0.2,0.3,,0,4
race,Hispanic,0.2,0.3,,0,4
race,Other,0.2,0.3,,0,4
race,African-American,0.3,0.4,,0,0
race,Hispanic,0.3,0.4,,0,0
race,Caucasian,0.3,0.4,,0,0
race,Other,0.3,0.4,,0,0
race,Other,0.3,0.4,,0,1
race,Caucasian,0.3,0.4,0.0,2,1
race,African-American,0.3,0.4,,0,1
race,Hispanic,0.3,0.4,0.0,2,1
race,African-American,0.3,0.4,,0,2
race,Other,0.3,0.4,,0,2
race,Caucasian,0.3,0.4,,0,2
race,Hispanic,0.3,0.4,,0,2
race,African-American,0.3,0.4,,0,3
race,Caucasian,0.3,0.4,,0,3
race,Hispanic,0.3,0.4,,0,3
race,Other,0.3,0.4,,0,3
race,Caucasian,0.3,0.4,,0,4
race,African-American,0.3,0.4,,0,4
race,Hispanic,0.3,0.4,,0,4
race,Other,0.3,0.4,,0,4
race,African-American,0.4,0.5,0.09090909090909091,11,0
race,Hispanic,0.4,0.5,0.0,3,0
race,Caucasian,0.4,0.5,0.125,16,0
race,Other,0.4,0.5,0.0,1,0
race,Other,0.4,0.5,0.0,1,1
race,Caucasian,0.4,0.5,0.08333333333333333,12,1
race,African-American,0.4,0.5,0.08333333333333333,12,1
race,Hispanic,0.4,0.5,0.5,2,1
race,African-American,0.4,0.5,0.14285714285714285,7,2
race,Other,0.4,0.5,0.0,2,2
race,Caucasian,0.4,0.5,0.0,16,2
race,Hispanic,0.4,0.5,0.0,3,2
race,African-American,0.4,0.5,0.0,24,3
race,Caucasian,0.4,0.5,0.16666666666666666,24,3
race,Hispanic,0.4,0.5,0.0,9,3
race,Other,0.4,0.5,0.0,2,3
race,Caucasian,0.4,0.5,0.07692307692307693,13,4
race,African-American,0.4,0.5,0.4,5,4
race,Hispanic,0.4,0.5,0.0,2,4
race,Other,0.4,0.5,1.0,1,4
race,African-American,0.5,0.6,0.13636363636363635,66,0
race,Hispanic,0.5,0.6,0.0,11,0
race,Caucasian,0.5,0.6,0.19607843137254902,51,0
race,Other,0.5,0.6,0.1,10,0
race,Other,0.5,0.6,0.0,3,1
race,Caucasian,0.5,0.6,0.16666666666666666,42,1
race,African-American,0.5,0.6,0.14583333333333334,48,1
race,Hispanic,0.5,0.6,0.5,4,1
race,African-American,0.5,0.6,0.1232876712328767,73,2
race,Other,0.5,0.6,0.125,8,2
race,Caucasian,0.5,0.6,0.17307692307692307,52,2
race,Hispanic,0.5,0.6,0.14285714285714285,7,2
