Attribute,Attribute Value,Lower Limit Score,Upper Limit Score,Conditional Frequency,Individuals Evaluated On,fold_num
race,African-American,0.0,0.1,0.0625,32,0
race,Hispanic,0.0,0.1,0.0,8,0
race,Caucasian,0.0,0.1,0.09523809523809523,42,0
race,Other,0.0,0.1,0.0,5,0
race,Other,0.0,0.1,0.0,1,1
race,Caucasian,0.0,0.1,0.034482758620689655,29,1
race,African-American,0.0,0.1,0.11627906976744186,43,1
race,Hispanic,0.0,0.1,0.0,4,1
race,African-American,0.0,0.1,0.03125,32,2
race,Other,0.0,0.1,0.0,2,2
race,Caucasian,0.0,0.1,0.13043478260869565,46,2
race,Hispanic,0.0,0.1,0.0,2,2
race,African-American,0.0,0.1,0.03333333333333333,30,3
race,Caucasian,0.0,0.1,0.17857142857142858,28,3
race,Hispanic,0.0,0.1,0.0,5,3
race,Other,0.0,0.1,0.0,7,3
race,Caucasian,0.0,0.1,0.1111111111111111,45,4
race,African-American,0.0,0.1,0.14666666666666667,75,4
race,Hispanic,0.0,0.1,0.0,15,4
race,Other,0.0,0.1,0.15384615384615385,13,4
race,African-American,0.1,0.2,0.14285714285714285,126,0
race,Hispanic,0.1,0.2,0.06666666666666667,15,0
race,Caucasian,0.1,0.2,0.07142857142857142,70,0
race,Other,0.1,0.2,0.07142857142857142,14,0
race,Other,0.1,0.2,0.09090909090909091,11,1
race,Caucasian,0.1,0.2,0.10526315789473684,76,1
race,African-American,0.1,0.2,0.09166666666666666,120,1
race,Hispanic,0.1,0.2,0.10526315789473684,19,1
race,African-American,0.1,0.2,0.12396694214876033,121,2
race,Other,0.1,0.2,0.25,12,2
race,Caucasian,0.1,0.2,0.1206896551724138,58,2
race,Hispanic,0.1,0.2,0.13333333333333333,15,2
race,African-American,0.1,0.2,0.16363636363636364,110,3
race,Caucasian,0.1,0.2,0.10666666666666667,75,3
race,Hispanic,0.1,0.2,0.0,17,3
race,Other,0.1,0.2,0.1111111111111111,9,3
race,Caucasian,0.1,0.2,0.10810810810810811,37,4
race,African-American,0.1,0.2,0.10891089108910891,101,4
race,Hispanic,0.1,0.2,0.0,9,4
race,Other,0.1,0.2,0.1,10,4
race,African-American,0.2,0.3,0.22580645161290322,62,0
race,Hispanic,0.2,0.3,0.0,1,0
race,Caucasian,0.2,0.3,0.25,12,0
race,Other,0.2,0.3,0.0,4,0
race,Other,0.2,0.3,0.5,2,1
