Attribute,Attribute Value,Lower Limit Score,Upper Limit Score,Conditional Frequency,Individuals Evaluated On,fold_num
race,African-American,0.0,0.1,0.022988505747126436,174,0
race,Hispanic,0.0,0.1,0.0,19,0
race,Caucasian,0.0,0.1,0.045871559633027525,109,0
race,Other,0.0,0.1,0.0,21,0
race,Other,0.0,0.1,0.0,12,1
race,Caucasian,0.0,0.1,0.02654867256637168,113,1
race,African-American,0.0,0.1,0.03888888888888889,180,1
race,Hispanic,0.0,0.1,0.045454545454545456,22,1
race,African-American,0.0,0.1,0.03783783783783784,185,2
race,Other,0.0,0.1,0.0,16,2
race,Caucasian,0.0,0.1,0.04132231404958678,121,2
race,Hispanic,0.0,0.1,0.0,17,2
race,African-American,0.0,0.1,0.043010752688172046,186,3
race,Caucasian,0.0,0.1,0.057692307692307696,104,3
race,Hispanic,0.0,0.1,0.0,27,3
race,Other,0.0,0.1,0.05555555555555555,18,3
race,Caucasian,0.0,0.1,0.023809523809523808,84,4
race,African-American,0.0,0.1,0.041025641025641026,195,4
race,Hispanic,0.0,0.1,0.0,25,4
race,Other,0.0,0.1,0.0,24,4
race,African-American,0.1,0.2,0.125,40,0
race,Hispanic,0.1,0.2,0.0,5,0
race,Caucasian,0.1,0.2,0.07142857142857142,14,0
race,Other,0.1,0.2,0.0,2,0
race,Other,0.1,0.2,0.0,2,1
race,Caucasian,0.1,0.2,0.1111111111111111,9,1
race,African-American,0.1,0.2,0.15789473684210525,38,1
race,Hispanic,0.1,0.2,0.0,4,1
race,African-American,0.1,0.2,0.16666666666666666,36,2
race,Other,0.1,0.2,0.0,3,2
race,Caucasian,0.1,0.2,0.375,8,2
race,Hispanic,0.1,0.2,0.0,2,2
race,African-American,0.1,0.2,0.05263157894736842,38,3
race,Caucasian,0.1,0.2,0.1875,16,3
race,Hispanic,0.1,0.2,0.0,2,3
race,Other,0.1,0.2,,0,3
race,Caucasian,0.1,0.2,0.3333333333333333,15,4
race,African-American,0.1,0.2,0.15,40,4
race,Hispanic,0.1,0.2,0.3333333333333333,3,4
race,Other,0.1,0.2,0.25,4,4
race,African-American,0.2,0.3,,0,0
race,Hispanic,0.2,0.3,,0,0
race,Caucasian,0.2,0.3,,0,0
race,Other,0.2,0.3,,0,0
race,Other,0.2,0.3,,0,1
race,Caucasian,0.2,0.3,,0,1
race,African-American,0.2,0.3,,0,1
race,Hispanic,0.2,0.3,,0,1
race,African-American,0.2,0.3,,0,2
race,Other,0.2,0.3,,0,2
race,Caucasian,0.2,0.3,,0,2
race,Hispanic,0.2,0.3,,0,2
race,African-American,0.2,0.3,,0,3
race,Caucasian,0.2,0.3,,0,3
race,Hispanic,0.2,0.3,,0,3
race,Other,0.2,0.3,,0,3
