Attribute,Attribute Value,Lower Limit Score,Upper Limit Score,Conditional Frequency,Individuals Evaluated On,fold_num
race,African-American,0.0,0.1,,0,0
race,Hispanic,0.0,0.1,,0,0
race,Caucasian,0.0,0.1,,0,0
race,Other,0.0,0.1,,0,0
race,Other,0.0,0.1,,0,1
race,Caucasian,0.0,0.1,0.0,1,1
race,African-American,0.0,0.1,,0,1
race,Hispanic,0.0,0.1,,0,1
race,African-American,0.0,0.1,,0,2
race,Other,0.0,0.1,,0,2
race,Caucasian,0.0,0.1,,0,2
race,Hispanic,0.0,0.1,,0,2
race,African-American,0.0,0.1,,0,3
race,Caucasian,0.0,0.1,,0,3
race,Hispanic,0.0,0.1,,0,3
race,Other,0.0,0.1,,0,3
race,Caucasian,0.0,0.1,,0,4
race,African-American,0.0,0.1,,0,4
race,Hispanic,0.0,0.1,,0,4
race,Other,0.0,0.1,,0,4
race,African-American,0.1,0.2,,0,0
race,Hispanic,0.1,0.2,,0,0
race,Caucasian,0.1,0.2,0.0,2,0
race,Other,0.1,0.2,,0,0
race,Other,0.1,0.2,0.0,3,1
race,Caucasian,0.1,0.2,0.05,20,1
race,African-American,0.1,0.2,0.06666666666666667,15,1
race,Hispanic,0.1,0.2,0.0,3,1
race,African-American,0.1,0.2,0.16666666666666666,6,2
race,Other,0.1,0.2,0.0,3,2
race,Caucasian,0.1,0.2,0.0,13,2
race,Hispanic,0.1,0.2,0.0,1,2
race,African-American,0.1,0.2,,0,3
race,Caucasian,0.1,0.2,0.0,1,3
race,Hispanic,0.1,0.2,,0,3
race,Other,0.1,0.2,0.0,1,3
race,Caucasian,0.1,0.2,0.0,13,4
race,African-American,0.1,0.2,0.0,11,4
race,Hispanic,0.1,0.2,0.0,2,4
race,Other,0.1,0.2,0.0,1,4
race,African-American,0.2,0.3,0.0,31,0
race,Hispanic,0.2,0.3,0.0,4,0
race,Caucasian,0.2,0.3,0.034482758620689655,29,0
race,Other,0.2,0.3,0.0,9,0
race,Other,0.2,0.3,0.0,2,1
race,Caucasian,0.2,0.3,0.043478260869565216,23,1
race,African-American,0.2,0.3,0.024390243902439025,41,1
race,Hispanic,0.2,0.3,0.0,6,1
race,African-American,0.2,0.3,0.0,35,2
race,Other,0.2,0.3,,0,2
race,Caucasian,0.2,0.3,0.0,24,2
race,Hispanic,0.2,0.3,0.0,6,2
race,African-American,0.2,0.3,0.03225806451612903,31,3
race,Caucasian,0.2,0.3,0.0,23,3
race,Hispanic,0.2,0.3,0.0,7,3
race,Other,0.2,0.3,0.0,1,3
race,Caucasian,0.2,0.3,0.0,20,4
race,African-American,0.2,0.3,0.0,45,4
race,Hispanic,0.2,0.3,0.0,9,4
race,Other,0.2,0.3,0.0,7,4
race,African-American,0.3,0.4,0.01818181818181818,55,0
race,Hispanic,0.3,0.4,0.0,11,0
race,Caucasian,0.3,0.4,0.045454545454545456,44,0
race,Other,0.3,0.4,0.0,5,0
race,Other,0.3,0.4,0.0,1,1
race,Caucasian,0.3,0.4,0.0,35,1
race,African-American,0.3,0.4,0.0,47,1
race,Hispanic,0.3,0.4,0.0,4,1
race,African-American,0.3,0.4,0.017241379310344827,58,2
race,Other,0.3,0.4,0.0,8,2
race,Caucasian,0.3,0.4,0.0,48,2
race,Hispanic,0.3,0.4,0.0,5,2
race,African-American,0.3,0.4,0.014285714285714285,70,3
race,Caucasian,0.3,0.4,0.06976744186046512,43,3
race,Hispanic,0.3,0.4,0.0,12,3
race,Other,0.3,0.4,0.0,10,3
race,Caucasian,0.3,0.4,0.0,24,4
race,African-American,0.3,0.4,0.041666666666666664,48,4
race,Hispanic,0.3,0.4,0.0,4,4
race,Other,0.3,0.4,0.0,5,4
race,African-American,0.4,0.5,0.017857142857142856,56,0
race,Hispanic,0.4,0.5,0.0,3,0
race,Caucasian,0.4,0.5,0.1111111111111111,18,0
race,Other,0.4,0.5,0.0,3,0
race,Other,0.4,0.5,0.0,4,1
race,Caucasian,0.4,0.5,0.045454545454545456,22,1
race,African-American,0.4,0.5,0.06976744186046512,43,1
race,Hispanic,0.4,0.5,0.0,4,1
race,African-American,0.4,0.5,0.05555555555555555,54,2
race,Other,0.4,0.5,0.0,1,2
race,Caucasian,0.4,0.5,0.13043478260869565,23,2
race,Hispanic,0.4,0.5,0.0,2,2
race,African-American,0.4,0.5,0.07575757575757576,66,3
race,Caucasian,0.4,0.5,0.03571428571428571,28,3
race,Hispanic,0.4,0.5,0.0,5,3
race,Other,0.4,0.5,0.0,4,3
race,Caucasian,0.4,0.5,0.13333333333333333,15,4
race,African-American,0.4,0.5,0.10204081632653061,49,4
race,Hispanic,0.4,0.5,0.0,2,4
race,Other,0.4,0.5,0.0,6,4
race,African-American,0.5,0.6,0.0,26,0
race,Hispanic,0.5,0.6,0.0,1,0
race,Caucasian,0.5,0.6,0.0,16,0
