Attribute,Attribute Value,Lower Limit Score,Upper Limit Score,Conditional Frequency,Individuals Evaluated On,fold_num
race,African-American,0.0,0.1,,0,0
race,Hispanic,0.0,0.1,,0,0
race,Caucasian,0.0,0.1,,0,0
race,Other,0.0,0.1,,0,0
race,Other,0.0,0.1,,0,1
race,Caucasian,0.0,0.1,,0,1
race,African-American,0.0,0.1,,0,1
race,Hispanic,0.0,0.1,,0,1
race,African-American,0.0,0.1,,0,2
race,Other,0.0,0.1,,0,2
race,Caucasian,0.0,0.1,,0,2
race,Hispanic,0.0,0.1,,0,2
race,African-American,0.0,0.1,,0,3
race,Caucasian,0.0,0.1,,0,3
race,Hispanic,0.0,0.1,,0,3
race,Other,0.0,0.1,,0,3
race,Caucasian,0.0,0.1,,0,4
race,African-American,0.0,0.1,,0,4
race,Hispanic,0.0,0.1,,0,4
race,Other,0.0,0.1,,0,4
race,African-American,0.1,0.2,,0,0
race,Hispanic,0.1,0.2,,0,0
race,Caucasian,0.1,0.2,,0,0
race,Other,0.1,0.2,,0,0
race,Other,0.1,0.2,,0,1
race,Caucasian,0.1,0.2,,0,1
race,African-American,0.1,0.2,,0,1
race,Hispanic,0.1,0.2,,0,1
race,African-American,0.1,0.2,,0,2
race,Other,0.1,0.2,,0,2
race,Caucasian,0.1,0.2,,0,2
race,Hispanic,0.1,0.2,,0,2
race,African-American,0.1,0.2,,0,3
race,Caucasian,0.1,0.2,,0,3
race,Hispanic,0.1,0.2,,0,3
race,Other,0.1,0.2,,0,3
race,Caucasian,0.1,0.2,,0,4
race,African-American,0.1,0.2,,0,4
race,Hispanic,0.1,0.2,,0,4
race,Other,0.1,0.2,,0,4
race,African-American,0.2,0.3,0.0,11,0
race,Hispanic,0.2,0.3,0.0,1,0
race,Caucasian,0.2,0.3,0.0,7,0
race,Other,0.2,0.3,0.0,2,0
race,Other,0.2,0.3,0.0,1,1
race,Caucasian,0.2,0.3,0.06666666666666667,15,1
race,African-American,0.2,0.3,0.041666666666666664,24,1
race,Hispanic,0.2,0.3,0.0,4,1
race,African-American,0.2,0.3,,0,2
race,Other,0.2,0.3,0.0,1,2
race,Caucasian,0.2,0.3,0.0,1,2
race,Hispanic,0.2,0.3,0.0,1,2
race,African-American,0.2,0.3,,0,3
race,Caucasian,0.2,0.3,,0,3
race,Hispanic,0.2,0.3,,0,3
race,Other,0.2,0.3,,0,3
race,Caucasian,0.2,0.3,0.0,19,4
race,African-American,0.2,0.3,0.08571428571428572,35,4
race,Hispanic,0.2,0.3,0.0,6,4
race,Other,0.2,0.3,0.0,3,4
race,African-American,0.3,0.4,0.02040816326530612,49,0
race,Hispanic,0.3,0.4,0.0,5,0
race,Caucasian,0.3,0.4,0.0,33,0
race,Other,0.3,0.4,0.0,5,0
race,Other,0.3,0.4,0.0,3,1
race,Caucasian,0.3,0.4,0.029411764705882353,34,1
race,African-American,0.3,0.4,0.08695652173913043,46,1
race,Hispanic,0.3,0.4,0.0,3,1
race,African-American,0.3,0.4,0.10344827586206896,29,2
race,Other,0.3,0.4,0.0,1,2
race,Caucasian,0.3,0.4,0.0,22,2
race,Hispanic,0.3,0.4,0.0,2,2
race,African-American,0.3,0.4,,0,3
race,Caucasian,0.3,0.4,,0,3
race,Hispanic,0.3,0.4,,0,3
race,Other,0.3,0.4,,0,3
race,Caucasian,0.3,0.4,0.0,20,4
race,African-American,0.3,0.4,0.019230769230769232,52,4
race,Hispanic,0.3,0.4,0.0,7,4
race,Other,0.3,0.4,0.0,6,4
race,African-American,0.4,0.5,0.08823529411764706,68,0
race,Hispanic,0.4,0.5,0.0,8,0
race,Caucasian,0.4,0.5,0.09302325581395349,43,0
race,Other,0.4,0.5,0.14285714285714285,7,0
race,Other,0.4,0.5,0.0,1,1
race,Caucasian,0.4,0.5,0.07142857142857142,28,1
race,African-American,0.4,0.5,0.044444444444444446,45,1
race,Hispanic,0.4,0.5,0.0,6,1
race,African-American,0.4,0.5,0.0,41,2
race,Other,0.4,0.5,0.0,3,2
race,Caucasian,0.4,0.5,0.03571428571428571,28,2
race,Hispanic,0.4,0.5,0.0,6,2
race,African-American,0.4,0.5,0.02247191011235955,89,3
race,Caucasian,0.4,0.5,0.02564102564102564,39,3
race,Hispanic,0.4,0.5,0.07142857142857142,14,3
race,Other,0.4,0.5,0.0,9,3
race,Caucasian,0.4,0.5,0.15,20,4
race,African-American,0.4,0.5,0.13793103448275862,58,4
race,Hispanic,0.4,0.5,0.0,10,4
race,Other,0.4,0.5,0.0,9,4
race,African-American,0.5,0.6,0.08064516129032258,62,0
race,Hispanic,0.5,0.6,0.0,7,0
race,Caucasian,0.5,0.6,0.09090909090909091,22,0
race,Other,0.5,0.6,0.14285714285714285,7,0
race,Other,0.5,0.6,0.0,6,1
race,Caucasian,0.5,0.6,0.0,33,1
