Attribute,Attribute Value,Lower Limit Score,Upper Limit Score,Conditional Frequency,Individuals Evaluated On,fold_num
race,African-American,0.0,0.1,0.096,125,0
race,Hispanic,0.0,0.1,0.0,18,0
race,Caucasian,0.0,0.1,0.0759493670886076,79,0
race,Other,0.0,0.1,0.07142857142857142,14,0
race,Other,0.0,0.1,0.0,10,1
race,Caucasian,0.0,0.1,0.02631578947368421,76,1
race,African-American,0.0,0.1,0.02727272727272727,110,1
race,Hispanic,0.0,0.1,0.0625,16,1
race,African-American,0.0,0.1,0.03389830508474576,118,2
race,Other,0.0,0.1,0.21428571428571427,14,2
race,Caucasian,0.0,0.1,0.038461538461538464,78,2
race,Hispanic,0.0,0.1,0.0,11,2
race,African-American,0.0,0.1,0.021739130434782608,92,3
race,Caucasian,0.0,0.1,0.05333333333333334,75,3
race,Hispanic,0.0,0.1,0.0,18,3
race,Other,0.0,0.1,0.0,9,3
race,Caucasian,0.0,0.1,0.015873015873015872,63,4
race,African-American,0.0,0.1,0.04716981132075472,106,4
race,Hispanic,0.0,0.1,0.05555555555555555,18,4
race,Other,0.0,0.1,0.0,17,4
race,African-American,0.1,0.2,0.2545454545454545,55,0
race,Hispanic,0.1,0.2,0.0,3,0
race,Caucasian,0.1,0.2,0.13513513513513514,37,0
race,Other,0.1,0.2,0.0,2,0
race,Other,0.1,0.2,0.0,3,1
race,Caucasian,0.1,0.2,0.05714285714285714,35,1
race,African-American,0.1,0.2,0.12195121951219512,82,1
race,Hispanic,0.1,0.2,0.0,8,1
race,African-American,0.1,0.2,0.1891891891891892,74,2
race,Other,0.1,0.2,0.2,5,2
race,Caucasian,0.1,0.2,0.09302325581395349,43,2
race,Hispanic,0.1,0.2,0.0,6,2
race,African-American,0.1,0.2,0.15730337078651685,89,3
race,Caucasian,0.1,0.2,0.05555555555555555,36,3
race,Hispanic,0.1,0.2,0.2,5,3
race,Other,0.1,0.2,0.0,7,3
race,Caucasian,0.1,0.2,0.16666666666666666,30,4
race,African-American,0.1,0.2,0.10227272727272728,88,4
race,Hispanic,0.1,0.2,0.0,4,4
race,Other,0.1,0.2,0.0,9,4
race,African-American,0.2,0.3,0.25,40,0
race,Hispanic,0.2,0.3,0.0,3,0
race,Caucasian,0.2,0.3,0.0,8,0
race,Other,0.2,0.3,0.0,7,0
race,Other,0.2,0.3,0.0,1,1
race,Caucasian,0.2,0.3,0.1875,16,1
race,African-American,0.2,0.3,0.1935483870967742,31,1
race,Hispanic,0.2,0.3,0.3333333333333333,3,1
race,African-American,0.2,0.3,0.23333333333333334,30,2
race,Other,0.2,0.3,,0,2
race,Caucasian,0.2,0.3,0.3,10,2
race,Hispanic,0.2,0.3,0.5,2,2
race,African-American,0.2,0.3,0.13953488372093023,43,3
race,Caucasian,0.2,0.3,0.4444444444444444,9,3
race,Hispanic,0.2,0.3,0.16666666666666666,6,3
race,Other,0.2,0.3,1.0,2,3
race,Caucasian,0.2,0.3,0.0,6,4
race,African-American,0.2,0.3,0.21951219512195122,41,4
race,Hispanic,0.2,0.3,0.0,6,4
race,Other,0.2,0.3,0.0,2,4
race,African-American,0.3,0.4,,0,0
race,Hispanic,0.3,0.4,,0,0
race,Caucasian,0.3,0.4,,0,0
race,Other,0.3,0.4,,0,0
race,Other,0.3,0.4,,0,1
race,Caucasian,0.3,0.4,,0,1
race,African-American,0.3,0.4,,0,1
race,Hispanic,0.3,0.4,,0,1
race,African-American,0.3,0.4,,0,2
race,Other,0.3,0.4,,0,2
race,Caucasian,0.3,0.4,,0,2
race,Hispanic,0.3,0.4,,0,2
race,African-American,0.3,0.4,,0,3
race,Caucasian,0.3,0.4,,0,3
race,Hispanic,0.3,0.4,,0,3
race,Other,0.3,0.4,,0,3
race,Caucasian,0.3,0.4,,0,4
race,African-American,0.3,0.4,,0,4
race,Hispanic,0.3,0.4,,0,4
race,Other,0.3,0.4,,0,4
race,African-American,0.4,0.5,,0,0
race,Hispanic,0.4,0.5,,0,0
race,Caucasian,0.4,0.5,,0,0
race,Other,0.4,0.5,,0,0
race,Other,0.4,0.5,,0,1
race,Caucasian,0.4,0.5,,0,1
race,African-American,0.4,0.5,,0,1
race,Hispanic,0.4,0.5,,0,1
race,African-American,0.4,0.5,,0,2
race,Other,0.4,0.5,,0,2
race,Caucasian,0.4,0.5,,0,2
race,Hispanic,0.4,0.5,,0,2
race,African-American,0.4,0.5,,0,3
race,Caucasian,0.4,0.5,,0,3
race,Hispanic,0.4,0.5,,0,3
race,Other,0.4,0.5,,0,3
race,Caucasian,0.4,0.5,,0,4
race,African-American,0.4,0.5,,0,4
race,Hispanic,0.4,0.5,,0,4
race,Other,0.4,0.5,,0,4
race,African-American,0.5,0.6,,0,0
race,Hispanic,0.5,0.6,,0,0
race,Caucasian,0.5,0.6,,0,0
race,Other,0.5,0.6,,0,0
race,Other,0.5,0.6,,0,1
race,Caucasian,0.5,0.6,,0,1
