Attribute,Attribute Value,Lower Limit Score,Upper Limit Score,Conditional Frequency,Individuals Evaluated On,fold_num
race,African-American,0.0,0.1,0.16580310880829016,193,0
race,Hispanic,0.0,0.1,0.0,23,0
race,Caucasian,0.0,0.1,0.175,120,0
race,Other,0.0,0.1,0.2608695652173913,23,0
race,Other,0.0,0.1,0.07692307692307693,13,1
race,Caucasian,0.0,0.1,0.10569105691056911,123,1
race,African-American,0.0,0.1,0.18,200,1
race,Hispanic,0.0,0.1,0.12,25,1
race,African-American,0.0,0.1,0.21649484536082475,194,2
race,Other,0.0,0.1,0.11764705882352941,17,2
race,Caucasian,0.0,0.1,0.13385826771653545,127,2
race,Hispanic,0.0,0.1,0.2777777777777778,18,2
race,African-American,0.0,0.1,0.18226600985221675,203,3
race,Caucasian,0.0,0.1,0.18584070796460178,113,3
race,Hispanic,0.0,0.1,0.03571428571428571,28,3
race,Other,0.0,0.1,0.16666666666666666,18,3
race,Caucasian,0.0,0.1,0.11827956989247312,93,4
race,African-American,0.0,0.1,0.18181818181818182,209,4
race,Hispanic,0.0,0.1,0.037037037037037035,27,4
race,Other,0.0,0.1,0.04,25,4
race,African-American,0.1,0.2,0.2727272727272727,22,0
race,Hispanic,0.1,0.2,0.0,1,0
race,Caucasian,0.1,0.2,0.5,2,0
race,Other,0.1,0.2,,0,0
race,Other,0.1,0.2,0.0,1,1
race,Caucasian,0.1,0.2,0.0,1,1
race,African-American,0.1,0.2,0.23529411764705882,17,1
race,Hispanic,0.1,0.2,0.5,2,1
race,African-American,0.1,0.2,0.23809523809523808,21,2
race,Other,0.1,0.2,0.5,2,2
race,Caucasian,0.1,0.2,0.0,2,2
race,Hispanic,0.1,0.2,1.0,1,2
race,African-American,0.1,0.2,0.23529411764705882,17,3
race,Caucasian,0.1,0.2,0.4,5,3
race,Hispanic,0.1,0.2,1.0,1,3
race,Other,0.1,0.2,,0,3
race,Caucasian,0.1,0.2,0.5,6,4
race,African-American,0.1,0.2,0.38095238095238093,21,4
race,Hispanic,0.1,0.2,1.0,1,4
race,Other,0.1,0.2,0.0,2,4
race,African-American,0.2,0.3,0.4,5,0
race,Hispanic,0.2,0.3,,0,0
race,Caucasian,0.2,0.3,0.0,2,0
race,Other,0.2,0.3,,0,0
race,Other,0.2,0.3,,0,1
race,Caucasian,0.2,0.3,,0,1
race,African-American,0.2,0.3,0.0,2,1
race,Hispanic,0.2,0.3,,0,1
