Attribute,Attribute Value,Lower Limit Score,Upper Limit Score,Conditional Frequency,Individuals Evaluated On,fold_num
race,African-American,0.0,0.1,0.08823529411764706,34,0
race,Hispanic,0.0,0.1,0.0,6,0
race,Caucasian,0.0,0.1,0.0975609756097561,41,0
race,Other,0.0,0.1,0.5714285714285714,7,0
race,Other,0.0,0.1,,0,1
race,Caucasian,0.0,0.1,,0,1
race,African-American,0.0,0.1,,0,1
race,Hispanic,0.0,0.1,,0,1
race,African-American,0.0,0.1,,0,2
race,Other,0.0,0.1,,0,2
race,Caucasian,0.0,0.1,,0,2
race,Hispanic,0.0,0.1,,0,2
race,African-American,0.0,0.1,0.16666666666666666,24,3
race,Caucasian,0.0,0.1,0.2222222222222222,36,3
race,Hispanic,0.0,0.1,0.0,8,3
race,Other,0.0,0.1,0.3333333333333333,6,3
race,Caucasian,0.0,0.1,0.06451612903225806,31,4
race,African-American,0.0,0.1,0.1,30,4
race,Hispanic,0.0,0.1,0.0,6,4
race,Other,0.0,0.1,0.1,10,4
race,African-American,0.1,0.2,0.15625,96,0
race,Hispanic,0.1,0.2,0.0,12,0
race,Caucasian,0.1,0.2,0.22413793103448276,58,0
race,Other,0.1,0.2,0.0,11,0
race,Other,0.1,0.2,0.09090909090909091,11,1
race,Caucasian,0.1,0.2,0.09090909090909091,99,1
race,African-American,0.1,0.2,0.15328467153284672,137,1
race,Hispanic,0.1,0.2,0.1,20,1
race,African-American,0.1,0.2,0.19863013698630136,146,2
race,Other,0.1,0.2,0.13333333333333333,15,2
race,Caucasian,0.1,0.2,0.12962962962962962,108,2
race,Hispanic,0.1,0.2,0.2857142857142857,14,2
race,African-American,0.1,0.2,0.1557377049180328,122,3
race,Caucasian,0.1,0.2,0.11290322580645161,62,3
race,Hispanic,0.1,0.2,0.0625,16,3
race,Other,0.1,0.2,0.08333333333333333,12,3
race,Caucasian,0.1,0.2,0.10810810810810811,37,4
race,African-American,0.1,0.2,0.16964285714285715,112,4
race,Hispanic,0.1,0.2,0.0,16,4
race,Other,0.1,0.2,0.0,12,4
race,African-American,0.2,0.3,0.23809523809523808,63,0
race,Hispanic,0.2,0.3,0.0,6,0
race,Caucasian,0.2,0.3,0.19047619047619047,21,0
race,Other,0.2,0.3,0.5,4,0
race,Other,0.2,0.3,0.0,2,1
race,Caucasian,0.2,0.3,0.21052631578947367,19,1
race,African-American,0.2,0.3,0.24074074074074073,54,1
race,Hispanic,0.2,0.3,0.0,5,1
race,African-American,0.2,0.3,0.27631578947368424,76,2
race,Other,0.2,0.3,0.25,4,2
race,Caucasian,0.2,0.3,0.21739130434782608,23,2
race,Hispanic,0.2,0.3,0.4,5,2
race,African-American,0.2,0.3,0.1864406779661017,59,3
race,Caucasian,0.2,0.3,0.3333333333333333,15,3
race,Hispanic,0.2,0.3,0.2,5,3
race,Other,0.2,0.3,,0,3
race,Caucasian,0.2,0.3,0.22727272727272727,22,4
race,African-American,0.2,0.3,0.2537313432835821,67,4
race,Hispanic,0.2,0.3,0.3333333333333333,3,4
race,Other,0.2,0.3,0.2,5,4
race,African-American,0.3,0.4,,0,0
race,Hispanic,0.3,0.4,,0,0
race,Caucasian,0.3,0.4,,0,0
race,Other,0.3,0.4,,0,0
race,Other,0.3,0.4,,0,1
race,Caucasian,0.3,0.4,,0,1
race,African-American,0.3,0.4,,0,1
race,Hispanic,0.3,0.4,,0,1
race,African-American,0.3,0.4,,0,2
race,Other,0.3,0.4,,0,2
race,Caucasian,0.3,0.4,,0,2
race,Hispanic,0.3,0.4,,0,2
race,African-American,0.3,0.4,,0,3
race,Caucasian,0.3,0.4,,0,3
race,Hispanic,0.3,0.4,,0,3
race,Other,0.3,0.4,,0,3
race,Caucasian,0.3,0.4,,0,4
race,African-American,0.3,0.4,,0,4
race,Hispanic,0.3,0.4,,0,4
race,Other,0.3,0.4,,0,4
race,African-American,0.4,0.5,,0,0
race,Hispanic,0.4,0.5,,0,0
race,Caucasian,0.4,0.5,,0,0
race,Other,0.4,0.5,,0,0
race,Other,0.4,0.5,,0,1
race,Caucasian,0.4,0.5,,0,1
race,African-American,0.4,0.5,,0,1
race,Hispanic,0.4,0.5,,0,1
race,African-American,0.4,0.5,,0,2
race,Other,0.4,0.5,,0,2
race,Caucasian,0.4,0.5,,0,2
race,Hispanic,0.4,0.5,,0,2
race,African-American,0.4,0.5,,0,3
race,Caucasian,0.4,0.5,,0,3
race,Hispanic,0.4,0.5,,0,3
race,Other,0.4,0.5,,0,3
race,Caucasian,0.4,0.5,,0,4
race,African-American,0.4,0.5,,0,4
race,Hispanic,0.4,0.5,,0,4
race,Other,0.4,0.5,,0,4
race,African-American,0.5,0.6,0.25925925925925924,27,0
race,Hispanic,0.5,0.6,,0,0
race,Caucasian,0.5,0.6,0.25,4,0
race,Other,0.5,0.6,0.0,1,0
race,Other,0.5,0.6,0.0,1,1
race,Caucasian,0.5,0.6,0.2222222222222222,9,1
race,African-American,0.5,0.6,0.25,32,1
race,Hispanic,0.5,0.6,1.0,2,1
race,African-American,0.5,0.6,,0,2
race,Other,0.5,0.6,,0,2
race,Caucasian,0.5,0.6,,0,2
race,Hispanic,0.5,0.6,,0,2
race,African-American,0.5,0.6,0.3684210526315789,19,3
race,Caucasian,0.5,0.6,0.42857142857142855,7,3
race,Hispanic,0.5,0.6,,0,3
race,Other,0.5,0.6,,0,3
race,Caucasian,0.5,0.6,0.3333333333333333,9,4
race,African-American,0.5,0.6,0.38461538461538464,26,4
race,Hispanic,0.5,0.6,0.3333333333333333,3,4
race,Other,0.5,0.6,0.0,1,4
race,African-American,0.6,0.7,,0,0
race,Hispanic,0.6,0.7,,0,0
race,Caucasian,0.6,0.7,,0,0
race,Other,0.6,0.7,,0,0
race,Other,0.6,0.7,,0,1
race,Caucasian,0.6,0.7,,0,1
race,African-American,0.6,0.7,,0,1
race,Hispanic,0.6,0.7,,0,1
race,African-American,0.6,0.7,,0,2
race,Other,0.6,0.7,,0,2
race,Caucasian,0.6,0.7,,0,2
race,Hispanic,0.6,0.7,,0,2
race,African-American,0.6,0.7,,0,3
race,Caucasian,0.6,0.7,,0,3
race,Hispanic,0.6,0.7,,0,3
race,Other,0.6,0.7,,0,3
race,Caucasian,0.6,0.7,,0,4
race,African-American,0.6,0.7,,0,4
race,Hispanic,0.6,0.7,,0,4
race,Other,0.6,0.7,,0,4
race,African-American,0.7,0.8,,0,0
race,Hispanic,0.7,0.8,,0,0
race,Caucasian,0.7,0.8,,0,0
race,Other,0.7,0.8,,0,0
race,Other,0.7,0.8,,0,1
race,Caucasian,0.7,0.8,,0,1
race,African-American,0.7,0.8,,0,1
race,Hispanic,0.7,0.8,,0,1
race,African-American,0.7,0.8,,0,2
race,Other,0.7,0.8,,0,2
race,Caucasian,0.7,0.8,,0,2
race,Hispanic,0.7,0.8,,0,2
race,African-American,0.7,0.8,,0,3
race,Caucasian,0.7,0.8,,0,3
race,Hispanic,0.7,0.8,,0,3
race,Other,0.7,0.8,,0,3
race,Caucasian,0.7,0.8,,0,4
race,African-American,0.7,0.8,,0,4
race,Hispanic,0.7,0.8,,0,4
race,Other,0.7,0.8,,0,4
race,African-American,0.8,0.9,,0,0
race,Hispanic,0.8,0.9,,0,0
race,Caucasian,0.8,0.9,,0,0
race,Other,0.8,0.9,,0,0
race,Other,0.8,0.9,,0,1
race,Caucasian,0.8,0.9,,0,1
race,African-American,0.8,0.9,,0,1
race,Hispanic,0.8,0.9,,0,1
race,African-American,0.8,0.9,,0,2
race,Other,0.8,0.9,,0,2
race,Caucasian,0.8,0.9,,0,2
race,Hispanic,0.8,0.9,,0,2
race,African-American,0.8,0.9,,0,3
race,Caucasian,0.8,0.9,,0,3
race,Hispanic,0.8,0.9,,0,3
race,Other,0.8,0.9,,0,3
race,Caucasian,0.8,0.9,,0,4
race,African-American,0.8,0.9,,0,4
race,Hispanic,0.8,0.9,,0,4
race,Other,0.8,0.9,,0,4
race,African-American,0.9,1.0,,0,0
race,Hispanic,0.9,1.0,,0,0
race,Caucasian,0.9,1.0,,0,0
race,Other,0.9,1.0,,0,0
race,Other,0.9,1.0,,0,1
race,Caucasian,0.9,1.0,,0,1
race,African-American,0.9,1.0,,0,1
race,Hispanic,0.9,1.0,,0,1
race,African-American,0.9,1.0,,0,2
race,Other,0.9,1.0,,0,2
race,Caucasian,0.9,1.0,,0,2
race,Hispanic,0.9,1.0,,0,2
race,African-American,0.9,1.0,,0,3
race,Caucasian,0.9,1.0,,0,3
race,Hispanic,0.9,1.0,,0,3
race,Other,0.9,1.0,,0,3
race,Caucasian,0.9,1.0,,0,4
race,African-American,0.9,1.0,,0,4
race,Hispanic,0.9,1.0,,0,4
race,Other,0.9,1.0,,0,4
sex,male,0.0,0.1,0.14492753623188406,69,0
sex,female,0.0,0.1,0.05263157894736842,19,0
sex,male,0.0,0.1,,0,1
sex,female,0.0,0.1,,0,1
sex,male,0.0,0.1,,0,2
sex,female,0.0,0.1,,0,2
sex,male,0.0,0.1,0.19047619047619047,63,3
sex,female,0.0,0.1,0.18181818181818182,11,3
sex,male,0.0,0.1,0.078125,64,4
sex,female,0.0,0.1,0.07692307692307693,13,4
sex,male,0.1,0.2,0.16129032258064516,155,0
sex,female,0.1,0.2,0.13636363636363635,22,0
sex,male,0.1,0.2,0.12946428571428573,224,1
sex,female,0.1,0.2,0.09302325581395349,43,1
sex,male,0.1,0.2,0.17355371900826447,242,2
sex,female,0.1,0.2,0.17073170731707318,41,2
sex,male,0.1,0.2,0.14210526315789473,190,3
sex,female,0.1,0.2,0.045454545454545456,22,3
sex,male,0.1,0.2,0.14285714285714285,154,4
sex,female,0.1,0.2,0.043478260869565216,23,4
sex,male,0.2,0.3,0.23863636363636365,88,0
sex,female,0.2,0.3,0.0,6,0
sex,male,0.2,0.3,0.21333333333333335,75,1
sex,female,0.2,0.3,0.2,5,1
sex,male,0.2,0.3,0.27835051546391754,97,2
sex,female,0.2,0.3,0.18181818181818182,11,2
sex,male,0.2,0.3,0.2054794520547945,73,3
sex,female,0.2,0.3,0.3333333333333333,6,3
sex,male,0.2,0.3,0.25301204819277107,83,4
sex,female,0.2,0.3,0.21428571428571427,14,4
sex,male,0.3,0.4,,0,0
sex,female,0.3,0.4,,0,0
sex,male,0.3,0.4,,0,1
sex,female,0.3,0.4,,0,1
sex,male,0.3,0.4,,0,2
sex,female,0.3,0.4,,0,2
sex,male,0.3,0.4,,0,3
sex,female,0.3,0.4,,0,3
sex,male,0.3,0.4,,0,4
sex,female,0.3,0.4,,0,4
sex,male,0.4,0.5,,0,0
sex,female,0.4,0.5,,0,0
sex,male,0.4,0.5,,0,1
sex,female,0.4,0.5,,0,1
sex,male,0.4,0.5,,0,2
sex,female,0.4,0.5,,0,2
sex,male,0.4,0.5,,0,3
sex,female,0.4,0.5,,0,3
sex,male,0.4,0.5,,0,4
sex,female,0.4,0.5,,0,4
sex,male,0.5,0.6,0.23333333333333334,30,0
sex,female,0.5,0.6,0.5,2,0
sex,male,0.5,0.6,0.3,40,1
sex,female,0.5,0.6,0.0,4,1
sex,male,0.5,0.6,,0,2
sex,female,0.5,0.6,,0,2
sex,male,0.5,0.6,0.4090909090909091,22,3
sex,female,0.5,0.6,0.25,4,3
sex,male,0.5,0.6,0.38235294117647056,34,4
sex,female,0.5,0.6,0.2,5,4
sex,male,0.6,0.7,,0,0
sex,female,0.6,0.7,,0,0
sex,male,0.6,0.7,,0,1
sex,female,0.6,0.7,,0,1
sex,male,0.6,0.7,,0,2
sex,female,0.6,0.7,,0,2
sex,male,0.6,0.7,,0,3
sex,female,0.6,0.7,,0,3
sex,male,0.6,0.7,,0,4
sex,female,0.6,0.7,,0,4
sex,male,0.7,0.8,,0,0
sex,female,0.7,0.8,,0,0
sex,male,0.7,0.8,,0,1
sex,female,0.7,0.8,,0,1
sex,male,0.7,0.8,,0,2
sex,female,0.7,0.8,,0,2
sex,male,0.7,0.8,,0,3
sex,female,0.7,0.8,,0,3
sex,male,0.7,0.8,,0,4
sex,female,0.7,0.8,,0,4
sex,male,0.8,0.9,,0,0
sex,female,0.8,0.9,,0,0
sex,male,0.8,0.9,,0,1
sex,female,0.8,0.9,,0,1
sex,male,0.8,0.9,,0,2
sex,female,0.8,0.9,,0,2
sex,male,0.8,0.9,,0,3
sex,female,0.8,0.9,,0,3
sex,male,0.8,0.9,,0,4
sex,female,0.8,0.9,,0,4
sex,male,0.9,1.0,,0,0
sex,female,0.9,1.0,,0,0
sex,male,0.9,1.0,,0,1
sex,female,0.9,1.0,,0,1
sex,male,0.9,1.0,,0,2
sex,female,0.9,1.0,,0,2
sex,male,0.9,1.0,,0,3
sex,female,0.9,1.0,,0,3
sex,male,0.9,1.0,,0,4
sex,female,0.9,1.0,,0,4
