Attribute,Attribute Value,Lower Limit Score,Upper Limit Score,Conditional Frequency,Individuals Evaluated On,fold_num
race,African-American,0.0,0.1,,0,0
race,Hispanic,0.0,0.1,,0,0
race,Caucasian,0.0,0.1,,0,0
race,Other,0.0,0.1,,0,0
race,Other,0.0,0.1,,0,1
race,Caucasian,0.0,0.1,,0,1
race,African-American,0.0,0.1,,0,1
race,Hispanic,0.0,0.1,,0,1
race,African-American,0.0,0.1,,0,2
race,Other,0.0,0.1,,0,2
race,Caucasian,0.0,0.1,,0,2
race,Hispanic,0.0,0.1,,0,2
race,African-American,0.0,0.1,,0,3
race,Caucasian,0.0,0.1,,0,3
race,Hispanic,0.0,0.1,,0,3
race,Other,0.0,0.1,,0,3
race,Caucasian,0.0,0.1,,0,4
race,African-American,0.0,0.1,,0,4
race,Hispanic,0.0,0.1,,0,4
race,Other,0.0,0.1,,0,4
race,African-American,0.1,0.2,,0,0
race,Hispanic,0.1,0.2,,0,0
race,Caucasian,0.1,0.2,,0,0
race,Other,0.1,0.2,,0,0
race,Other,0.1,0.2,,0,1
race,Caucasian,0.1,0.2,,0,1
race,African-American,0.1,0.2,,0,1
race,Hispanic,0.1,0.2,,0,1
race,African-American,0.1,0.2,,0,2
race,Other,0.1,0.2,,0,2
race,Caucasian,0.1,0.2,,0,2
race,Hispanic,0.1,0.2,,0,2
race,African-American,0.1,0.2,,0,3
race,Caucasian,0.1,0.2,,0,3
race,Hispanic,0.1,0.2,,0,3
race,Other,0.1,0.2,,0,3
race,Caucasian,0.1,0.2,,0,4
race,African-American,0.1,0.2,,0,4
race,Hispanic,0.1,0.2,,0,4
race,Other,0.1,0.2,,0,4
race,African-American,0.2,0.3,,0,0
race,Hispanic,0.2,0.3,,0,0
race,Caucasian,0.2,0.3,,0,0
race,Other,0.2,0.3,,0,0
race,Other,0.2,0.3,,0,1
race,Caucasian,0.2,0.3,0.0,1,1
race,African-American,0.2,0.3,,0,1
race,Hispanic,0.2,0.3,0.0,2,1
race,African-American,0.2,0.3,,0,2
race,Other,0.2,0.3,,0,2
race,Caucasian,0.2,0.3,,0,2
race,Hispanic,0.2,0.3,,0,2
race,African-American,0.2,0.3,,0,3
race,Caucasian,0.2,0.3,,0,3
race,Hispanic,0.2,0.3,,0,3
race,Other,0.2,0.3,,0,3
race,Caucasian,0.2,0.3,,0,4
race,African-American,0.2,0.3,,0,4
race,Hispanic,0.2,0.3,,0,4
race,Other,0.2,0.3,,0,4
race,African-American,0.3,0.4,,0,0
race,Hispanic,0.3,0.4,,0,0
race,Caucasian,0.3,0.4,0.0,3,0
race,Other,0.3,0.4,,0,0
race,Other,0.3,0.4,0.0,1,1
race,Caucasian,0.3,0.4,0.047619047619047616,21,1
race,African-American,0.3,0.4,0.0,13,1
race,Hispanic,0.3,0.4,0.0,3,1
race,African-American,0.3,0.4,0.0,4,2
race,Other,0.3,0.4,,0,2
race,Caucasian,0.3,0.4,0.125,8,2
race,Hispanic,0.3,0.4,0.0,1,2
race,African-American,0.3,0.4,,0,3
race,Caucasian,0.3,0.4,,0,3
race,Hispanic,0.3,0.4,,0,3
race,Other,0.3,0.4,,0,3
race,Caucasian,0.3,0.4,0.0,16,4
race,African-American,0.3,0.4,0.0,5,4
race,Hispanic,0.3,0.4,0.0,5,4
race,Other,0.3,0.4,0.0,1,4
race,African-American,0.4,0.5,0.06666666666666667,15,0
race,Hispanic,0.4,0.5,0.0,1,0
race,Caucasian,0.4,0.5,0.15,20,0
race,Other,0.4,0.5,0.25,4,0
race,Other,0.4,0.5,0.0,8,1
race,Caucasian,0.4,0.5,0.1095890410958904,73,1
race,African-American,0.4,0.5,0.1743119266055046,109,1
race,Hispanic,0.4,0.5,0.14285714285714285,14,1
race,African-American,0.4,0.5,0.3888888888888889,18,2
race,Other,0.4,0.5,0.0,5,2
race,Caucasian,0.4,0.5,0.03225806451612903,31,2
race,Hispanic,0.4,0.5,0.16666666666666666,6,2
race,African-American,0.4,0.5,0.0,4,3
race,Caucasian,0.4,0.5,0.25,8,3
race,Hispanic,0.4,0.5,0.0,7,3
race,Other,0.4,0.5,,0,3
race,Caucasian,0.4,0.5,0.14634146341463414,41,4
race,African-American,0.4,0.5,0.14953271028037382,107,4
race,Hispanic,0.4,0.5,0.0,12,4
race,Other,0.4,0.5,0.05263157894736842,19,4
race,African-American,0.5,0.6,0.1511627906976744,86,0
race,Hispanic,0.5,0.6,0.0,14,0
race,Caucasian,0.5,0.6,0.16666666666666666,72,0
race,Other,0.5,0.6,0.3,10,0
race,Other,0.5,0.6,0.25,4,1
race,Caucasian,0.5,0.6,0.17647058823529413,17,1
race,African-American,0.5,0.6,0.21568627450980393,51,1
race,Hispanic,0.5,0.6,0.0,4,1
race,African-American,0.5,0.6,0.17708333333333334,96,2
race,Other,0.5,0.6,0.25,8,2
