Attribute,Attribute Value,Lower Limit Score,Upper Limit Score,Conditional Frequency,Individuals Evaluated On,fold_num
race,African-American,0.0,0.1,0.25,4,0
race,Hispanic,0.0,0.1,0.0,1,0
race,Caucasian,0.0,0.1,0.3333333333333333,9,0
race,Other,0.0,0.1,,0,0
race,Other,0.0,0.1,,0,1
race,Caucasian,0.0,0.1,0.0,3,1
race,African-American,0.0,0.1,0.0,1,1
race,Hispanic,0.0,0.1,,0,1
race,African-American,0.0,0.1,0.0,2,2
race,Other,0.0,0.1,,0,2
race,Caucasian,0.0,0.1,0.42857142857142855,7,2
race,Hispanic,0.0,0.1,,0,2
race,African-American,0.0,0.1,,0,3
race,Caucasian,0.0,0.1,,0,3
race,Hispanic,0.0,0.1,,0,3
race,Other,0.0,0.1,,0,3
race,Caucasian,0.0,0.1,0.0,4,4
race,African-American,0.0,0.1,0.0,2,4
race,Hispanic,0.0,0.1,,0,4
race,Other,0.0,0.1,,0,4
race,African-American,0.1,0.2,0.2962962962962963,27,0
race,Hispanic,0.1,0.2,0.2,5,0
race,Caucasian,0.1,0.2,0.42105263157894735,19,0
race,Other,0.1,0.2,0.6,5,0
race,Other,0.1,0.2,0.0,1,1
race,Caucasian,0.1,0.2,0.14285714285714285,14,1
race,African-American,0.1,0.2,0.19047619047619047,21,1
race,Hispanic,0.1,0.2,0.25,4,1
race,African-American,0.1,0.2,0.2962962962962963,27,2
race,Other,0.1,0.2,0.5,2,2
race,Caucasian,0.1,0.2,0.25,24,2
race,Hispanic,0.1,0.2,0.2,5,2
race,African-American,0.1,0.2,0.16666666666666666,6,3
race,Caucasian,0.1,0.2,0.2,10,3
race,Hispanic,0.1,0.2,0.0,3,3
race,Other,0.1,0.2,1.0,1,3
race,Caucasian,0.1,0.2,0.18181818181818182,22,4
race,African-American,0.1,0.2,0.375,16,4
race,Hispanic,0.1,0.2,0.6,5,4
race,Other,0.1,0.2,0.14285714285714285,7,4
race,African-American,0.2,0.3,0.47058823529411764,17,0
race,Hispanic,0.2,0.3,0.25,4,0
race,Caucasian,0.2,0.3,0.2608695652173913,23,0
race,Other,0.2,0.3,0.5,4,0
race,Other,0.2,0.3,0.0,3,1
race,Caucasian,0.2,0.3,0.28,25,1
race,African-American,0.2,0.3,0.375,24,1
race,Hispanic,0.2,0.3,0.5,4,1
race,African-American,0.2,0.3,0.44,25,2
race,Other,0.2,0.3,0.6,5,2
race,Caucasian,0.2,0.3,0.1724137931034483,29,2
race,Hispanic,0.2,0.3,0.5,4,2
race,African-American,0.2,0.3,0.10714285714285714,28,3
race,Caucasian,0.2,0.3,0.3333333333333333,30,3
race,Hispanic,0.2,0.3,0.0,10,3
race,Other,0.2,0.3,0.42857142857142855,7,3
race,Caucasian,0.2,0.3,0.29411764705882354,17,4
race,African-American,0.2,0.3,0.2647058823529412,34,4
race,Hispanic,0.2,0.3,0.0,5,4
race,Other,0.2,0.3,0.0,7,4
race,African-American,0.3,0.4,0.45652173913043476,46,0
race,Hispanic,0.3,0.4,0.16666666666666666,6,0
race,Caucasian,0.3,0.4,0.45454545454545453,22,0
race,Other,0.3,0.4,0.3333333333333333,3,0
race,Other,0.3,0.4,0.5,2,1
race,Caucasian,0.3,0.4,0.3,30,1
race,African-American,0.3,0.4,0.42857142857142855,28,1
race,Hispanic,0.3,0.4,0.3333333333333333,3,1
race,African-American,0.3,0.4,0.40816326530612246,49,2
race,Other,0.3,0.4,0.42857142857142855,7,2
race,Caucasian,0.3,0.4,0.5714285714285714,21,2
race,Hispanic,0.3,0.4,0.5,2,2
race,African-American,0.3,0.4,0.4666666666666667,45,3
race,Caucasian,0.3,0.4,0.38461538461538464,39,3
race,Hispanic,0.3,0.4,0.5,4,3
race,Other,0.3,0.4,0.4,5,3
race,Caucasian,0.3,0.4,0.47058823529411764,17,4
