Attribute,Attribute Value,Lower Limit Score,Upper Limit Score,Conditional Frequency,Individuals Evaluated On,fold_num
race,African-American,0.0,0.1,,0,0
race,Hispanic,0.0,0.1,,0,0
race,Caucasian,0.0,0.1,,0,0
race,Other,0.0,0.1,,0,0
race,Other,0.0,0.1,,0,1
race,Caucasian,0.0,0.1,,0,1
race,African-American,0.0,0.1,,0,1
race,Hispanic,0.0,0.1,,0,1
race,African-American,0.0,0.1,,0,2
race,Other,0.0,0.1,,0,2
race,Caucasian,0.0,0.1,,0,2
race,Hispanic,0.0,0.1,,0,2
race,African-American,0.0,0.1,,0,3
race,Caucasian,0.0,0.1,,0,3
race,Hispanic,0.0,0.1,,0,3
race,Other,0.0,0.1,,0,3
race,Caucasian,0.0,0.1,,0,4
race,African-American,0.0,0.1,,0,4
race,Hispanic,0.0,0.1,,0,4
race,Other,0.0,0.1,,0,4
race,African-American,0.1,0.2,0.125,16,0
race,Hispanic,0.1,0.2,0.0,3,0
race,Caucasian,0.1,0.2,0.391304347826087,23,0
race,Other,0.1,0.2,0.6666666666666666,3,0
race,Other,0.1,0.2,,0,1
race,Caucasian,0.1,0.2,,0,1
race,African-American,0.1,0.2,,0,1
race,Hispanic,0.1,0.2,,0,1
race,African-American,0.1,0.2,,0,2
race,Other,0.1,0.2,,0,2
race,Caucasian,0.1,0.2,,0,2
race,Hispanic,0.1,0.2,,0,2
race,African-American,0.1,0.2,,0,3
race,Caucasian,0.1,0.2,,0,3
race,Hispanic,0.1,0.2,,0,3
race,Other,0.1,0.2,,0,3
race,Caucasian,0.1,0.2,,0,4
race,African-American,0.1,0.2,,0,4
race,Hispanic,0.1,0.2,,0,4
race,Other,0.1,0.2,,0,4
race,African-American,0.2,0.3,0.5166666666666667,60,0
race,Hispanic,0.2,0.3,0.36363636363636365,11,0
race,Caucasian,0.2,0.3,0.23076923076923078,39,0
race,Other,0.2,0.3,0.5714285714285714,7,0
race,Other,0.2,0.3,0.16666666666666666,6,1
race,Caucasian,0.2,0.3,0.22916666666666666,48,1
race,African-American,0.2,0.3,0.2777777777777778,54,1
race,Hispanic,0.2,0.3,0.3,10,1
race,African-American,0.2,0.3,0.3728813559322034,59,2
race,Other,0.2,0.3,0.42857142857142855,7,2
race,Caucasian,0.2,0.3,0.3387096774193548,62,2
race,Hispanic,0.2,0.3,0.375,8,2
race,African-American,0.2,0.3,0.24,50,3
race,Caucasian,0.2,0.3,0.39655172413793105,58,3
race,Hispanic,0.2,0.3,0.0,12,3
race,Other,0.2,0.3,0.6,5,3
race,Caucasian,0.2,0.3,0.24489795918367346,49,4
race,African-American,0.2,0.3,0.3220338983050847,59,4
race,Hispanic,0.2,0.3,0.2222222222222222,9,4
race,Other,0.2,0.3,0.16666666666666666,12,4
race,African-American,0.3,0.4,,0,0
race,Hispanic,0.3,0.4,,0,0
race,Caucasian,0.3,0.4,,0,0
race,Other,0.3,0.4,,0,0
race,Other,0.3,0.4,,0,1
race,Caucasian,0.3,0.4,,0,1
race,African-American,0.3,0.4,,0,1
race,Hispanic,0.3,0.4,,0,1
race,African-American,0.3,0.4,,0,2
race,Other,0.3,0.4,,0,2
race,Caucasian,0.3,0.4,,0,2
race,Hispanic,0.3,0.4,,0,2
race,African-American,0.3,0.4,,0,3
race,Caucasian,0.3,0.4,,0,3
race,Hispanic,0.3,0.4,,0,3
race,Other,0.3,0.4,,0,3
race,Caucasian,0.3,0.4,,0,4
race,African-American,0.3,0.4,,0,4
race,Hispanic,0.3,0.4,,0,4
race,Other,0.3,0.4,,0,4
race,African-American,0.4,0.5,,0,0
race,Hispanic,0.4,0.5,,0,0
race,Caucasian,0.4,0.5,,0,0
race,Other,0.4,0.5,,0,0
race,Other,0.4,0.5,,0,1
race,Caucasian,0.4,0.5,,0,1
race,African-American,0.4,0.5,,0,1
race,Hispanic,0.4,0.5,,0,1
race,African-American,0.4,0.5,,0,2
race,Other,0.4,0.5,,0,2
race,Caucasian,0.4,0.5,,0,2
race,Hispanic,0.4,0.5,,0,2
race,African-American,0.4,0.5,,0,3
race,Caucasian,0.4,0.5,,0,3
race,Hispanic,0.4,0.5,,0,3
race,Other,0.4,0.5,,0,3
race,Caucasian,0.4,0.5,,0,4
race,African-American,0.4,0.5,,0,4
race,Hispanic,0.4,0.5,,0,4
race,Other,0.4,0.5,,0,4
race,African-American,0.5,0.6,0.5272727272727272,110,0
race,Hispanic,0.5,0.6,0.1111111111111111,9,0
race,Caucasian,0.5,0.6,0.543859649122807,57,0
race,Other,0.5,0.6,0.18181818181818182,11,0
race,Other,0.5,0.6,0.42857142857142855,7,1
race,Caucasian,0.5,0.6,0.36619718309859156,71,1
race,African-American,0.5,0.6,0.4782608695652174,138,1
race,Hispanic,0.5,0.6,0.4375,16,1
race,African-American,0.5,0.6,0.5114503816793893,131,2
