Attribute,Attribute Value,Lower Limit Score,Upper Limit Score,Conditional Frequency,Individuals Evaluated On,fold_num
race,African-American,0.0,0.1,0.16666666666666666,6,0
race,Hispanic,0.0,0.1,0.0,2,0
race,Caucasian,0.0,0.1,0.3333333333333333,12,0
race,Other,0.0,0.1,0.0,2,0
race,Other,0.0,0.1,,0,1
race,Caucasian,0.0,0.1,,0,1
race,African-American,0.0,0.1,,0,1
race,Hispanic,0.0,0.1,,0,1
race,African-American,0.0,0.1,,0,2
race,Other,0.0,0.1,,0,2
race,Caucasian,0.0,0.1,,0,2
race,Hispanic,0.0,0.1,,0,2
race,African-American,0.0,0.1,,0,3
race,Caucasian,0.0,0.1,,0,3
race,Hispanic,0.0,0.1,,0,3
race,Other,0.0,0.1,,0,3
race,Caucasian,0.0,0.1,,0,4
race,African-American,0.0,0.1,,0,4
race,Hispanic,0.0,0.1,,0,4
race,Other,0.0,0.1,,0,4
race,African-American,0.1,0.2,0.2459016393442623,61,0
race,Hispanic,0.1,0.2,0.3,10,0
race,Caucasian,0.1,0.2,0.20454545454545456,44,0
race,Other,0.1,0.2,0.14285714285714285,7,0
race,Other,0.1,0.2,0.2,5,1
race,Caucasian,0.1,0.2,0.18181818181818182,33,1
race,African-American,0.1,0.2,0.1111111111111111,27,1
race,Hispanic,0.1,0.2,0.2222222222222222,9,1
race,African-American,0.1,0.2,0.1774193548387097,62,2
race,Other,0.1,0.2,0.25,8,2
race,Caucasian,0.1,0.2,0.23076923076923078,65,2
race,Hispanic,0.1,0.2,0.14285714285714285,7,2
race,African-American,0.1,0.2,0.05555555555555555,18,3
race,Caucasian,0.1,0.2,0.17142857142857143,35,3
race,Hispanic,0.1,0.2,0.0,8,3
race,Other,0.1,0.2,0.25,4,3
race,Caucasian,0.1,0.2,0.14814814814814814,27,4
race,African-American,0.1,0.2,0.18181818181818182,22,4
race,Hispanic,0.1,0.2,0.0,5,4
race,Other,0.1,0.2,0.0,9,4
race,African-American,0.2,0.3,0.3515625,128,0
race,Hispanic,0.2,0.3,0.18181818181818182,11,0
race,Caucasian,0.2,0.3,0.21875,64,0
race,Other,0.2,0.3,0.07692307692307693,13,0
race,Other,0.2,0.3,0.14285714285714285,7,1
race,Caucasian,0.2,0.3,0.1839080459770115,87,1
race,African-American,0.2,0.3,0.28,175,1
race,Hispanic,0.2,0.3,0.2222222222222222,18,1
race,African-American,0.2,0.3,0.304,125,2
race,Other,0.2,0.3,0.45454545454545453,11,2
race,Caucasian,0.2,0.3,0.32142857142857145,56,2
race,Hispanic,0.2,0.3,0.2,10,2
race,African-American,0.2,0.3,0.31868131868131866,182,3
race,Caucasian,0.2,0.3,0.2692307692307692,78,3
race,Hispanic,0.2,0.3,0.29411764705882354,17,3
race,Other,0.2,0.3,0.3333333333333333,12,3
race,Caucasian,0.2,0.3,0.3181818181818182,66,4
race,African-American,0.2,0.3,0.26842105263157895,190,4
race,Hispanic,0.2,0.3,0.22727272727272727,22,4
race,Other,0.2,0.3,0.26666666666666666,15,4
race,African-American,0.3,0.4,,0,0
race,Hispanic,0.3,0.4,,0,0
race,Caucasian,0.3,0.4,,0,0
race,Other,0.3,0.4,,0,0
race,Other,0.3,0.4,,0,1
race,Caucasian,0.3,0.4,,0,1
race,African-American,0.3,0.4,,0,1
race,Hispanic,0.3,0.4,,0,1
race,African-American,0.3,0.4,,0,2
race,Other,0.3,0.4,,0,2
race,Caucasian,0.3,0.4,,0,2
race,Hispanic,0.3,0.4,,0,2
race,African-American,0.3,0.4,,0,3
race,Caucasian,0.3,0.4,,0,3
race,Hispanic,0.3,0.4,,0,3
race,Other,0.3,0.4,,0,3
race,Caucasian,0.3,0.4,,0,4
race,African-American,0.3,0.4,,0,4
race,Hispanic,0.3,0.4,,0,4
race,Other,0.3,0.4,,0,4
race,African-American,0.4,0.5,,0,0
race,Hispanic,0.4,0.5,,0,0
race,Caucasian,0.4,0.5,,0,0
race,Other,0.4,0.5,,0,0
race,Other,0.4,0.5,,0,1
race,Caucasian,0.4,0.5,,0,1
race,African-American,0.4,0.5,,0,1
race,Hispanic,0.4,0.5,,0,1
race,African-American,0.4,0.5,,0,2
race,Other,0.4,0.5,,0,2
race,Caucasian,0.4,0.5,,0,2
race,Hispanic,0.4,0.5,,0,2
race,African-American,0.4,0.5,,0,3
race,Caucasian,0.4,0.5,,0,3
race,Hispanic,0.4,0.5,,0,3
race,Other,0.4,0.5,,0,3
race,Caucasian,0.4,0.5,,0,4
race,African-American,0.4,0.5,,0,4
race,Hispanic,0.4,0.5,,0,4
race,Other,0.4,0.5,,0,4
race,African-American,0.5,0.6,0.44,25,0
race,Hispanic,0.5,0.6,0.0,1,0
race,Caucasian,0.5,0.6,0.25,4,0
race,Other,0.5,0.6,1.0,1,0
race,Other,0.5,0.6,1.0,2,1
race,Caucasian,0.5,0.6,0.5714285714285714,7,1
race,African-American,0.5,0.6,0.3333333333333333,21,1
race,Hispanic,0.5,0.6,,0,1
race,African-American,0.5,0.6,0.35714285714285715,28,2
race,Other,0.5,0.6,,0,2
race,Caucasian,0.5,0.6,0.625,8,2
race,Hispanic,0.5,0.6,0.5,2,2
race,African-American,0.5,0.6,0.5833333333333334,24,3
race,Caucasian,0.5,0.6,0.42857142857142855,7,3
race,Hispanic,0.5,0.6,0.25,4,3
race,Other,0.5,0.6,0.5,2,3
race,Caucasian,0.5,0.6,0.3333333333333333,6,4
race,African-American,0.5,0.6,0.34782608695652173,23,4
race,Hispanic,0.5,0.6,1.0,1,4
race,Other,0.5,0.6,0.75,4,4
race,African-American,0.6,0.7,,0,0
race,Hispanic,0.6,0.7,,0,0
race,Caucasian,0.6,0.7,,0,0
race,Other,0.6,0.7,,0,0
race,Other,0.6,0.7,,0,1
race,Caucasian,0.6,0.7,,0,1
race,African-American,0.6,0.7,,0,1
race,Hispanic,0.6,0.7,,0,1
race,African-American,0.6,0.7,,0,2
race,Other,0.6,0.7,,0,2
race,Caucasian,0.6,0.7,,0,2
race,Hispanic,0.6,0.7,,0,2
race,African-American,0.6,0.7,,0,3
race,Caucasian,0.6,0.7,,0,3
race,Hispanic,0.6,0.7,,0,3
race,Other,0.6,0.7,,0,3
race,Caucasian,0.6,0.7,,0,4
race,African-American,0.6,0.7,,0,4
race,Hispanic,0.6,0.7,,0,4
race,Other,0.6,0.7,,0,4
race,African-American,0.7,0.8,,0,0
race,Hispanic,0.7,0.8,,0,0
race,Caucasian,0.7,0.8,,0,0
race,Other,0.7,0.8,,0,0
race,Other,0.7,0.8,,0,1
race,Caucasian,0.7,0.8,,0,1
race,African-American,0.7,0.8,,0,1
race,Hispanic,0.7,0.8,,0,1
race,African-American,0.7,0.8,0.42857142857142855,7,2
race,Other,0.7,0.8,,0,2
race,Caucasian,0.7,0.8,0.0,2,2
race,Hispanic,0.7,0.8,,0,2
race,African-American,0.7,0.8,,0,3
race,Caucasian,0.7,0.8,,0,3
race,Hispanic,0.7,0.8,,0,3
race,Other,0.7,0.8,,0,3
race,Caucasian,0.7,0.8,,0,4
race,African-American,0.7,0.8,,0,4
race,Hispanic,0.7,0.8,,0,4
race,Other,0.7,0.8,,0,4
race,African-American,0.8,0.9,,0,0
race,Hispanic,0.8,0.9,,0,0
race,Caucasian,0.8,0.9,,0,0
race,Other,0.8,0.9,,0,0
race,Other,0.8,0.9,,0,1
race,Caucasian,0.8,0.9,,0,1
race,African-American,0.8,0.9,,0,1
race,Hispanic,0.8,0.9,,0,1
race,African-American,0.8,0.9,,0,2
race,Other,0.8,0.9,,0,2
race,Caucasian,0.8,0.9,,0,2
race,Hispanic,0.8,0.9,,0,2
race,African-American,0.8,0.9,,0,3
race,Caucasian,0.8,0.9,,0,3
race,Hispanic,0.8,0.9,,0,3
race,Other,0.8,0.9,,0,3
race,Caucasian,0.8,0.9,,0,4
race,African-American,0.8,0.9,,0,4
race,Hispanic,0.8,0.9,,0,4
race,Other,0.8,0.9,,0,4
race,African-American,0.9,1.0,,0,0
race,Hispanic,0.9,1.0,,0,0
race,Caucasian,0.9,1.0,,0,0
race,Other,0.9,1.0,,0,0
race,Other,0.9,1.0,,0,1
race,Caucasian,0.9,1.0,,0,1
race,African-American,0.9,1.0,,0,1
race,Hispanic,0.9,1.0,,0,1
race,African-American,0.9,1.0,,0,2
race,Other,0.9,1.0,,0,2
race,Caucasian,0.9,1.0,,0,2
race,Hispanic,0.9,1.0,,0,2
race,African-American,0.9,1.0,,0,3
race,Caucasian,0.9,1.0,,0,3
race,Hispanic,0.9,1.0,,0,3
race,Other,0.9,1.0,,0,3
race,Caucasian,0.9,1.0,,0,4
race,African-American,0.9,1.0,,0,4
race,Hispanic,0.9,1.0,,0,4
race,Other,0.9,1.0,,0,4
sex,male,0.0,0.1,0.125,16,0
sex,female,0.0,0.1,0.5,6,0
sex,male,0.0,0.1,,0,1
sex,female,0.0,0.1,,0,1
sex,male,0.0,0.1,,0,2
sex,female,0.0,0.1,,0,2
sex,male,0.0,0.1,,0,3
sex,female,0.0,0.1,,0,3
sex,male,0.0,0.1,,0,4
sex,female,0.0,0.1,,0,4
sex,male,0.1,0.2,0.23809523809523808,105,0
sex,female,0.1,0.2,0.17647058823529413,17,0
sex,male,0.1,0.2,0.13636363636363635,66,1
sex,female,0.1,0.2,0.375,8,1
sex,male,0.1,0.2,0.23076923076923078,117,2
sex,female,0.1,0.2,0.08,25,2
sex,male,0.1,0.2,0.10714285714285714,56,3
