Attribute,Attribute Value,Lower Limit Score,Upper Limit Score,Conditional Frequency,Individuals Evaluated On,fold_num
race,African-American,0.0,0.1,,0,0
race,Hispanic,0.0,0.1,,0,0
race,Caucasian,0.0,0.1,,0,0
race,Other,0.0,0.1,,0,0
race,Other,0.0,0.1,,0,1
race,Caucasian,0.0,0.1,,0,1
race,African-American,0.0,0.1,,0,1
race,Hispanic,0.0,0.1,,0,1
race,African-American,0.0,0.1,,0,2
race,Other,0.0,0.1,,0,2
race,Caucasian,0.0,0.1,,0,2
race,Hispanic,0.0,0.1,,0,2
race,African-American,0.0,0.1,,0,3
race,Caucasian,0.0,0.1,,0,3
race,Hispanic,0.0,0.1,,0,3
race,Other,0.0,0.1,,0,3
race,Caucasian,0.0,0.1,,0,4
race,African-American,0.0,0.1,,0,4
race,Hispanic,0.0,0.1,,0,4
race,Other,0.0,0.1,,0,4
race,African-American,0.1,0.2,,0,0
race,Hispanic,0.1,0.2,,0,0
race,Caucasian,0.1,0.2,,0,0
race,Other,0.1,0.2,,0,0
race,Other,0.1,0.2,,0,1
race,Caucasian,0.1,0.2,,0,1
race,African-American,0.1,0.2,,0,1
race,Hispanic,0.1,0.2,,0,1
race,African-American,0.1,0.2,,0,2
race,Other,0.1,0.2,,0,2
race,Caucasian,0.1,0.2,,0,2
race,Hispanic,0.1,0.2,,0,2
race,African-American,0.1,0.2,,0,3
race,Caucasian,0.1,0.2,,0,3
race,Hispanic,0.1,0.2,,0,3
race,Other,0.1,0.2,,0,3
race,Caucasian,0.1,0.2,,0,4
race,African-American,0.1,0.2,,0,4
race,Hispanic,0.1,0.2,,0,4
race,Other,0.1,0.2,,0,4
race,African-American,0.2,0.3,,0,0
race,Hispanic,0.2,0.3,,0,0
race,Caucasian,0.2,0.3,,0,0
race,Other,0.2,0.3,,0,0
race,Other,0.2,0.3,,0,1
race,Caucasian,0.2,0.3,,0,1
race,African-American,0.2,0.3,,0,1
race,Hispanic,0.2,0.3,,0,1
race,African-American,0.2,0.3,,0,2
race,Other,0.2,0.3,,0,2
race,Caucasian,0.2,0.3,,0,2
race,Hispanic,0.2,0.3,,0,2
race,African-American,0.2,0.3,,0,3
race,Caucasian,0.2,0.3,,0,3
race,Hispanic,0.2,0.3,,0,3
race,Other,0.2,0.3,,0,3
race,Caucasian,0.2,0.3,,0,4
race,African-American,0.2,0.3,,0,4
race,Hispanic,0.2,0.3,,0,4
race,Other,0.2,0.3,,0,4
race,African-American,0.3,0.4,0.0,1,0
race,Hispanic,0.3,0.4,,0,0
race,Caucasian,0.3,0.4,0.0,3,0
race,Other,0.3,0.4,,0,0
race,Other,0.3,0.4,,0,1
race,Caucasian,0.3,0.4,,0,1
race,African-American,0.3,0.4,,0,1
race,Hispanic,0.3,0.4,,0,1
race,African-American,0.3,0.4,,0,2
race,Other,0.3,0.4,,0,2
race,Caucasian,0.3,0.4,,0,2
race,Hispanic,0.3,0.4,,0,2
race,African-American,0.3,0.4,,0,3
race,Caucasian,0.3,0.4,1.0,1,3
race,Hispanic,0.3,0.4,,0,3
race,Other,0.3,0.4,,0,3
race,Caucasian,0.3,0.4,,0,4
race,African-American,0.3,0.4,,0,4
race,Hispanic,0.3,0.4,,0,4
race,Other,0.3,0.4,,0,4
race,African-American,0.4,0.5,0.2727272727272727,11,0
race,Hispanic,0.4,0.5,0.25,4,0
race,Caucasian,0.4,0.5,0.3333333333333333,9,0
race,Other,0.4,0.5,0.0,3,0
race,Other,0.4,0.5,0.0,3,1
race,Caucasian,0.4,0.5,0.07692307692307693,13,1
race,African-American,0.4,0.5,0.23529411764705882,17,1
race,Hispanic,0.4,0.5,1.0,1,1
race,African-American,0.4,0.5,0.25,12,2
race,Other,0.4,0.5,0.0,3,2
race,Caucasian,0.4,0.5,0.36363636363636365,11,2
race,Hispanic,0.4,0.5,,0,2
race,African-American,0.4,0.5,0.09090909090909091,11,3
race,Caucasian,0.4,0.5,0.21428571428571427,14,3
race,Hispanic,0.4,0.5,0.0,3,3
race,Other,0.4,0.5,0.0,1,3
race,Caucasian,0.4,0.5,0.2,25,4
race,African-American,0.4,0.5,0.21621621621621623,37,4
race,Hispanic,0.4,0.5,0.4,5,4
race,Other,0.4,0.5,0.3333333333333333,6,4
race,African-American,0.5,0.6,0.28,50,0
race,Hispanic,0.5,0.6,0.2857142857142857,7,0
race,Caucasian,0.5,0.6,0.23529411764705882,34,0
race,Other,0.5,0.6,0.0,3,0
race,Other,0.5,0.6,0.2857142857142857,7,1
race,Caucasian,0.5,0.6,0.1694915254237288,59,1
race,African-American,0.5,0.6,0.2073170731707317,82,1
race,Hispanic,0.5,0.6,0.14285714285714285,14,1
race,African-American,0.5,0.6,0.20454545454545456,88,2
race,Other,0.5,0.6,0.42857142857142855,7,2
race,Caucasian,0.5,0.6,0.1694915254237288,59,2
