Attribute,Attribute Value,Lower Limit Score,Upper Limit Score,Conditional Frequency,Individuals Evaluated On,fold_num
race,African-American,0.0,0.1,0.05714285714285714,140,0
race,Hispanic,0.0,0.1,0.0,16,0
race,Caucasian,0.0,0.1,0.0449438202247191,89,0
race,Other,0.0,0.1,0.05555555555555555,18,0
race,Other,0.0,0.1,0.125,8,1
race,Caucasian,0.0,0.1,0.023255813953488372,86,1
race,African-American,0.0,0.1,0.031007751937984496,129,1
race,Hispanic,0.0,0.1,0.0,17,1
race,African-American,0.0,0.1,0.050955414012738856,157,2
race,Other,0.0,0.1,0.0,12,2
race,Caucasian,0.0,0.1,0.0673076923076923,104,2
race,Hispanic,0.0,0.1,0.06666666666666667,15,2
race,African-American,0.0,0.1,0.08695652173913043,161,3
race,Caucasian,0.0,0.1,0.0425531914893617,94,3
race,Hispanic,0.0,0.1,0.0,26,3
race,Other,0.0,0.1,0.1111111111111111,18,3
race,Caucasian,0.0,0.1,0.04,75,4
race,African-American,0.0,0.1,0.07926829268292683,164,4
race,Hispanic,0.0,0.1,0.0,21,4
race,Other,0.0,0.1,0.0,19,4
race,African-American,0.1,0.2,0.06818181818181818,44,0
race,Hispanic,0.1,0.2,0.0,3,0
race,Caucasian,0.1,0.2,0.17391304347826086,23,0
race,Other,0.1,0.2,0.0,4,0
race,Other,0.1,0.2,0.0,4,1
race,Caucasian,0.1,0.2,0.1111111111111111,27,1
race,African-American,0.1,0.2,0.11764705882352941,51,1
race,Hispanic,0.1,0.2,0.2,5,1
race,African-American,0.1,0.2,0.09375,32,2
race,Other,0.1,0.2,0.25,4,2
race,Caucasian,0.1,0.2,0.11764705882352941,17,2
race,Hispanic,0.1,0.2,0.0,2,2
race,African-American,0.1,0.2,0.09090909090909091,33,3
race,Caucasian,0.1,0.2,0.2,15,3
race,Hispanic,0.1,0.2,0.0,2,3
race,Other,0.1,0.2,,0,3
race,Caucasian,0.1,0.2,0.20833333333333334,24,4
race,African-American,0.1,0.2,0.19696969696969696,66,4
race,Hispanic,0.1,0.2,0.16666666666666666,6,4
race,Other,0.1,0.2,0.2222222222222222,9,4
race,African-American,0.2,0.3,0.25,36,0
race,Hispanic,0.2,0.3,0.0,5,0
race,Caucasian,0.2,0.3,0.3333333333333333,12,0
race,Other,0.2,0.3,0.0,1,0
