Attribute,Attribute Value,Lower Limit Score,Upper Limit Score,Conditional Frequency,Individuals Evaluated On,fold_num
race,African-American,0.0,0.1,0.09090909090909091,220,0
race,Hispanic,0.0,0.1,0.0,24,0
race,Caucasian,0.0,0.1,0.0967741935483871,124,0
race,Other,0.0,0.1,0.043478260869565216,23,0
race,Other,0.0,0.1,0.07142857142857142,14,1
race,Caucasian,0.0,0.1,0.056451612903225805,124,1
race,African-American,0.0,0.1,0.0787037037037037,216,1
race,Hispanic,0.0,0.1,0.07407407407407407,27,1
race,African-American,0.0,0.1,0.08755760368663594,217,2
race,Other,0.0,0.1,0.10526315789473684,19,2
race,Caucasian,0.0,0.1,0.09302325581395349,129,2
race,Hispanic,0.0,0.1,0.10526315789473684,19,2
race,African-American,0.0,0.1,0.09049773755656108,221,3
race,Caucasian,0.0,0.1,0.0782608695652174,115,3
race,Hispanic,0.0,0.1,0.0,28,3
race,Other,0.0,0.1,0.1111111111111111,18,3
race,Caucasian,0.0,0.1,0.08080808080808081,99,4
race,African-American,0.0,0.1,0.11637931034482758,232,4
race,Hispanic,0.0,0.1,0.07142857142857142,28,4
race,Other,0.0,0.1,0.07142857142857142,28,4
race,African-American,0.1,0.2,,0,0
race,Hispanic,0.1,0.2,,0,0
race,Caucasian,0.1,0.2,,0,0
race,Other,0.1,0.2,,0,0
race,Other,0.1,0.2,,0,1
race,Caucasian,0.1,0.2,1.0,1,1
race,African-American,0.1,0.2,0.3333333333333333,6,1
race,Hispanic,0.1,0.2,,0,1
race,African-American,0.1,0.2,0.2,5,2
race,Other,0.1,0.2,,0,2
race,Caucasian,0.1,0.2,1.0,2,2
race,Hispanic,0.1,0.2,,0,2
race,African-American,0.1,0.2,0.0,2,3
race,Caucasian,0.1,0.2,0.0,2,3
race,Hispanic,0.1,0.2,0.0,1,3
race,Other,0.1,0.2,,0,3
race,Caucasian,0.1,0.2,,0,4
race,African-American,0.1,0.2,0.6666666666666666,3,4
race,Hispanic,0.1,0.2,,0,4
race,Other,0.1,0.2,,0,4
race,African-American,0.2,0.3,,0,0
race,Hispanic,0.2,0.3,,0,0
race,Caucasian,0.2,0.3,,0,0
race,Other,0.2,0.3,,0,0
race,Other,0.2,0.3,,0,1
race,Caucasian,0.2,0.3,0.0,1,1
race,African-American,0.2,0.3,0.0,1,1
race,Hispanic,0.2,0.3,,0,1
race,African-American,0.2,0.3,,0,2
race,Other,0.2,0.3,,0,2
race,Caucasian,0.2,0.3,,0,2
race,Hispanic,0.2,0.3,,0,2
race,African-American,0.2,0.3,0.0,1,3
race,Caucasian,0.2,0.3,0.3333333333333333,3,3
race,Hispanic,0.2,0.3,,0,3
race,Other,0.2,0.3,,0,3
race,Caucasian,0.2,0.3,,0,4
race,African-American,0.2,0.3,,0,4
race,Hispanic,0.2,0.3,,0,4
race,Other,0.2,0.3,,0,4
race,African-American,0.3,0.4,,0,0
race,Hispanic,0.3,0.4,,0,0
race,Caucasian,0.3,0.4,,0,0
race,Other,0.3,0.4,,0,0
race,Other,0.3,0.4,,0,1
race,Caucasian,0.3,0.4,,0,1
