Attribute,Attribute Value,Lower Limit Score,Upper Limit Score,Conditional Frequency,Individuals Evaluated On,fold_num
race,African-American,0.0,0.1,0.20930232558139536,43,0
race,Hispanic,0.0,0.1,0.16666666666666666,6,0
race,Caucasian,0.0,0.1,0.14705882352941177,34,0
race,Other,0.0,0.1,0.2,5,0
race,Other,0.0,0.1,0.5,2,1
race,Caucasian,0.0,0.1,0.1,30,1
race,African-American,0.0,0.1,0.25,40,1
race,Hispanic,0.0,0.1,0.0,6,1
race,African-American,0.0,0.1,0.1111111111111111,54,2
race,Other,0.0,0.1,0.0,3,2
race,Caucasian,0.0,0.1,0.029411764705882353,34,2
race,Hispanic,0.0,0.1,0.14285714285714285,7,2
race,African-American,0.0,0.1,0.0625,32,3
race,Caucasian,0.0,0.1,0.09090909090909091,22,3
race,Hispanic,0.0,0.1,0.0,3,3
race,Other,0.0,0.1,1.0,1,3
race,Caucasian,0.0,0.1,0.0,2,4
race,African-American,0.0,0.1,0.2,5,4
race,Hispanic,0.0,0.1,0.0,1,4
race,Other,0.0,0.1,,0,4
race,African-American,0.1,0.2,0.18292682926829268,82,0
race,Hispanic,0.1,0.2,0.0,7,0
race,Caucasian,0.1,0.2,0.09523809523809523,42,0
race,Other,0.1,0.2,0.125,8,0
race,Other,0.1,0.2,0.0,3,1
race,Caucasian,0.1,0.2,0.11627906976744186,43,1
race,African-American,0.1,0.2,0.14285714285714285,70,1
race,Hispanic,0.1,0.2,0.0,6,1
race,African-American,0.1,0.2,0.17204301075268819,93,2
race,Other,0.1,0.2,0.2,10,2
race,Caucasian,0.1,0.2,0.21875,64,2
race,Hispanic,0.1,0.2,0.2857142857142857,7,2
race,African-American,0.1,0.2,0.21649484536082475,97,3
race,Caucasian,0.1,0.2,0.20270270270270271,74,3
race,Hispanic,0.1,0.2,0.10526315789473684,19,3
race,Other,0.1,0.2,0.25,12,3
race,Caucasian,0.1,0.2,0.1323529411764706,68,4
race,African-American,0.1,0.2,0.18032786885245902,122,4
race,Hispanic,0.1,0.2,0.0,18,4
race,Other,0.1,0.2,0.05555555555555555,18,4
race,African-American,0.2,0.3,0.23076923076923078,65,0
race,Hispanic,0.2,0.3,0.25,8,0
race,Caucasian,0.2,0.3,0.1891891891891892,37,0
race,Other,0.2,0.3,0.2,10,0
race,Other,0.2,0.3,0.2857142857142857,7,1
race,Caucasian,0.2,0.3,0.2619047619047619,42,1
race,African-American,0.2,0.3,0.22784810126582278,79,1
race,Hispanic,0.2,0.3,0.3,10,1
race,African-American,0.2,0.3,,0,2
race,Other,0.2,0.3,,0,2
race,Caucasian,0.2,0.3,,0,2
race,Hispanic,0.2,0.3,,0,2
race,African-American,0.2,0.3,0.38461538461538464,13,3
race,Caucasian,0.2,0.3,0.6,5,3
race,Hispanic,0.2,0.3,1.0,1,3
race,Other,0.2,0.3,,0,3
race,Caucasian,0.2,0.3,0.6153846153846154,13,4
race,African-American,0.2,0.3,0.26666666666666666,45,4
race,Hispanic,0.2,0.3,1.0,1,4
race,Other,0.2,0.3,1.0,2,4
race,African-American,0.3,0.4,,0,0
race,Hispanic,0.3,0.4,,0,0
race,Caucasian,0.3,0.4,,0,0
race,Other,0.3,0.4,,0,0
race,Other,0.3,0.4,,0,1
race,Caucasian,0.3,0.4,,0,1
race,African-American,0.3,0.4,,0,1
race,Hispanic,0.3,0.4,,0,1
race,African-American,0.3,0.4,0.423728813559322,59,2
race,Other,0.3,0.4,0.25,4,2
race,Caucasian,0.3,0.4,0.23333333333333334,30,2
race,Hispanic,0.3,0.4,0.5,4,2
race,African-American,0.3,0.4,0.28205128205128205,78,3
race,Caucasian,0.3,0.4,0.5,16,3
race,Hispanic,0.3,0.4,0.0,6,3
race,Other,0.3,0.4,0.4,5,3
race,Caucasian,0.3,0.4,0.08333333333333333,12,4
race,African-American,0.3,0.4,0.2391304347826087,46,4
race,Hispanic,0.3,0.4,0.0,7,4
race,Other,0.3,0.4,0.2857142857142857,7,4
race,African-American,0.4,0.5,0.375,24,0
race,Hispanic,0.4,0.5,0.0,3,0
race,Caucasian,0.4,0.5,0.4,10,0
race,Other,0.4,0.5,,0,0
race,Other,0.4,0.5,0.0,2,1
race,Caucasian,0.4,0.5,0.16666666666666666,12,1
race,African-American,0.4,0.5,0.2222222222222222,27,1
race,Hispanic,0.4,0.5,0.2,5,1
race,African-American,0.4,0.5,0.3,10,2
race,Other,0.4,0.5,0.5,2,2
race,Caucasian,0.4,0.5,1.0,2,2
race,Hispanic,0.4,0.5,,0,2
race,African-American,0.4,0.5,,0,3
race,Caucasian,0.4,0.5,,0,3
race,Hispanic,0.4,0.5,,0,3
race,Other,0.4,0.5,,0,3
race,Caucasian,0.4,0.5,,0,4
race,African-American,0.4,0.5,,0,4
race,Hispanic,0.4,0.5,,0,4
race,Other,0.4,0.5,,0,4
race,African-American,0.5,0.6,,0,0
race,Hispanic,0.5,0.6,,0,0
race,Caucasian,0.5,0.6,,0,0
race,Other,0.5,0.6,,0,0
race,Other,0.5,0.6,,0,1
race,Caucasian,0.5,0.6,,0,1
race,African-American,0.5,0.6,,0,1
race,Hispanic,0.5,0.6,,0,1
race,African-American,0.5,0.6,,0,2
race,Other,0.5,0.6,,0,2
race,Caucasian,0.5,0.6,,0,2
race,Hispanic,0.5,0.6,,0,2
race,African-American,0.5,0.6,,0,3
race,Caucasian,0.5,0.6,,0,3
race,Hispanic,0.5,0.6,,0,3
race,Other,0.5,0.6,,0,3
race,Caucasian,0.5,0.6,0.0,1,4
race,African-American,0.5,0.6,0.2857142857142857,7,4
race,Hispanic,0.5,0.6,0.0,1,4
race,Other,0.5,0.6,,0,4
race,African-American,0.6,0.7,,0,0
race,Hispanic,0.6,0.7,,0,0
race,Caucasian,0.6,0.7,,0,0
race,Other,0.6,0.7,,0,0
race,Other,0.6,0.7,,0,1
race,Caucasian,0.6,0.7,,0,1
race,African-American,0.6,0.7,,0,1
race,Hispanic,0.6,0.7,,0,1
race,African-American,0.6,0.7,,0,2
race,Other,0.6,0.7,,0,2
race,Caucasian,0.6,0.7,,0,2
race,Hispanic,0.6,0.7,,0,2
race,African-American,0.6,0.7,0.5,2,3
race,Caucasian,0.6,0.7,1.0,1,3
