Attribute,Attribute Value,Lower Limit Score,Upper Limit Score,Conditional Frequency,Individuals Evaluated On,fold_num
race,African-American,0.0,0.1,,0,0
race,Hispanic,0.0,0.1,,0,0
race,Caucasian,0.0,0.1,,0,0
race,Other,0.0,0.1,,0,0
race,Other,0.0,0.1,,0,1
race,Caucasian,0.0,0.1,,0,1
race,African-American,0.0,0.1,,0,1
race,Hispanic,0.0,0.1,,0,1
race,African-American,0.0,0.1,,0,2
race,Other,0.0,0.1,,0,2
race,Caucasian,0.0,0.1,,0,2
race,Hispanic,0.0,0.1,,0,2
race,African-American,0.0,0.1,,0,3
race,Caucasian,0.0,0.1,,0,3
race,Hispanic,0.0,0.1,,0,3
race,Other,0.0,0.1,,0,3
race,Caucasian,0.0,0.1,,0,4
race,African-American,0.0,0.1,,0,4
race,Hispanic,0.0,0.1,,0,4
race,Other,0.0,0.1,,0,4
race,African-American,0.1,0.2,,0,0
race,Hispanic,0.1,0.2,,0,0
race,Caucasian,0.1,0.2,,0,0
race,Other,0.1,0.2,,0,0
race,Other,0.1,0.2,,0,1
race,Caucasian,0.1,0.2,,0,1
race,African-American,0.1,0.2,,0,1
race,Hispanic,0.1,0.2,,0,1
race,African-American,0.1,0.2,,0,2
race,Other,0.1,0.2,,0,2
race,Caucasian,0.1,0.2,,0,2
race,Hispanic,0.1,0.2,,0,2
race,African-American,0.1,0.2,,0,3
race,Caucasian,0.1,0.2,,0,3
race,Hispanic,0.1,0.2,,0,3
race,Other,0.1,0.2,,0,3
race,Caucasian,0.1,0.2,,0,4
race,African-American,0.1,0.2,,0,4
race,Hispanic,0.1,0.2,,0,4
race,Other,0.1,0.2,,0,4
race,African-American,0.2,0.3,,0,0
race,Hispanic,0.2,0.3,,0,0
race,Caucasian,0.2,0.3,,0,0
race,Other,0.2,0.3,,0,0
race,Other,0.2,0.3,,0,1
race,Caucasian,0.2,0.3,0.0,1,1
race,African-American,0.2,0.3,,0,1
race,Hispanic,0.2,0.3,,0,1
race,African-American,0.2,0.3,,0,2
race,Other,0.2,0.3,,0,2
race,Caucasian,0.2,0.3,,0,2
race,Hispanic,0.2,0.3,,0,2
race,African-American,0.2,0.3,,0,3
race,Caucasian,0.2,0.3,,0,3
race,Hispanic,0.2,0.3,,0,3
race,Other,0.2,0.3,,0,3
race,Caucasian,0.2,0.3,,0,4
race,African-American,0.2,0.3,,0,4
race,Hispanic,0.2,0.3,,0,4
race,Other,0.2,0.3,,0,4
race,African-American,0.3,0.4,,0,0
race,Hispanic,0.3,0.4,,0,0
race,Caucasian,0.3,0.4,,0,0
race,Other,0.3,0.4,,0,0
race,Other,0.3,0.4,,0,1
race,Caucasian,0.3,0.4,0.0,8,1
race,African-American,0.3,0.4,0.3333333333333333,3,1
race,Hispanic,0.3,0.4,0.0,3,1
race,African-American,0.3,0.4,,0,2
race,Other,0.3,0.4,,0,2
race,Caucasian,0.3,0.4,,0,2
race,Hispanic,0.3,0.4,,0,2
race,African-American,0.3,0.4,,0,3
race,Caucasian,0.3,0.4,,0,3
race,Hispanic,0.3,0.4,,0,3
race,Other,0.3,0.4,,0,3
race,Caucasian,0.3,0.4,0.0,9,4
race,African-American,0.3,0.4,0.16666666666666666,6,4
race,Hispanic,0.3,0.4,0.0,1,4
race,Other,0.3,0.4,0.0,1,4
race,African-American,0.4,0.5,0.0,2,0
race,Hispanic,0.4,0.5,,0,0
race,Caucasian,0.4,0.5,0.0,6,0
race,Other,0.4,0.5,,0,0
race,Other,0.4,0.5,0.0,2,1
race,Caucasian,0.4,0.5,0.05263157894736842,19,1
race,African-American,0.4,0.5,0.03571428571428571,28,1
race,Hispanic,0.4,0.5,0.0,2,1
race,African-American,0.4,0.5,0.0,16,2
race,Other,0.4,0.5,0.0,1,2
race,Caucasian,0.4,0.5,0.047619047619047616,21,2
race,Hispanic,0.4,0.5,0.0,5,2
race,African-American,0.4,0.5,0.0,8,3
race,Caucasian,0.4,0.5,0.08333333333333333,12,3
race,Hispanic,0.4,0.5,0.0,6,3
race,Other,0.4,0.5,1.0,1,3
race,Caucasian,0.4,0.5,0.09090909090909091,22,4
race,African-American,0.4,0.5,0.15151515151515152,33,4
race,Hispanic,0.4,0.5,0.0,9,4
race,Other,0.4,0.5,0.0,2,4
race,African-American,0.5,0.6,0.23076923076923078,13,0
race,Hispanic,0.5,0.6,0.3333333333333333,3,0
race,Caucasian,0.5,0.6,0.0,13,0
race,Other,0.5,0.6,0.0,5,0
race,Other,0.5,0.6,0.3333333333333333,3,1
race,Caucasian,0.5,0.6,0.20512820512820512,39,1
race,African-American,0.5,0.6,0.15789473684210525,57,1
race,Hispanic,0.5,0.6,0.14285714285714285,7,1
race,African-American,0.5,0.6,0.16666666666666666,54,2
race,Other,0.5,0.6,0.0,4,2
race,Caucasian,0.5,0.6,0.08888888888888889,45,2
