Attribute,Attribute Value,Age,Prior,Label,Expected Score,fold_num
race,African-American,48,4,0,0.058054817781580725,0
race,African-American,19,4,0,0.11152193353280727,0
race,African-American,19,3,1,0.091812618512067,0
race,African-American,19,4,1,0.10847364846781986,0
race,African-American,31,4,0,0.18829448087643727,0
race,African-American,31,4,1,0.05973513469950048,0
race,African-American,29,2,0,0.02855968289754975,0
race,African-American,29,4,0,0.08304552378453352,0
race,African-American,29,4,1,0.11936364437343311,0
race,African-American,24,4,0,0.08905725639280818,0
race,African-American,24,4,1,0.14454872397358853,0
race,African-American,26,2,0,0.054108445128465854,0
race,African-American,26,4,0,0.09887878214124371,0
race,African-American,26,3,1,0.03247669150463487,0
race,African-American,30,4,0,0.10019859567444375,0
race,African-American,58,4,0,0.03849874446496787,0
race,African-American,35,2,0,0.053810839541208653,0
race,African-American,35,4,0,0.16229268517177978,0
race,African-American,35,4,1,0.06869131323653993,0
race,African-American,18,3,0,0.08289118204110753,0
race,African-American,18,4,0,0.12089118773607987,0
race,African-American,18,3,1,0.10556453505915415,0
race,African-American,18,4,1,0.12149687114865787,0
race,African-American,27,4,0,0.0839942254222311,0
race,African-American,27,4,1,0.15464683980511074,0
race,African-American,38,3,0,0.03288989583018663,0
race,African-American,38,4,0,0.07886516746897045,0
race,African-American,23,2,0,0.06906862236736871,0
race,African-American,23,4,0,0.09573091077041744,0
race,African-American,23,4,1,0.09666297642696708,0
race,African-American,25,4,0,0.08729533374425794,0
race,African-American,25,3,1,0.07567789069047097,0
race,African-American,25,4,1,0.10747788561134146,0
race,African-American,34,4,1,0.11127770387459539,0
race,African-American,34,3,0,0.03203036023757759,0
race,African-American,34,4,0,0.06402637314520776,0
race,African-American,33,4,0,0.07058938629287774,0
race,African-American,33,4,1,0.1550903237969093,0
race,African-American,47,4,0,0.0506075005717481,0
race,African-American,28,4,0,0.07515179319382054,0
race,African-American,28,4,1,0.0772491405619761,0
race,African-American,20,2,0,0.07477218775367449,0
race,African-American,20,3,0,0.04349826722365164,0
race,African-American,20,4,0,0.10342188891012927,0
race,African-American,20,4,1,0.0812076440747528,0
race,African-American,45,4,0,0.2255893416073379,0
race,African-American,54,4,0,0.06266540856262785,0
race,African-American,22,2,0,0.05120258123355748,0
race,African-American,22,4,0,0.08521229952465399,0
race,African-American,22,4,1,0.08429063265104403,0
race,African-American,49,4,0,0.04122556999560385,0
race,African-American,21,2,0,0.055698534009505085,0
race,African-American,21,3,0,0.05757263320481193,0
race,African-American,21,4,0,0.10239330950324091,0
race,African-American,21,3,1,0.08368448187244981,0
race,African-American,21,4,1,0.10359342719027104,0
race,African-American,39,4,0,0.06855152128077642,0
race,African-American,50,4,0,0.0517392946662158,0
race,African-American,36,2,1,0.03900801698701916,0
race,African-American,36,4,0,0.07330160287525084,0
race,African-American,46,3,0,0.040265786313554736,0
race,African-American,46,4,0,0.032761066536642694,0
race,African-American,46,4,1,0.2477442782214566,0
race,African-American,42,4,1,0.08916741712144821,0
race,African-American,42,2,0,0.02800026036054965,0
race,African-American,42,4,0,0.056084419268383964,0
race,African-American,44,4,0,0.17481816549954762,0
race,African-American,43,4,0,0.06847503317685164,0
race,African-American,56,4,0,0.043489252986028834,0
race,African-American,37,4,0,0.0981355409624597,0
race,African-American,53,4,0,0.049236207550194366,0
race,African-American,32,3,0,0.03368792979871189,0
race,African-American,32,4,0,0.06352810697846764,0
race,African-American,32,3,1,0.04652730059331288,0
race,African-American,32,4,1,0.05621497487669834,0
race,African-American,62,4,0,0.07632045227955388,0
race,African-American,40,4,0,0.07919586910723772,0
race,African-American,66,4,0,0.0862484991446363,0
race,African-American,51,4,0,0.03808492398204428,0
race,African-American,52,3,0,0.05078877899975889,0
race,African-American,59,4,0,0.08149361349097967,0
race,Hispanic,42,4,0,0.05832286189093565,0
race,Hispanic,27,3,0,0.03854074355195033,0
race,Hispanic,27,4,0,0.07013671706794092,0
race,Hispanic,55,3,0,0.024500401607508993,0
race,Hispanic,20,3,0,0.085050184317268,0
race,Hispanic,20,4,0,0.09202195995300459,0
race,Hispanic,49,4,1,0.10722980408293016,0
race,Hispanic,49,4,0,0.061909452066326,0
race,Hispanic,23,4,0,0.08678044802397754,0
race,Hispanic,25,4,0,0.10098441876580404,0
race,Hispanic,54,4,0,0.026736870200101345,0
race,Hispanic,24,4,0,0.059196573040736576,0
race,Hispanic,34,4,0,0.04487445982700021,0
race,Hispanic,29,4,0,0.04870400507215447,0
race,Hispanic,38,3,0,0.03607651279200228,0
race,Hispanic,22,4,0,0.04999468256367961,0
race,Hispanic,28,3,0,0.0817647935171913,0
race,Hispanic,45,4,0,0.04616136160079119,0
race,Hispanic,39,4,0,0.06412403732735095,0
race,Hispanic,36,4,0,0.06366421758896552,0
race,Hispanic,32,4,0,0.08279261867873514,0
race,Hispanic,26,4,0,0.10271049819316902,0
race,Caucasian,39,2,0,0.05740242177528107,0
race,Caucasian,39,4,0,0.06588602447509026,0
race,Caucasian,39,4,1,0.03168745114290672,0
race,Caucasian,40,3,0,0.0472321315638893,0
race,Caucasian,40,4,0,0.04037667101400176,0
race,Caucasian,40,4,1,0.05080557060049835,0
race,Caucasian,25,3,0,0.07103783385251404,0
race,Caucasian,25,4,0,0.07805777938793917,0
race,Caucasian,25,3,1,0.06345723408969509,0
race,Caucasian,25,4,1,0.08549763127184772,0
race,Caucasian,53,4,0,0.031915427206306385,0
race,Caucasian,41,4,1,0.08082559699158737,0
race,Caucasian,41,4,0,0.03996770499714594,0
race,Caucasian,18,2,0,0.06813366976220939,0
race,Caucasian,18,4,0,0.1195405088585277,0
race,Caucasian,18,4,1,0.11144755979806541,0
race,Caucasian,34,4,1,0.07753673806264894,0
race,Caucasian,34,3,0,0.03009632790725474,0
race,Caucasian,34,4,0,0.07060087096595014,0
race,Caucasian,32,4,0,0.04407950641389771,0
race,Caucasian,21,4,1,0.07219925674374111,0
race,Caucasian,21,2,0,0.0716078790002366,0
race,Caucasian,21,3,0,0.049468449300728023,0
race,Caucasian,21,4,0,0.08649954512179149,0
race,Caucasian,26,4,1,0.07326564520368727,0
race,Caucasian,26,4,0,0.05353997469287698,0
race,Caucasian,51,2,0,0.054711580895562786,0
race,Caucasian,24,3,0,0.0370839656961475,0
race,Caucasian,24,4,0,0.060942992251495125,0
race,Caucasian,49,4,1,0.10023923949264246,0
race,Caucasian,49,4,0,0.06475433842663081,0
race,Caucasian,56,4,1,0.04458320080546927,0
race,Caucasian,56,4,0,0.024372701200716784,0
race,Caucasian,48,4,0,0.03571701550976996,0
race,Caucasian,37,3,0,0.05104615994201956,0
race,Caucasian,37,4,0,0.042201487784578565,0
race,Caucasian,20,4,1,0.08035073492056201,0
race,Caucasian,20,2,0,0.07373585714414416,0
race,Caucasian,20,3,0,0.05972583768657477,0
race,Caucasian,20,4,0,0.12173159492587579,0
race,Caucasian,54,3,0,0.02359755085865347,0
race,Caucasian,54,4,1,0.09979991280690739,0
race,Caucasian,46,3,0,0.062182196202317956,0
race,Caucasian,46,4,0,0.04226776644868336,0
race,Caucasian,28,4,0,0.196623263034415,0
race,Caucasian,28,4,1,0.048285028919407495,0
race,Caucasian,50,2,0,0.04007834385127751,0
race,Caucasian,50,3,0,0.05418999964612028,0
race,Caucasian,50,4,0,0.03493483131604459,0
race,Caucasian,23,4,1,0.061048426173211906,0
race,Caucasian,23,4,0,0.0639403847327667,0
race,Caucasian,58,4,0,0.030161424340180428,0
race,Caucasian,29,4,0,0.059375996175309975,0
race,Caucasian,29,4,1,0.052850084719092756,0
race,Caucasian,47,4,0,0.03194491889292121,0
race,Caucasian,42,3,0,0.023122297715866394,0
race,Caucasian,22,4,0,0.07045057189122321,0
race,Caucasian,33,4,0,0.07226348087471467,0
race,Caucasian,27,4,0,0.12400658686951771,0
race,Caucasian,27,4,1,0.04366739173252438,0
race,Caucasian,38,4,0,0.07803884894177548,0
race,Caucasian,30,4,0,0.04030906554645047,0
race,Caucasian,52,4,1,0.02880081149341762,0
race,Caucasian,52,3,0,0.05722846038075291,0
race,Caucasian,43,4,0,0.045562978240650774,0
race,Caucasian,31,4,0,0.0681256540926059,0
race,Caucasian,31,4,1,0.05480076186004042,0
race,Caucasian,63,2,0,0.02191457637431286,0
race,Caucasian,45,3,0,0.02869309354913238,0
race,Caucasian,45,4,0,0.03693011936840083,0
race,Caucasian,44,4,0,0.052285269167225916,0
race,Caucasian,19,4,0,0.11562645084133163,0
race,Caucasian,35,2,0,0.024665264940984262,0
race,Caucasian,35,4,0,0.08910361107642109,0
race,Caucasian,35,4,1,0.03249387549618478,0
race,Caucasian,36,4,0,0.04550240771111096,0
race,Caucasian,55,3,0,0.024270880716186626,0
race,Caucasian,69,4,0,0.04325570973160601,0
race,Other,34,4,0,0.03455070219419222,0
race,Other,33,4,0,0.04497212830750463,0
race,Other,38,4,0,0.029156425018216088,0
race,Other,27,4,1,0.07006128723312657,0
race,Other,27,4,0,0.08593739189102849,0
race,Other,20,4,0,0.07126207463792382,0
race,Other,31,4,1,0.042540046422601514,0
race,Other,22,4,0,0.09595456825396324,0
race,Other,25,3,0,0.053661211328351846,0
race,Other,25,4,0,0.08391204389377298,0
race,Other,29,2,0,0.0643001633709615,0
race,Other,39,3,0,0.052652211886447614,0
race,Other,37,4,1,0.14778686058391752,0
race,Other,35,3,0,0.0510292754658825,0
race,Other,23,4,0,0.09446816561731358,0
race,Other,45,4,0,0.05332039209109726,0
race,Other,18,4,0,0.0911626644175855,0
race,Other,32,4,0,0.08531807278417156,0
race,Other,40,4,0,0.04692919145929959,0
sex,male,48,4,0,0.048481473950804675,0
sex,male,42,3,0,0.023122297715866394,0
sex,male,42,4,0,0.06303227638187255,0
sex,male,42,4,1,0.08916741712144821,0
sex,male,19,4,0,0.10882046430437763,0
sex,male,19,3,1,0.091812618512067,0
sex,male,19,4,1,0.10847364846781986,0
sex,male,31,4,0,0.1591087588611918,0
sex,male,31,4,1,0.05235864766071413,0
sex,male,29,2,0,0.046429923134255625,0
sex,male,29,4,0,0.06987676109202731,0
sex,male,29,4,1,0.09719245782198632,0
sex,male,24,3,0,0.0370839656961475,0
sex,male,24,4,0,0.07867512223135266,0
sex,male,24,4,1,0.14454872397358853,0
sex,male,39,3,0,0.052652211886447614,0
sex,male,39,4,0,0.06641912383622749,0
sex,male,39,4,1,0.03168745114290672,0
sex,male,26,2,0,0.054108445128465854,0
sex,male,26,4,0,0.10496993348504154,0
sex,male,26,3,1,0.03247669150463487,0
sex,male,26,4,1,0.07326564520368727,0
sex,male,27,3,0,0.03854074355195033,0
sex,male,27,4,0,0.09052964669454733,0
sex,male,27,4,1,0.10795508093568496,0
sex,male,55,3,0,0.02438564116184781,0
sex,male,35,2,0,0.053810839541208653,0
sex,male,35,3,0,0.0510292754658825,0
sex,male,35,4,0,0.13789632713999356,0
sex,male,35,4,1,0.056625500656421544,0
sex,male,34,3,0,0.03009632790725474,0
sex,male,34,4,0,0.05749504667079578,0
sex,male,34,4,1,0.0910331243874275,0
sex,male,40,3,0,0.0472321315638893,0
sex,male,40,4,0,0.05721485434035571,0
sex,male,18,2,0,0.06813366976220939,0
sex,male,18,3,0,0.08289118204110753,0
sex,male,18,4,0,0.11522893059549509,0
sex,male,18,3,1,0.10556453505915415,0
sex,male,18,4,1,0.11647221547336165,0
sex,male,53,4,0,0.043462614102231706,0
sex,male,33,4,0,0.06563334415398682,0
sex,male,33,4,1,0.1550903237969093,0
sex,male,41,4,1,0.08082559699158737,0
sex,male,41,4,0,0.03996770499714594,0
sex,male,32,3,0,0.03368792979871189,0
sex,male,32,4,0,0.0688481036807064,0
sex,male,32,3,1,0.04652730059331288,0
sex,male,32,4,1,0.05621497487669834,0
sex,male,25,3,1,0.06956756239008302,0
sex,male,25,4,1,0.10747788561134146,0
sex,male,25,3,0,0.06234952259043294,0
sex,male,25,4,0,0.08555317142568603,0
sex,male,23,2,0,0.06906862236736871,0
sex,male,23,4,0,0.09198380720728583,0
sex,male,23,4,1,0.08479145967571537,0
sex,male,20,2,0,0.07442674421716437,0
sex,male,20,3,0,0.06427422577045983,0
sex,male,20,4,0,0.09624565747440564,0
sex,male,20,4,1,0.08035073492056201,0
sex,male,49,4,1,0.1037345217877863,0
sex,male,49,4,0,0.05227873262104112,0
sex,male,56,4,1,0.04458320080546927,0
sex,male,56,4,0,0.03711706905759148,0
sex,male,47,4,0,0.039151484342594176,0
sex,male,37,3,0,0.05104615994201956,0
sex,male,37,4,0,0.08308452144206059,0
sex,male,37,4,1,0.14778686058391752,0
sex,male,45,3,0,0.02869309354913238,0
sex,male,45,4,0,0.10681849139434373,0
sex,male,54,3,0,0.02414924760580754,0
sex,male,54,4,0,0.0447011393813646,0
sex,male,54,4,1,0.09979991280690739,0
sex,male,50,2,0,0.04007834385127751,0
sex,male,50,3,0,0.05418999964612028,0
sex,male,50,4,0,0.043300617963047426,0
sex,male,46,3,0,0.05122399125793635,0
sex,male,46,4,0,0.03751441649266303,0
sex,male,46,4,1,0.2477442782214566,0
sex,male,21,2,0,0.0610016490064156,0
sex,male,21,3,0,0.05757263320481193,0
sex,male,21,4,0,0.09566316488692844,0
sex,male,21,3,1,0.08368448187244981,0
sex,male,21,4,1,0.09259513832097255,0
sex,male,30,4,0,0.09023835637353202,0
sex,male,36,2,1,0.03900801698701916,0
sex,male,36,4,0,0.06913471706396358,0
sex,male,22,2,0,0.05493084856042474,0
sex,male,22,4,0,0.08064302441265642,0
sex,male,22,4,1,0.10683402292925288,0
sex,male,28,3,0,0.0817647935171913,0
sex,male,28,4,0,0.09000683316672929,0
sex,male,28,4,1,0.072421788621548,0
sex,male,44,4,0,0.13397386672210707,0
sex,male,43,4,0,0.06999568434591998,0
sex,male,38,3,0,0.03448320431109446,0
sex,male,38,4,0,0.09551036713285183,0
sex,male,62,4,0,0.07632045227955388,0
sex,male,52,4,1,0.02880081149341762,0
sex,male,52,3,0,0.05722846038075291,0
sex,male,66,4,0,0.0862484991446363,0
sex,male,58,4,0,0.05439751253235097,0
sex,male,51,4,0,0.03808492398204428,0
sex,male,69,4,0,0.04325570973160601,0
sex,male,59,4,0,0.08149361349097967,0
sex,female,30,4,0,0.06354962391524453,0
sex,female,58,4,0,0.026380700368882598,0
sex,female,25,4,0,0.07807253467576318,0
sex,female,25,4,1,0.08549763127184772,0
sex,female,27,4,0,0.08675039370814912,0
sex,female,38,4,0,0.028629837484173713,0
sex,female,21,4,1,0.07540064906647223,0
sex,female,21,3,0,0.049468449300728023,0
sex,female,21,4,0,0.08549829312879635,0
sex,female,51,2,0,0.054711580895562786,0
sex,female,28,4,0,0.12234806316987125,0
sex,female,23,4,0,0.08318995394335044,0
sex,female,34,3,0,0.03203036023757759,0
sex,female,34,4,0,0.07431024118468363,0
sex,female,22,2,0,0.043746046579823,0
sex,female,22,4,0,0.0634859569972299,0
sex,female,22,4,1,0.06174724237283517,0
sex,female,54,3,0,0.023045854111499398,0
sex,female,39,2,0,0.05740242177528107,0
sex,female,39,4,0,0.06412403732735095,0
sex,female,26,4,0,0.04462390405213503,0
sex,female,36,4,0,0.05875019846132549,0
sex,female,50,4,0,0.02671482478137284,0
sex,female,47,4,0,0.05910640213071001,0
sex,female,42,2,0,0.02800026036054965,0
sex,female,42,4,0,0.03971773317302161,0
sex,female,31,4,0,0.06469971536975637,0
sex,female,37,4,0,0.04647151268829388,0
sex,female,32,4,0,0.061838522002226504,0
sex,female,43,4,0,0.041001024733445746,0
sex,female,63,2,0,0.02191457637431286,0
sex,female,19,4,0,0.1386412527488635,0
sex,female,35,2,0,0.024665264940984262,0
sex,female,20,4,1,0.0812076440747528,0
sex,female,20,3,0,0.05972583768657477,0
sex,female,40,4,1,0.05080557060049835,0
sex,female,18,4,0,0.12243484950598986,0
sex,female,52,3,0,0.05078877899975889,0
race,Other,40,4,0,0.05813942955190588,1
race,Other,34,4,0,0.06716816802250387,1
race,Other,27,4,0,0.11593902089201263,1
race,Other,22,4,0,0.07243643042902599,1
race,Other,35,4,0,0.039214875730865094,1
race,Other,26,4,0,0.08688350246730261,1
race,Other,43,4,0,0.08123953790739223,1
race,Other,20,4,1,0.15830524330143736,1
race,Other,20,4,0,0.0773320089920032,1
race,Other,18,4,1,0.09514621765554418,1
race,Other,25,4,0,0.08641122384939703,1
race,Caucasian,28,4,0,0.056150478777505036,1
race,Caucasian,28,4,1,0.11586875462008382,1
race,Caucasian,50,2,0,0.035904246856444,1
race,Caucasian,50,4,0,0.11026171609940968,1
race,Caucasian,23,4,1,0.10168676033617713,1
race,Caucasian,23,4,0,0.1100025795056675,1
race,Caucasian,43,2,0,0.03385276100924276,1
race,Caucasian,43,4,0,0.07856122234639892,1
race,Caucasian,43,4,1,0.18218741251325946,1
race,Caucasian,42,4,0,0.06029360960716362,1
race,Caucasian,48,4,0,0.08741551753412541,1
race,Caucasian,20,3,0,0.06943771653753127,1
race,Caucasian,20,4,0,0.09502974988810414,1
race,Caucasian,55,4,0,0.05335636856271161,1
race,Caucasian,55,4,1,0.062197725759496586,1
race,Caucasian,25,3,0,0.04688995399261247,1
race,Caucasian,25,4,0,0.07005183826835269,1
race,Caucasian,35,4,0,0.056675591886060125,1
race,Caucasian,31,2,0,0.05621970754614986,1
race,Caucasian,31,4,0,0.06627911839443794,1
race,Caucasian,31,4,1,0.05854777746461206,1
race,Caucasian,45,4,0,0.16198229399618777,1
race,Caucasian,45,4,1,0.06690880663803389,1
race,Caucasian,22,4,0,0.06050172439081938,1
race,Caucasian,22,2,1,0.05053493266249643,1
race,Caucasian,22,4,1,0.0623505211725334,1
race,Caucasian,34,3,0,0.05871243359443904,1
race,Caucasian,34,4,0,0.04625736958557398,1
race,Caucasian,37,3,0,0.0434596182293078,1
race,Caucasian,37,4,0,0.062427842875442764,1
race,Caucasian,19,4,0,0.12079115032025739,1
race,Caucasian,19,3,1,0.05790966155396252,1
race,Caucasian,19,4,1,0.07340883655772985,1
race,Caucasian,44,2,0,0.07615013630223605,1
race,Caucasian,44,4,0,0.04624997981671217,1
race,Caucasian,18,4,0,0.09211586411584144,1
race,Caucasian,21,2,1,0.0762884269584052,1
race,Caucasian,21,4,1,0.06717708291652118,1
race,Caucasian,21,4,0,0.07352109577782881,1
race,Caucasian,30,4,0,0.09306781858645122,1
race,Caucasian,41,4,0,0.05191915665527784,1
race,Caucasian,51,4,0,0.056825610298753215,1
race,Caucasian,47,4,0,0.05771456481468627,1
race,Caucasian,47,4,1,0.12475867347831053,1
race,Caucasian,26,2,0,0.04823537227988476,1
