Attribute,Attribute Value,Age,Prior,Label,Expected Score,fold_num
race,African-American,48,4,0,0.4826075154081041,0
race,African-American,19,4,0,0.5377966699568792,0
race,African-American,19,3,1,0.5680150055650647,0
race,African-American,19,4,1,0.5274949716484078,0
race,African-American,31,4,0,0.5465074296734086,0
race,African-American,29,2,0,0.4583005929693464,0
race,African-American,29,4,0,0.5210714922617254,0
race,African-American,29,4,1,0.538631666091828,0
race,African-American,24,4,0,0.5372860095078434,0
race,African-American,24,4,1,0.5888443996336032,0
race,African-American,26,2,0,0.4932450140168395,0
race,African-American,26,3,0,0.4332006800924774,0
race,African-American,26,4,0,0.4921983125183196,0
race,African-American,30,4,0,0.529536912681573,0
race,African-American,58,4,0,0.4294533839084388,0
race,African-American,35,2,0,0.5281894350643326,0
race,African-American,35,4,0,0.5154854896560874,0
race,African-American,35,4,1,0.3827919651330271,0
race,African-American,18,3,0,0.5677131970963166,0
race,African-American,18,4,0,0.5244189315734991,0
race,African-American,18,3,1,0.5680150055650647,0
race,African-American,18,4,1,0.5161366850293251,0
race,African-American,27,4,0,0.4776597872229548,0
race,African-American,27,4,1,0.5669748584276837,0
race,African-American,38,3,0,0.3904858757664407,0
race,African-American,38,4,0,0.4921476504557892,0
race,African-American,23,2,0,0.5960610039832178,0
race,African-American,23,4,0,0.5278049839004741,0
race,African-American,23,4,1,0.5662255084293103,0
race,African-American,25,4,0,0.48359505562663774,0
race,African-American,25,3,1,0.458791952258198,0
race,African-American,25,4,1,0.4721795925888845,0
race,African-American,34,4,1,0.5234588026755113,0
race,African-American,34,3,0,0.4047228907487981,0
race,African-American,34,4,0,0.48914545253995156,0
race,African-American,33,4,0,0.4953881938644545,0
race,African-American,33,4,1,0.44407181415421787,0
race,African-American,47,4,0,0.4540822760606786,0
race,African-American,28,4,0,0.5015049454014917,0
race,African-American,28,4,1,0.4659364831356824,0
race,African-American,20,2,0,0.5834427592265884,0
race,African-American,20,3,0,0.4873890833860687,0
race,African-American,20,4,0,0.5145070874241394,0
race,African-American,45,4,0,0.5400093174016267,0
race,African-American,54,4,0,0.5212476568791383,0
race,African-American,22,2,0,0.5370634218658138,0
race,African-American,22,4,0,0.5204845054081815,0
race,African-American,22,4,1,0.5905950129215596,0
race,African-American,49,4,0,0.4128107409450751,0
race,African-American,21,2,0,0.5419471916544318,0
race,African-American,21,3,0,0.47258714397519463,0
race,African-American,21,4,0,0.5303532630762083,0
race,African-American,21,3,1,0.5125770939932638,0
race,African-American,21,4,1,0.5535372223443737,0
race,African-American,39,4,0,0.5012733341971394,0
race,African-American,50,4,0,0.47470823710831517,0
race,African-American,36,2,1,0.4730910112570504,0
race,African-American,36,4,0,0.44478498358229,0
race,African-American,46,3,0,0.3904858757664407,0
race,African-American,46,4,0,0.4414388286770063,0
race,African-American,46,4,1,0.5561893632743915,0
race,African-American,42,4,1,0.4613401208622761,0
race,African-American,42,2,0,0.4583005929693464,0
race,African-American,42,4,0,0.4830121867410235,0
race,African-American,44,4,0,0.4730968163621894,0
race,African-American,43,4,0,0.42881841572522356,0
race,African-American,56,4,0,0.4627476915560247,0
race,African-American,37,4,0,0.47745074667008486,0
race,African-American,53,4,0,0.4688481817978638,0
race,African-American,32,3,0,0.4312511110213345,0
race,African-American,32,4,0,0.5095814522084938,0
race,African-American,32,4,1,0.458791952258198,0
race,African-American,62,4,0,0.5069939882112624,0
race,African-American,40,4,0,0.5563760468707386,0
race,African-American,66,4,0,0.4125937886632597,0
race,African-American,51,4,0,0.4884872430969497,0
race,African-American,52,3,0,0.4603840095988452,0
race,African-American,59,4,0,0.5131463936452405,0
race,Hispanic,42,4,0,0.41232266254812494,0
race,Hispanic,27,3,0,0.41873401270085686,0
race,Hispanic,27,4,0,0.45848658346825466,0
race,Hispanic,55,3,0,0.43092348304961214,0
race,Hispanic,20,3,0,0.5128843674403034,0
race,Hispanic,20,4,0,0.5398868151717418,0
race,Hispanic,49,4,1,0.4572613586398657,0
race,Hispanic,49,4,0,0.4166223360588878,0
race,Hispanic,23,4,0,0.446334808407605,0
race,Hispanic,25,4,0,0.5855700084397446,0
race,Hispanic,54,4,0,0.43066175299453796,0
race,Hispanic,24,4,0,0.49811679239277323,0
race,Hispanic,34,4,0,0.4332006800924774,0
