Attribute,Attribute Value,Age,Prior,Label,Expected Score,fold_num
race,African-American,48,4,0,0.10770105843503769,0
race,African-American,19,4,0,0.10701778045576656,0
race,African-American,19,3,1,0.039334341906202726,0
race,African-American,31,4,0,0.0802405903193754,0
race,African-American,31,4,1,0.039334341906202726,0
race,African-American,29,2,0,0.059490084985835696,0
race,African-American,29,4,0,0.04269363241947489,0
race,African-American,24,4,0,0.07755852105742425,0
race,African-American,26,2,0,0.04941221344601921,0
race,African-American,26,4,0,0.08584717903940643,0
race,African-American,26,3,1,0.059490084985835696,0
race,African-American,30,4,0,0.08296931629825226,0
race,African-American,58,4,0,0.04941221344601921,0
race,African-American,35,2,0,0.039334341906202726,0
race,African-American,35,4,0,0.0943395266696422,0
race,African-American,18,3,0,0.039334341906202726,0
race,African-American,18,4,0,0.1041958571686424,0
race,African-American,18,4,1,0.1267605633802817,0
race,African-American,27,4,0,0.15490172631836152,0
race,African-American,38,3,0,0.059490084985835696,0
race,African-American,38,4,0,0.05781709752122673,0
race,African-American,23,2,0,0.039334341906202726,0
race,African-American,23,4,0,0.11964758574207852,0
race,African-American,23,4,1,0.15842151308115313,0
race,African-American,25,3,0,0.039334341906202726,0
race,African-American,25,4,0,0.058254469132098356,0
race,African-American,25,4,1,0.25735294117647056,0
race,African-American,34,4,1,0.1267605633802817,0
race,African-American,34,3,0,0.039334341906202726,0
race,African-American,34,4,0,0.1267605633802817,0
race,African-American,33,4,0,0.04437327767611097,0
race,African-American,33,4,1,0.1267605633802817,0
race,African-American,47,4,0,0.14786786318086265,0
race,African-American,28,4,0,0.06959335696435301,0
race,African-American,20,2,0,0.039334341906202726,0
race,African-American,20,3,0,0.039334341906202726,0
race,African-American,20,4,0,0.0830474526432422,0
race,African-American,20,4,1,0.1267605633802817,0
race,African-American,45,4,0,0.5297450424929179,0
race,African-American,54,4,0,0.039334341906202726,0
race,African-American,22,2,0,0.05277150395929137,0
race,African-American,22,4,0,0.09376115185847042,0
race,African-American,22,4,1,0.1267605633802817,0
race,African-American,49,4,0,0.14834364154133664,0
race,African-American,21,2,0,0.059490084985835696,0
race,African-American,21,3,0,0.07519499675744003,0
race,African-American,21,4,0,0.10454993259020216,0
race,African-American,21,4,1,0.25735294117647056,0
race,African-American,39,4,0,0.039334341906202726,0
race,African-American,50,4,0,0.039334341906202726,0
race,African-American,36,2,0,0.039334341906202726,0
race,African-American,36,4,0,0.09312532418305869,0
race,African-American,46,3,0,0.059490084985835696,0
race,African-American,46,4,0,0.039334341906202726,0
race,African-American,46,4,1,0.07462686567164178,0
race,African-American,42,2,0,0.059490084985835696,0
race,African-American,42,4,0,0.09383899172376968,0
race,African-American,44,4,0,0.14834364154133664,0
race,African-American,43,4,0,0.3780389835524925,0
race,African-American,56,4,0,0.04941221344601921,0
race,African-American,37,4,0,0.19644424934152763,0
race,African-American,53,4,0,0.14834364154133664,0
race,African-American,32,3,0,0.059490084985835696,0
race,African-American,32,4,0,0.0830474526432422,0
race,African-American,32,3,1,0.1267605633802817,0
race,African-American,62,4,0,0.25735294117647056,0
race,African-American,40,4,0,0.04941221344601921,0
race,African-American,66,4,0,0.07462686567164178,0
race,African-American,51,4,0,0.059490084985835696,0
race,African-American,52,3,0,0.039334341906202726,0
race,African-American,59,4,0,0.25735294117647056,0
race,Hispanic,42,4,0,0.14834364154133664,0
race,Hispanic,27,3,0,0.059490084985835696,0
race,Hispanic,27,4,0,0.039334341906202726,0
race,Hispanic,55,3,0,0.039334341906202726,0
race,Hispanic,20,3,0,0.1267605633802817,0
race,Hispanic,20,4,0,0.1267605633802817,0
race,Hispanic,49,4,0,0.14834364154133664,0
race,Hispanic,23,4,0,0.06060606060606061,0
race,Hispanic,25,4,0,0.1267605633802817,0
race,Hispanic,54,4,0,0.039334341906202726,0
race,Hispanic,24,4,0,0.039334341906202726,0
race,Hispanic,34,4,0,0.059490084985835696,0
race,Hispanic,29,4,0,0.059490084985835696,0
race,Hispanic,38,3,0,0.059490084985835696,0
race,Hispanic,22,4,0,0.059490084985835696,0
race,Hispanic,28,3,0,0.039334341906202726,0
race,Hispanic,45,4,0,0.059490084985835696,0
race,Hispanic,39,4,0,0.06060606060606061,0
race,Hispanic,36,4,0,0.059490084985835696,0
race,Hispanic,32,4,0,0.0830474526432422,0
race,Hispanic,26,4,0,0.25735294117647056,0
race,Caucasian,39,2,0,0.039334341906202726,0
race,Caucasian,39,4,0,0.04761983426210089,0
race,Caucasian,40,3,0,0.039334341906202726,0
race,Caucasian,40,4,0,0.04941221344601921,0
race,Caucasian,40,4,1,0.1267605633802817,0
race,Caucasian,25,3,0,0.0830474526432422,0
race,Caucasian,25,4,0,0.09402771512927069,0
race,Caucasian,53,4,0,0.039334341906202726,0
race,Caucasian,41,4,0,0.09368331199317115,0
race,Caucasian,18,2,0,0.039334341906202726,0
race,Caucasian,18,4,0,0.10470906245554133,0
race,Caucasian,34,4,1,0.039334341906202726,0
race,Caucasian,34,3,0,0.059490084985835696,0
race,Caucasian,34,4,0,0.039334341906202726,0
race,Caucasian,32,4,0,0.059490084985835696,0
race,Caucasian,21,2,0,0.1267605633802817,0
race,Caucasian,21,3,0,0.059490084985835696,0
race,Caucasian,21,4,0,0.08995325553928879,0
race,Caucasian,21,4,1,0.1267605633802817,0
race,Caucasian,26,4,0,0.04605292293274705,0
race,Caucasian,51,2,0,0.4,0
race,Caucasian,24,3,0,0.039334341906202726,0
race,Caucasian,24,4,0,0.0684764157308957,0
race,Caucasian,49,4,0,0.14834364154133664,0
race,Caucasian,56,4,1,0.059490084985835696,0
race,Caucasian,56,4,0,0.059490084985835696,0
race,Caucasian,48,4,0,0.04605292293274705,0
race,Caucasian,37,3,0,0.1267605633802817,0
race,Caucasian,37,4,0,0.04941221344601921,0
race,Caucasian,20,2,0,0.039334341906202726,0
race,Caucasian,20,3,0,0.059490084985835696,0
race,Caucasian,20,4,0,0.07556698863084833,0
race,Caucasian,54,3,0,0.04941221344601921,0
race,Caucasian,54,4,0,0.039334341906202726,0
race,Caucasian,46,3,0,0.039334341906202726,0
race,Caucasian,46,4,0,0.039334341906202726,0
race,Caucasian,28,4,0,0.14834364154133664,0
race,Caucasian,50,2,0,0.059490084985835696,0
race,Caucasian,50,3,0,0.4,0
race,Caucasian,50,4,0,0.039334341906202726,0
race,Caucasian,23,4,0,0.06119089727472247,0
race,Caucasian,58,4,0,0.059490084985835696,0
race,Caucasian,29,4,0,0.05277150395929137,0
race,Caucasian,29,4,1,0.059490084985835696,0
race,Caucasian,47,4,0,0.04941221344601921,0
race,Caucasian,42,3,0,0.039334341906202726,0
race,Caucasian,22,4,0,0.0783359791117609,0
race,Caucasian,33,4,0,0.1267605633802817,0
race,Caucasian,27,4,0,0.15897950089126558,0
race,Caucasian,27,4,1,0.059490084985835696,0
race,Caucasian,38,4,0,0.039334341906202726,0
