Attribute,Attribute Value,Age,Prior,Label,Expected Score,fold_num
race,African-American,48,4,0,0.009311294514987335,0
race,African-American,19,4,0,0.012153827987618606,0
race,African-American,19,3,1,0.007636834257150164,0
race,African-American,31,4,0,0.017674759855957588,0
race,African-American,31,4,1,0.006104869012080001,0
race,African-American,29,2,0,0.004301044741035021,0
race,African-American,29,4,0,0.010413034034253307,0
race,African-American,24,4,0,0.011111304976431244,0
race,African-American,26,2,0,0.00653044835851203,0
race,African-American,26,4,0,0.009469487371122078,0
race,African-American,26,3,1,0.004738958204502924,0
race,African-American,30,4,0,0.010775083711969044,0
race,African-American,58,4,0,0.005384275254760636,0
race,African-American,35,2,0,0.005560640459817895,0
race,African-American,35,4,0,0.019534675610556013,0
race,African-American,18,3,0,0.00960683913664847,0
race,African-American,18,4,0,0.013693533196099084,0
race,African-American,18,4,1,0.013798231587344785,0
race,African-American,27,4,0,0.010467177589389027,0
race,African-American,38,3,0,0.005654170739554374,0
race,African-American,38,4,0,0.009099270884146495,0
race,African-American,23,2,0,0.007348348777178731,0
race,African-American,23,4,0,0.011773833129558374,0
race,African-American,23,4,1,0.012472546042254302,0
race,African-American,25,3,0,0.006511119927676871,0
race,African-American,25,4,0,0.008821140090369016,0
race,African-American,25,4,1,0.02409000975604372,0
race,African-American,34,4,1,0.02059210307346942,0
race,African-American,34,3,0,0.0034992478967402645,0
race,African-American,34,4,0,0.00907890782190257,0
race,African-American,33,4,0,0.007049934929608476,0
race,African-American,33,4,1,0.00780927618229751,0
race,African-American,47,4,0,0.007515637962646568,0
race,African-American,28,4,0,0.0088065990158357,0
race,African-American,20,2,0,0.00735823119516011,0
race,African-American,20,3,0,0.004408488352506159,0
race,African-American,20,4,0,0.011902560150446523,0
race,African-American,20,4,1,0.008861059758483947,0
race,African-American,45,4,0,0.03237551795012612,0
race,African-American,54,4,0,0.006821435402783088,0
race,African-American,22,2,0,0.006928191677692551,0
race,African-American,22,4,0,0.011338451652016593,0
race,African-American,22,4,1,0.011419846194671936,0
race,African-American,49,4,0,0.0066176952419304755,0
race,African-American,21,2,0,0.007402078043957065,0
race,African-American,21,3,0,0.0074617274770165595,0
race,African-American,21,4,0,0.011182506463897549,0
race,African-American,21,4,1,0.0188790204930946,0
race,African-American,39,4,0,0.00669306702240533,0
race,African-American,50,4,0,0.006662906261817369,0
race,African-American,36,2,0,0.004101566798878879,0
race,African-American,36,4,0,0.00811332836266234,0
race,African-American,46,3,0,0.0063733376489798176,0
race,African-American,46,4,0,0.003935912200505642,0
race,African-American,46,4,1,0.023228211539945552,0
race,African-American,42,2,0,0.004631450178803132,0
race,African-American,42,4,0,0.006969865930568593,0
race,African-American,44,4,0,0.03509291407479051,0
race,African-American,43,4,0,0.014656327251591194,0
race,African-American,56,4,0,0.005965190342656105,0
race,African-American,37,4,0,0.012962796125365382,0
race,African-American,53,4,0,0.006405223066014623,0
race,African-American,32,3,0,0.005275975177335814,0
race,African-American,32,4,0,0.008315297857363783,0
race,African-American,32,3,1,0.0072984008692999775,0
race,African-American,62,4,0,0.014100209939490958,0
race,African-American,40,4,0,0.009939603598317272,0
race,African-American,66,4,0,0.032555575446536804,0
race,African-American,51,4,0,0.005635956704143363,0
race,African-American,52,3,0,0.005882337897493741,0
race,African-American,59,4,0,0.009254787505598506,0
race,Hispanic,42,4,0,0.007977851948708816,0
race,Hispanic,27,3,0,0.006197447525431672,0
race,Hispanic,27,4,0,0.006481154293560545,0
race,Hispanic,55,3,0,0.0038076292786740308,0
race,Hispanic,20,3,0,0.012264953176388043,0
race,Hispanic,20,4,0,0.013129681363334434,0
race,Hispanic,49,4,0,0.011409228491543494,0
race,Hispanic,23,4,0,0.010535172619741613,0
race,Hispanic,25,4,0,0.010754298751183732,0
race,Hispanic,54,4,0,0.0033551779654015486,0
race,Hispanic,24,4,0,0.006678705385098534,0
race,Hispanic,34,4,0,0.006104262790104309,0
race,Hispanic,29,4,0,0.006803691190350178,0
race,Hispanic,38,3,0,0.006529469403290471,0
race,Hispanic,22,4,0,0.007379171112941817,0
race,Hispanic,28,3,0,0.007235648424747609,0
race,Hispanic,45,4,0,0.0060030907424442285,0
race,Hispanic,39,4,0,0.00737196791244532,0
race,Hispanic,36,4,0,0.00980631793644082,0
race,Hispanic,32,4,0,0.01005908876645082,0
race,Hispanic,26,4,0,0.015973340246887402,0
race,Caucasian,39,2,0,0.005633357354263978,0
race,Caucasian,39,4,0,0.006879341570264592,0
race,Caucasian,40,3,0,0.005246882139899537,0
race,Caucasian,40,4,0,0.005518784159430925,0
race,Caucasian,40,4,1,0.0076824424888688484,0
race,Caucasian,25,3,0,0.008530149199091105,0
race,Caucasian,25,4,0,0.010215436122774924,0
race,Caucasian,53,4,0,0.004331816730640974,0
race,Caucasian,41,4,0,0.008372059298088992,0
race,Caucasian,18,2,0,0.009005709651356372,0
race,Caucasian,18,4,0,0.014355759606333923,0
race,Caucasian,34,4,1,0.00853903542850709,0
race,Caucasian,34,3,0,0.005725791229390645,0
race,Caucasian,34,4,0,0.007405102212541049,0
race,Caucasian,32,4,0,0.014545590176469747,0
race,Caucasian,21,2,0,0.009597244749529011,0
race,Caucasian,21,3,0,0.006463230136098975,0
race,Caucasian,21,4,0,0.010732312121357177,0
race,Caucasian,21,4,1,0.008939756486028256,0
race,Caucasian,26,4,0,0.006761355924228561,0
race,Caucasian,51,2,0,0.00862719416783665,0
race,Caucasian,24,3,0,0.004108387716192813,0
race,Caucasian,24,4,0,0.006805175478628622,0
race,Caucasian,49,4,0,0.01263875099518314,0
race,Caucasian,56,4,1,0.007449464856684,0
race,Caucasian,56,4,0,0.003921318850600596,0
race,Caucasian,48,4,0,0.004499234104021001,0
race,Caucasian,37,3,0,0.008424147587150831,0
race,Caucasian,37,4,0,0.005271144703521339,0
race,Caucasian,20,2,0,0.007373910974730424,0
race,Caucasian,20,3,0,0.008113760288170893,0
race,Caucasian,20,4,0,0.011867599487677379,0
race,Caucasian,54,3,0,0.0035149084403843294,0
race,Caucasian,54,4,0,0.010290024460474568,0
race,Caucasian,46,3,0,0.00606531446523729,0
race,Caucasian,46,4,0,0.004803217013221158,0
race,Caucasian,28,4,0,0.027677455856955677,0
race,Caucasian,50,2,0,0.007078167761887166,0
race,Caucasian,50,3,0,0.01062900569088169,0
race,Caucasian,50,4,0,0.004338906555096159,0
race,Caucasian,23,4,0,0.006326618912569772,0
race,Caucasian,58,4,0,0.006146393128628218,0
race,Caucasian,29,4,0,0.011092610785471135,0
race,Caucasian,29,4,1,0.006744520773252068,0
race,Caucasian,47,4,0,0.004138076500795261,0
race,Caucasian,42,3,0,0.002726239538067489,0
race,Caucasian,22,4,0,0.007897052251196787,0
race,Caucasian,33,4,0,0.011135943950153755,0
race,Caucasian,27,4,0,0.02030151601963981,0
race,Caucasian,27,4,1,0.006108372139216484,0
race,Caucasian,38,4,0,0.007919546675700393,0
race,Caucasian,30,4,0,0.00433057912764366,0
race,Caucasian,52,4,1,0.0054500834306781,0
race,Caucasian,52,3,0,0.006396204190837894,0
race,Caucasian,43,4,0,0.005692614654339943,0
race,Caucasian,31,4,0,0.0077098903899321496,0
race,Caucasian,63,2,0,0.0028811850266524273,0
race,Caucasian,45,3,0,0.004336258408862697,0
race,Caucasian,45,4,0,0.005223637352283217,0
race,Caucasian,44,4,0,0.005200050537590394,0
race,Caucasian,19,4,0,0.015291227143736506,0
race,Caucasian,35,2,0,0.004220218159748809,0
race,Caucasian,35,4,0,0.017404914464568096,0
race,Caucasian,36,4,0,0.005982751502325881,0
race,Caucasian,55,3,0,0.004455937638253379,0
race,Caucasian,69,4,0,0.006702324398859736,0
race,Other,34,4,0,0.004466382350796109,0
race,Other,33,4,0,0.0060132479797930325,0
race,Other,38,4,0,0.00349322178309224,0
race,Other,27,4,1,0.010139012329441102,0
race,Other,27,4,0,0.012241690908076579,0
race,Other,20,4,0,0.00859396565516162,0
race,Other,31,4,0,0.00516332191987712,0
race,Other,22,4,0,0.012734298635107052,0
race,Other,25,3,0,0.00796853534309016,0
race,Other,25,4,0,0.007581106585374841,0
race,Other,29,2,0,0.008836366123898013,0
race,Other,39,3,0,0.0072699334408705815,0
race,Other,37,4,1,0.017539289528290265,0
race,Other,35,3,0,0.007383964373836014,0
race,Other,23,4,0,0.008047724921608176,0
race,Other,45,4,0,0.00680189419929046,0
race,Other,18,4,0,0.017248817353630864,0
race,Other,32,4,0,0.009610840306819846,0
race,Other,40,4,0,0.005283637370412792,0
sex,male,48,4,0,0.0072489829102874775,0
sex,male,42,3,0,0.002726239538067489,0
sex,male,42,4,0,0.007991498368761974,0
sex,male,19,4,0,0.012790936009239178,0
sex,male,19,3,1,0.007636834257150164,0
sex,male,31,4,0,0.012371289097769184,0
sex,male,31,4,1,0.006104869012080001,0
sex,male,29,2,0,0.006568705432466517,0
sex,male,29,4,0,0.010255972775228342,0
sex,male,29,4,1,0.006744520773252068,0
sex,male,24,3,0,0.004108387716192813,0
sex,male,24,4,0,0.009776613585297354,0
sex,male,39,3,0,0.0072699334408705815,0
sex,male,39,4,0,0.006848295812288049,0
sex,male,26,2,0,0.00653044835851203,0
sex,male,26,4,0,0.009980068349287287,0
sex,male,26,3,1,0.004738958204502924,0
sex,male,27,3,0,0.006197447525431672,0
sex,male,27,4,0,0.011890856228049727,0
sex,male,27,4,1,0.008123692234328793,0
sex,male,55,3,0,0.0041317834584637045,0
sex,male,35,2,0,0.005560640459817895,0
sex,male,35,3,0,0.007383964373836014,0
sex,male,35,4,0,0.01882475522856004,0
sex,male,34,3,0,0.005725791229390645,0
sex,male,34,4,0,0.0074609406343240404,0
sex,male,34,4,1,0.016574413858481976,0
sex,male,40,3,0,0.005246882139899537,0
sex,male,40,4,0,0.007240082577181837,0
sex,male,18,2,0,0.009005709651356372,0
sex,male,18,3,0,0.00960683913664847,0
sex,male,18,4,0,0.014096614317490179,0
sex,male,18,4,1,0.013798231587344785,0
sex,male,53,4,0,0.005714087620890074,0
sex,male,33,4,0,0.00723290175878251,0
sex,male,33,4,1,0.00780927618229751,0
sex,male,41,4,0,0.008372059298088992,0
sex,male,32,3,0,0.005275975177335814,0
sex,male,32,4,0,0.00958756357329419,0
sex,male,32,3,1,0.0072984008692999775,0
sex,male,25,3,0,0.00788498841723731,0
sex,male,25,4,0,0.008916448700398146,0
sex,male,25,4,1,0.02409000975604372,0
sex,male,23,2,0,0.007348348777178731,0
sex,male,23,4,0,0.010370826077935514,0
sex,male,23,4,1,0.012472546042254302,0
sex,male,20,2,0,0.007363457788350215,0
sex,male,20,3,0,0.008336720764447102,0
sex,male,20,4,0,0.01135306517384759,0
sex,male,49,4,0,0.010221891576219036,0
sex,male,56,4,1,0.007449464856684,0
sex,male,56,4,0,0.005283899845304269,0
sex,male,47,4,0,0.005616123532273609,0
sex,male,37,3,0,0.008424147587150831,0
sex,male,37,4,0,0.010990217092190882,0
sex,male,37,4,1,0.017539289528290265,0
sex,male,45,3,0,0.004336258408862697,0
sex,male,45,4,0,0.014930258732260102,0
sex,male,54,3,0,0.004130405803718886,0
sex,male,54,4,0,0.006822212609553069,0
sex,male,50,2,0,0.007078167761887166,0
sex,male,50,3,0,0.01062900569088169,0
sex,male,50,4,0,0.005517695446080674,0
