Attribute,Attribute Value,Age,Prior,Label,Expected Score,fold_num
race,African-American,48,4,0,0.08850617242423224,0
race,African-American,19,3,0,0.14014598540145987,0
race,African-American,19,4,0,0.0663748240054204,0
race,African-American,19,4,1,0.03686635944700461,0
race,African-American,31,4,1,0.14014598540145987,0
race,African-American,31,4,0,0.25900411494948816,0
race,African-American,29,2,0,0.03686635944700461,0
race,African-American,29,4,0,0.08850617242423224,0
race,African-American,29,4,1,0.14014598540145987,0
race,African-American,24,4,0,0.0663748240054204,0
race,African-American,24,4,1,0.14014598540145987,0
race,African-American,26,2,0,0.03686635944700461,0
race,African-American,26,3,0,0.03686635944700461,0
race,African-American,26,4,0,0.10258975778165796,0
race,African-American,30,4,0,0.08850617242423224,0
race,African-American,30,4,1,0.14014598540145987,0
race,African-American,58,4,0,0.14014598540145987,0
race,African-American,35,2,0,0.03686635944700461,0
race,African-American,35,4,0,0.08850617242423224,0
race,African-American,18,3,0,0.03686635944700461,0
race,African-American,18,4,0,0.03686635944700461,0
race,African-American,18,4,1,0.03686635944700461,0
race,African-American,27,4,0,0.0827684154267625,0
race,African-American,27,4,1,0.14014598540145987,0
race,African-American,38,3,0,0.03686635944700461,0
race,African-American,38,4,0,0.22457757296466974,0
race,African-American,23,4,1,0.14014598540145987,0
race,African-American,23,2,0,0.03686635944700461,0
race,African-American,23,4,0,0.07129290143182301,0
race,African-American,25,3,0,0.14014598540145987,0
race,African-American,25,4,0,0.07559621917992533,0
race,African-American,25,4,1,0.08850617242423224,0
race,African-American,34,3,0,0.08850617242423224,0
race,African-American,34,4,0,0.06268626593561842,0
race,African-American,33,4,0,0.11063752084304408,0
race,African-American,33,4,1,0.08850617242423224,0
race,African-American,47,4,0,0.07129290143182303,0
race,African-American,28,4,0,0.0663748240054204,0
race,African-American,28,4,1,0.10571944341664145,0
race,African-American,20,2,1,0.03686635944700461,0
race,African-American,20,2,0,0.03686635944700461,0
race,African-American,20,3,0,0.03686635944700461,0
race,African-American,20,4,0,0.07817820982878672,0
race,African-American,45,4,0,0.08850617242423224,0
race,African-American,54,4,0,0.14014598540145987,0
race,African-American,22,2,0,0.03686635944700461,0
race,African-American,22,4,0,0.10571944341664145,0
race,African-American,22,4,1,0.10571944341664143,0
race,African-American,49,4,0,0.03686635944700461,0
race,African-American,21,2,0,0.03686635944700461,0
race,African-American,21,3,0,0.08850617242423224,0
race,African-American,21,4,0,0.0663748240054204,0
race,African-American,21,3,1,0.03686635944700461,0
race,African-American,21,4,1,0.08850617242423224,0
race,African-American,39,4,0,0.14014598540145987,0
race,African-American,50,4,0,0.03686635944700461,0
race,African-American,50,4,1,0.14014598540145987,0
race,African-American,36,2,0,0.14014598540145987,0
race,African-American,36,4,0,0.08850617242423224,0
race,African-American,46,3,0,0.03686635944700461,0
race,African-American,46,4,0,0.08850617242423224,0
race,African-American,42,2,0,0.03686635944700461,0
race,African-American,42,4,0,0.10571944341664145,0
race,African-American,42,4,1,0.14014598540145987,0
race,African-American,44,4,0,0.14014598540145987,0
race,African-American,43,4,1,0.14014598540145987,0
race,African-American,43,4,0,0.08850617242423224,0
race,African-American,56,4,0,0.14014598540145987,0
race,African-American,56,4,1,0.14014598540145987,0
race,African-American,37,4,0,0.07129290143182303,0
race,African-American,53,4,0,0.03686635944700461,0
race,African-American,32,3,0,0.03686635944700461,0
race,African-American,32,4,0,0.08850617242423224,0
race,African-American,32,4,1,0.08850617242423224,0
race,African-American,62,4,0,0.14014598540145987,0
race,African-American,40,4,0,0.08850617242423224,0
race,African-American,66,4,0,0.14014598540145987,0
race,African-American,51,4,0,0.14014598540145987,0
race,African-American,52,3,0,0.14014598540145987,0
race,African-American,59,4,0,0.14014598540145987,0
race,Hispanic,42,4,0,0.08850617242423224,0
race,Hispanic,27,3,0,0.03686635944700461,0
race,Hispanic,27,4,0,0.03686635944700461,0
race,Hispanic,55,3,0,0.03686635944700461,0
race,Hispanic,20,3,0,0.03686635944700461,0
race,Hispanic,20,4,0,0.14014598540145987,0
race,Hispanic,49,4,0,0.08850617242423224,0
race,Hispanic,23,4,0,0.03686635944700461,0
race,Hispanic,25,4,0,0.14014598540145987,0
race,Hispanic,54,4,0,0.14014598540145987,0
race,Hispanic,24,4,0,0.03686635944700461,0
race,Hispanic,34,4,0,0.03686635944700461,0
race,Hispanic,29,4,0,0.03686635944700461,0
race,Hispanic,38,3,0,0.03686635944700461,0
race,Hispanic,22,4,0,0.03686635944700461,0
race,Hispanic,28,3,0,0.03686635944700461,0
race,Hispanic,45,4,0,0.03686635944700461,0
race,Hispanic,39,4,0,0.03686635944700461,0
race,Hispanic,36,4,0,0.14014598540145987,0
race,Hispanic,32,4,0,0.14014598540145987,0
race,Hispanic,26,4,0,0.03686635944700461,0
race,Caucasian,39,2,0,0.14014598540145987,0
race,Caucasian,39,4,0,0.11432607891284605,0
race,Caucasian,39,4,1,0.14014598540145987,0
race,Caucasian,40,3,0,0.14014598540145987,0
race,Caucasian,40,4,0,0.07129290143182303,0
race,Caucasian,25,3,0,0.03686635944700461,0
race,Caucasian,25,4,0,0.10571944341664145,0
race,Caucasian,25,4,1,0.08850617242423224,0
race,Caucasian,53,4,0,0.03686635944700461,0
race,Caucasian,41,4,0,0.03686635944700461,0
race,Caucasian,18,2,0,0.03686635944700461,0
race,Caucasian,18,4,0,0.07129290143182303,0
race,Caucasian,34,3,0,0.03686635944700461,0
race,Caucasian,34,4,0,0.11949006021056881,0
race,Caucasian,34,4,1,0.14014598540145987,0
race,Caucasian,32,4,0,0.14014598540145987,0
race,Caucasian,21,4,1,0.03686635944700461,0
race,Caucasian,21,2,0,0.03686635944700461,0
race,Caucasian,21,3,0,0.14014598540145987,0
race,Caucasian,21,4,0,0.07559621917992533,0
race,Caucasian,26,4,0,0.14014598540145987,0
race,Caucasian,51,2,0,0.03686635944700461,0
race,Caucasian,24,3,0,0.03686635944700461,0
race,Caucasian,24,4,0,0.07129290143182303,0
race,Caucasian,49,4,0,0.03686635944700461,0
race,Caucasian,56,4,0,0.03686635944700461,0
race,Caucasian,48,4,0,0.08850617242423224,0
race,Caucasian,48,4,1,0.03686635944700461,0
race,Caucasian,37,3,0,0.03686635944700461,0
race,Caucasian,37,4,0,0.14014598540145987,0
race,Caucasian,20,4,1,0.03686635944700461,0
race,Caucasian,20,2,0,0.03686635944700461,0
race,Caucasian,20,3,0,0.03686635944700461,0
race,Caucasian,20,4,0,0.03686635944700461,0
race,Caucasian,54,3,0,0.08850617242423224,0
race,Caucasian,54,4,0,0.14014598540145987,0
race,Caucasian,46,3,0,0.14014598540145987,0
race,Caucasian,46,4,0,0.03686635944700461,0
race,Caucasian,28,4,0,0.08850617242423224,0
race,Caucasian,50,2,0,0.03686635944700461,0
race,Caucasian,50,3,0,0.03686635944700461,0
race,Caucasian,50,4,0,0.08850617242423224,0
race,Caucasian,23,4,1,0.14014598540145987,0
race,Caucasian,23,4,0,0.10571944341664145,0
race,Caucasian,58,4,0,0.03686635944700461,0
race,Caucasian,29,4,0,0.06268626593561842,0
race,Caucasian,47,4,0,0.14014598540145987,0
race,Caucasian,42,3,0,0.03686635944700461,0
race,Caucasian,22,4,0,0.09883413501967778,0
race,Caucasian,33,4,0,0.03686635944700461,0
race,Caucasian,27,4,0,0.10571944341664145,0
race,Caucasian,38,4,0,0.03686635944700461,0
race,Caucasian,30,4,0,0.10571944341664145,0
race,Caucasian,52,3,0,0.14014598540145987,0
race,Caucasian,52,4,0,0.03686635944700461,0
race,Caucasian,43,4,1,0.14014598540145987,0
race,Caucasian,31,4,1,0.03686635944700461,0
race,Caucasian,31,4,0,0.08850617242423224,0
race,Caucasian,63,2,0,0.03686635944700461,0
race,Caucasian,45,3,0,0.03686635944700461,0
