Attribute,Attribute Value,Age,Prior,Label,Expected Score,fold_num
race,African-American,48,4,0,0.004671938632499394,0
race,African-American,19,3,0,0.017492371802358693,0
race,African-American,19,4,0,0.009905742435335593,0
race,African-American,19,4,1,0.00502944308286553,0
race,African-American,31,4,1,0.013852396866199376,0
race,African-American,31,4,0,0.17857124976291774,0
race,African-American,29,2,0,0.002683840143849007,0
race,African-American,29,4,0,0.009364968222234751,0
race,African-American,29,4,1,0.015277600157300987,0
race,African-American,24,4,0,0.006256558153222068,0
race,African-American,24,4,1,0.021950368469913585,0
race,African-American,26,2,0,0.005972806070442113,0
race,African-American,26,3,0,0.0034611872043848234,0
race,African-American,26,4,0,0.016679384889406092,0
race,African-American,30,4,0,0.013800678702825316,0
race,African-American,30,4,1,0.033547571747548154,0
race,African-American,58,4,0,0.007666797503572973,0
race,African-American,35,2,0,0.0053776680992424645,0
race,African-American,35,4,0,0.011845341829971677,0
race,African-American,18,3,0,0.012128077747940415,0
race,African-American,18,4,0,0.006568625241508632,0
race,African-American,18,4,1,0.006467514603675045,0
race,African-American,27,4,0,0.011982871064869803,0
race,African-American,27,4,1,0.011298700356304502,0
race,African-American,38,3,0,0.0018634974747449172,0
race,African-American,38,4,0,0.01357936426418343,0
race,African-American,23,4,1,0.013381754859899684,0
race,African-American,23,2,0,0.006511432753861947,0
race,African-American,23,4,0,0.00771952225320629,0
race,African-American,25,3,0,0.015163590786604918,0
race,African-American,25,4,0,0.015050545730207227,0
race,African-American,25,4,1,0.01365464974917881,0
race,African-American,34,3,0,0.0054065358731246495,0
race,African-American,34,4,0,0.006126668348293345,0
race,African-American,33,4,0,0.025397962340178104,0
race,African-American,33,4,1,0.06676010955591236,0
race,African-American,47,4,0,0.0030767636055147166,0
race,African-American,28,4,0,0.00907438439282705,0
race,African-American,28,4,1,0.011131631743371423,0
race,African-American,20,2,1,0.00984022593425751,0
race,African-American,20,2,0,0.007171373163393147,0
race,African-American,20,3,0,0.005556075174220603,0
race,African-American,20,4,0,0.007698207752934762,0
race,African-American,45,4,0,0.00905647707049285,0
race,African-American,54,4,0,0.01925033608213913,0
race,African-American,22,2,0,0.005124442333796635,0
race,African-American,22,4,0,0.014827377989982243,0
race,African-American,22,4,1,0.01276502553844258,0
race,African-American,49,4,0,0.00265942441829986,0
race,African-American,21,2,0,0.007826035811624643,0
race,African-American,21,3,0,0.00859040159932616,0
race,African-American,21,4,0,0.009523809113757841,0
race,African-American,21,3,1,0.006104029760849141,0
race,African-American,21,4,1,0.0129966436775174,0
race,African-American,39,4,0,0.009921738322565687,0
race,African-American,50,4,0,0.005652444906445092,0
race,African-American,50,4,1,0.004961206566818561,0
race,African-American,36,2,0,0.006001662261852746,0
race,African-American,36,4,0,0.007668892467982933,0
race,African-American,46,3,0,0.0020931997532963147,0
race,African-American,46,4,0,0.01946086911685686,0
race,African-American,42,2,0,0.0016372007010622034,0
race,African-American,42,4,0,0.010369358049923895,0
race,African-American,42,4,1,0.008583056011878648,0
race,African-American,44,4,0,0.01057467066351683,0
race,African-American,43,4,1,0.002017246534859487,0
race,African-American,43,4,0,0.0016000707374338055,0
race,African-American,56,4,0,0.003789183411735845,0
race,African-American,56,4,1,0.005983211874454269,0
race,African-American,37,4,0,0.0055532980480960436,0
race,African-American,53,4,0,0.0028957245065355528,0
race,African-American,32,3,0,0.002890076625796631,0
race,African-American,32,4,0,0.0074987867237524194,0
race,African-American,32,4,1,0.007080415555048783,0
race,African-American,62,4,0,0.003642044960106464,0
race,African-American,40,4,0,0.02454960546864431,0
race,African-American,66,4,0,0.0032598351432986043,0
race,African-American,51,4,0,0.004323757836153717,0
race,African-American,52,3,0,0.008729506196747486,0
race,African-American,59,4,0,0.016659854913163213,0
race,Hispanic,42,4,0,0.003777338127806427,0
race,Hispanic,27,3,0,0.0019592967172531966,0
race,Hispanic,27,4,0,0.005678051687725145,0
race,Hispanic,55,3,0,0.0022557167586351014,0
race,Hispanic,20,3,0,0.004903647954934452,0
race,Hispanic,20,4,0,0.0063973746477671775,0
race,Hispanic,49,4,0,0.008041281291308896,0
race,Hispanic,23,4,0,0.005292086605312409,0
race,Hispanic,25,4,0,0.01855515579243684,0
race,Hispanic,54,4,0,0.005007569204576841,0
race,Hispanic,24,4,0,0.004878914603799524,0
race,Hispanic,34,4,0,0.0036931211509930286,0
race,Hispanic,29,4,0,0.005523452235808585,0
race,Hispanic,38,3,0,0.001818216393490069,0
race,Hispanic,22,4,0,0.0041528410910666004,0
race,Hispanic,28,3,0,0.023701715792120437,0
race,Hispanic,45,4,0,0.0030178034115478317,0
race,Hispanic,39,4,0,0.0034572726174747106,0
race,Hispanic,36,4,0,0.006852267946705366,0
race,Hispanic,32,4,0,0.008837198674502953,0
race,Hispanic,26,4,0,0.0026746662718912743,0
race,Caucasian,39,2,0,0.01012604697191448,0
race,Caucasian,39,4,0,0.007719439189211016,0
race,Caucasian,39,4,1,0.006901856515010499,0
race,Caucasian,40,3,0,0.006163323390468545,0
race,Caucasian,40,4,0,0.004143485495780848,0
race,Caucasian,25,3,0,0.004494803349296285,0
race,Caucasian,25,4,0,0.011094812733053171,0
race,Caucasian,25,4,1,0.01059936711434539,0
race,Caucasian,53,4,0,0.003463620022638007,0
race,Caucasian,41,4,0,0.002042357183813189,0
race,Caucasian,18,2,0,0.007006442984863633,0
race,Caucasian,18,4,0,0.009635771739514026,0
race,Caucasian,34,3,0,0.0017059801248642174,0
race,Caucasian,34,4,0,0.009852543601574733,0
race,Caucasian,34,4,1,0.0222136554766491,0
race,Caucasian,32,4,0,0.004734437565089008,0
race,Caucasian,21,4,1,0.006904527092770819,0
race,Caucasian,21,2,0,0.008995841024116635,0
race,Caucasian,21,3,0,0.01078517683446987,0
race,Caucasian,21,4,0,0.010263988109362836,0
race,Caucasian,26,4,0,0.014635052305563119,0
race,Caucasian,51,2,0,0.0031091079798407513,0
race,Caucasian,24,3,0,0.004099164218677323,0
race,Caucasian,24,4,0,0.009552650418858215,0
race,Caucasian,49,4,0,0.003380715670880368,0
race,Caucasian,56,4,0,0.0015853639188644787,0
race,Caucasian,48,4,0,0.003960673783982746,0
race,Caucasian,48,4,1,0.0016789905373383082,0
race,Caucasian,37,3,0,0.0027439262086843617,0
race,Caucasian,37,4,0,0.0057012015545298686,0
race,Caucasian,20,4,1,0.004417560206230505,0
race,Caucasian,20,2,0,0.01550629194750612,0
race,Caucasian,20,3,0,0.0072703354823527655,0
race,Caucasian,20,4,0,0.007702806075162352,0
race,Caucasian,54,3,0,0.00282558163667152,0
race,Caucasian,54,4,0,0.011089125812029782,0
race,Caucasian,46,3,0,0.009099777618796137,0
race,Caucasian,46,4,0,0.005005585609598429,0
race,Caucasian,28,4,0,0.006467841343177826,0
race,Caucasian,50,2,0,0.002329946921460925,0
race,Caucasian,50,3,0,0.0037998945318358343,0
race,Caucasian,50,4,0,0.004708971124122599,0
race,Caucasian,23,4,1,0.01891136476607438,0
race,Caucasian,23,4,0,0.007963225074960924,0
race,Caucasian,58,4,0,0.0016464208121448076,0
race,Caucasian,29,4,0,0.004799305924782942,0
race,Caucasian,47,4,0,0.009626751813122556,0
race,Caucasian,42,3,0,0.0026641753216040446,0
race,Caucasian,22,4,0,0.011459439917437805,0
race,Caucasian,33,4,0,0.0042451350632401975,0
race,Caucasian,27,4,0,0.005562412597024911,0
race,Caucasian,38,4,0,0.004327073040087076,0
race,Caucasian,30,4,0,0.008462714706953303,0
race,Caucasian,52,3,0,0.007974087019817734,0
race,Caucasian,52,4,0,0.0018691839312043775,0
race,Caucasian,43,4,1,0.00384258392455234,0
race,Caucasian,31,4,1,0.00810975247307898,0
race,Caucasian,31,4,0,0.007460246726456827,0
race,Caucasian,63,2,0,0.0021950978858663113,0
race,Caucasian,45,3,0,0.0018557487016356074,0
race,Caucasian,45,4,0,0.002935697129801913,0
race,Caucasian,44,4,0,0.006565705766266574,0
race,Caucasian,19,4,0,0.005085811379714494,0
race,Caucasian,35,2,0,0.0017449745128643342,0
race,Caucasian,35,4,0,0.004156556991759473,0
race,Caucasian,36,4,0,0.002992283535954377,0
race,Caucasian,55,3,0,0.001314052013509328,0
race,Caucasian,69,4,0,0.0033244326597853782,0
race,Other,34,4,0,0.007181018706538684,0
race,Other,33,4,0,0.004895736404628294,0
race,Other,38,4,0,0.004652747256550367,0
race,Other,27,4,0,0.0070540197799141375,0
race,Other,20,4,0,0.009152293512108008,0
race,Other,31,4,1,0.005590109395918273,0
race,Other,22,4,0,0.008032121972544135,0
race,Other,25,3,0,0.00408297321250336,0
race,Other,25,4,0,0.022071833085783806,0
race,Other,29,2,0,0.0043041901128214235,0
race,Other,39,3,0,0.002090999307753063,0
race,Other,37,4,0,0.011409725787305565,0
race,Other,35,3,0,0.005008645763077955,0
race,Other,23,4,0,0.018342472712856772,0
race,Other,45,4,0,0.004448960174150017,0
race,Other,18,4,0,0.006360507457864961,0
race,Other,32,4,0,0.008894405088239505,0
race,Other,40,4,0,0.007885181416995462,0
sex,male,48,4,0,0.00443485034966051,0
sex,male,48,4,1,0.0016789905373383082,0
sex,male,42,3,0,0.0026641753216040446,0
sex,male,42,4,0,0.008986090587868676,0
sex,male,42,4,1,0.008583056011878648,0
sex,male,19,3,0,0.017492371802358693,0
sex,male,19,4,0,0.009404760090915572,0
sex,male,19,4,1,0.00502944308286553,0
sex,male,31,4,1,0.009184086245065544,0
sex,male,31,4,0,0.135858027301625,0
sex,male,29,2,0,0.0034940151283352153,0
sex,male,29,4,0,0.006908949869319929,0
sex,male,29,4,1,0.015277600157300987,0
sex,male,24,3,0,0.004099164218677323,0
sex,male,24,4,0,0.007030252084811695,0
sex,male,24,4,1,0.021950368469913585,0
sex,male,39,3,0,0.002090999307753063,0
sex,male,39,4,0,0.00815989901588195,0
sex,male,39,4,1,0.006901856515010499,0
sex,male,26,2,0,0.005972806070442113,0
sex,male,26,3,0,0.0034611872043848234,0
sex,male,26,4,0,0.016817656937467652,0
sex,male,27,3,0,0.0019592967172531966,0
sex,male,27,4,0,0.009702109306258202,0
sex,male,27,4,1,0.011298700356304502,0
sex,male,55,3,0,0.0017848843860722146,0
sex,male,35,2,0,0.0053776680992424645,0
sex,male,35,3,0,0.005008645763077955,0
sex,male,35,4,0,0.00928241355056761,0
sex,male,34,3,0,0.0017059801248642174,0
sex,male,34,4,0,0.006986989832929011,0
sex,male,34,4,1,0.0222136554766491,0
sex,male,40,3,0,0.006163323390468545,0
sex,male,40,4,0,0.01335396473758622,0
sex,male,18,2,0,0.007006442984863633,0
sex,male,18,3,0,0.012128077747940415,0
sex,male,18,4,0,0.007782422648045016,0
sex,male,18,4,1,0.006467514603675045,0
sex,male,53,4,0,0.0030850230119030373,0
sex,male,33,4,0,0.019182234425374346,0
sex,male,33,4,1,0.06676010955591236,0
sex,male,41,4,0,0.002042357183813189,0
sex,male,32,3,0,0.002890076625796631,0
sex,male,32,4,0,0.008146578078713943,0
sex,male,32,4,1,0.007080415555048783,0
sex,male,25,3,0,0.007059042674425212,0
sex,male,25,4,0,0.015962391042439173,0
sex,male,25,4,1,0.01265924859540736,0
sex,male,23,4,1,0.01476415733644336,0
sex,male,23,2,0,0.006511432753861947,0
sex,male,23,4,0,0.008606856293382483,0
sex,male,20,2,0,0.011338832555449634,0
sex,male,20,3,0,0.005229861564577528,0
sex,male,20,4,0,0.007677421659566854,0
sex,male,20,2,1,0.00984022593425751,0
sex,male,20,4,1,0.004417560206230505,0
sex,male,49,4,0,0.004693807126829708,0
sex,male,56,4,0,0.0023199704164882672,0
sex,male,56,4,1,0.005983211874454269,0
sex,male,47,4,0,0.0065606972490997095,0
sex,male,37,3,0,0.0027439262086843617,0
sex,male,37,4,0,0.006753790969025351,0
sex,male,45,3,0,0.0018557487016356074,0
sex,male,45,4,0,0.005494062505105914,0
sex,male,54,3,0,0.0012625635714777653,0
sex,male,54,4,0,0.011782343699581916,0
sex,male,50,2,0,0.002329946921460925,0
sex,male,50,3,0,0.0037998945318358343,0
sex,male,50,4,0,0.0047432342002320885,0
sex,male,50,4,1,0.004961206566818561,0
sex,male,46,3,0,0.005596488686046226,0
sex,male,46,4,0,0.014642441281104049,0
sex,male,21,2,0,0.008215970882455306,0
sex,male,21,3,0,0.00859040159932616,0
sex,male,21,4,0,0.010666458068028238,0
sex,male,21,3,1,0.006104029760849141,0
sex,male,21,4,1,0.01185961637400977,0
sex,male,30,4,0,0.011579102196660978,0
sex,male,30,4,1,0.033547571747548154,0
sex,male,36,2,0,0.006001662261852746,0
sex,male,36,4,0,0.0039002547578230132,0
sex,male,22,2,0,0.005726701402575826,0
sex,male,22,4,0,0.009758422021754695,0
sex,male,22,4,1,0.01276502553844258,0
sex,male,28,3,0,0.023701715792120437,0
sex,male,28,4,0,0.008714609576371777,0
sex,male,28,4,1,0.011131631743371423,0
sex,male,44,4,0,0.009238349031100079,0
sex,male,43,4,1,0.0029299152297059135,0
sex,male,43,4,0,0.002404516960091535,0
sex,male,38,3,0,0.001840856934117493,0
sex,male,38,4,0,0.01399265866530272,0
sex,male,62,4,0,0.003642044960106464,0
sex,male,52,3,0,0.007974087019817734,0
sex,male,52,4,0,0.0018691839312043775,0
sex,male,66,4,0,0.0032598351432986043,0
sex,male,58,4,0,0.011660399645081193,0
sex,male,51,4,0,0.004323757836153717,0
sex,male,69,4,0,0.0033244326597853782,0
sex,male,59,4,0,0.016659854913163213,0
sex,female,30,4,0,0.012905867719281976,0
sex,female,58,4,0,0.0026598080871047796,0
sex,female,25,4,0,0.0027671004097679116,0
sex,female,25,4,1,0.010530287940826319,0
sex,female,27,4,0,0.005841548808497506,0
sex,female,38,4,0,0.0038699685466397856,0
sex,female,21,4,1,0.004223492418547135,0
sex,female,21,3,0,0.01078517683446987,0
sex,female,21,4,0,0.0069270239516229124,0
sex,female,51,2,0,0.0031091079798407513,0
sex,female,28,4,0,0.006739496825170782,0
sex,female,23,4,0,0.005527828590395095,0
sex,female,34,3,0,0.0054065358731246495,0
sex,female,34,4,0,0.014773632929288629,0
sex,female,22,2,0,0.003919924196238253,0
sex,female,22,4,0,0.015218447489487877,0
sex,female,54,3,0,0.004388599701865275,0
sex,female,39,2,0,0.01012604697191448,0
sex,female,39,4,0,0.0034572726174747106,0
sex,female,26,4,0,0.005711758392484089,0
sex,female,36,4,0,0.008690913451489791,0
sex,female,50,4,0,0.005515392602007133,0
sex,female,47,4,0,0.0022410054463904263,0
sex,female,42,2,0,0.0016372007010622034,0
sex,female,42,4,0,0.0027183880539098384,0
sex,female,31,4,0,0.0072021335351668886,0
sex,female,37,4,0,0.005703068195526681,0
sex,female,32,4,0,0.004272340346346489,0
sex,female,43,4,0,0.0007956245147760759,0
sex,female,63,2,0,0.0021950978858663113,0
sex,female,19,4,0,0.004273739079453546,0
sex,female,35,2,0,0.0017449745128643342,0
sex,female,20,3,0,0.0072703354823527655,0
sex,female,20,4,0,0.009501817650880033,0
sex,female,40,4,0,0.002645025153695514,0
sex,female,18,4,0,0.0070653651061264675,0
sex,female,52,3,0,0.008729506196747486,0
race,Other,40,4,0,0.0047952955580826545,1
race,Other,34,4,0,0.0054847224370397595,1
race,Other,27,4,0,0.006292234884212341,1
race,Other,22,4,0,0.02166795402955402,1
race,Other,35,4,0,0.003457715314562672,1
race,Other,26,4,0,0.008551173090882453,1
race,Other,43,4,0,0.016161109220395813,1
race,Other,20,4,0,0.014221573856704767,1
race,Other,18,4,0,0.012005449161230806,1
race,Other,25,4,0,0.0033818077655746693,1
