Attribute,Attribute Value,Age,Prior,Label,Expected Score,fold_num
race,African-American,48,4,0,0.07595448179597336,0
race,African-American,19,3,0,0.04742587317756678,0
race,African-American,19,4,0,0.1032524667233285,0
race,African-American,31,4,0,0.08808492861793625,0
race,African-American,29,2,0,0.04742587317756678,0
race,African-American,29,4,0,0.03270604156982917,0
race,African-American,24,4,0,0.040883725796350065,0
race,African-American,26,2,0,0.03270604156982917,0
race,African-American,26,3,0,0.04742587317756678,0
race,African-American,26,4,0,0.04441824757722589,0
race,African-American,30,4,0,0.03976227250800843,0
race,African-American,30,4,1,0.11920292202211755,0
race,African-American,58,4,1,0.04742587317756678,0
race,African-American,58,4,0,0.01798620996209156,0
race,African-American,35,2,0,0.01798620996209156,0
race,African-American,35,4,0,0.15224630312807239,0
race,African-American,18,3,0,0.11920292202211755,0
race,African-American,18,4,0,0.2852054372264206,0
race,African-American,18,3,1,0.11920292202211755,0
race,African-American,27,4,0,0.056715527191948306,0
race,African-American,27,4,1,0.06859456599210455,0
race,African-American,38,3,0,0.04742587317756678,0
race,African-American,38,4,0,0.03270604156982917,0
race,African-American,38,4,1,0.2689414213699951,0
race,African-American,23,2,0,0.04742587317756678,0
race,African-American,23,4,0,0.14133268401735,0
race,African-American,23,4,1,0.15663754685908693,0
race,African-American,25,3,0,0.01798620996209156,0
race,African-American,25,4,0,0.03480887465664882,0
race,African-American,25,4,1,0.11145116816988448,0
race,African-American,34,4,1,0.2689414213699951,0
race,African-American,34,3,0,0.01798620996209156,0
race,African-American,34,4,0,0.07135155612575036,0
race,African-American,33,4,0,0.027799431033916633,0
race,African-American,47,4,0,0.04742587317756678,0
race,African-American,47,4,1,0.11920292202211755,0
race,African-American,28,4,0,0.04706145133873932,0
race,African-American,20,2,0,0.04742587317756678,0
race,African-American,20,3,0,0.04742587317756678,0
race,African-American,20,4,0,0.13479521212278292,0
race,African-American,45,4,0,0.11920292202211755,0
race,African-American,54,4,0,0.01798620996209156,0
race,African-American,22,2,0,0.09527723907393397,0
race,African-American,22,4,0,0.21317403403521398,0
race,African-American,49,4,0,0.14346381566604333,0
race,African-American,21,2,0,0.11920292202211755,0
race,African-American,21,3,0,0.09527723907393397,0
race,African-American,21,4,0,0.12023365563191356,0
race,African-American,21,4,1,0.24613528134807838,0
race,African-American,39,4,1,0.04742587317756678,0
race,African-American,50,4,0,0.01798620996209156,0
race,African-American,36,2,0,0.01798620996209156,0
race,African-American,36,4,0,0.08331439759984216,0
race,African-American,46,3,0,0.04742587317756678,0
race,African-American,46,4,0,0.01798620996209156,0
race,African-American,46,4,1,0.11920292202211755,0
race,African-American,42,2,0,0.04742587317756678,0
race,African-American,42,4,0,0.01798620996209156,0
race,African-American,44,4,0,0.14346381566604333,0
race,African-American,43,4,0,0.14519007218989313,0
race,African-American,56,4,0,0.03270604156982917,0
race,African-American,37,4,0,0.08546401800210889,0
race,African-American,53,4,0,0.01798620996209156,0
race,African-American,32,3,0,0.04742587317756678,0
race,African-American,32,4,0,0.03270604156982917,0
race,African-American,62,4,0,0.11920292202211755,0
race,African-American,40,4,0,0.08331439759984216,0
race,African-American,66,4,0,0.2689414213699951,0
race,African-American,51,4,0,0.04742587317756678,0
race,African-American,52,3,0,0.01798620996209156,0
race,African-American,59,4,0,0.01798620996209156,0
race,Hispanic,42,4,0,0.06859456599210455,0
race,Hispanic,27,3,0,0.04742587317756678,0
race,Hispanic,27,4,0,0.01798620996209156,0
race,Hispanic,55,3,0,0.01798620996209156,0
race,Hispanic,20,3,0,0.11920292202211755,0
race,Hispanic,20,4,0,0.2689414213699951,0
race,Hispanic,49,4,0,0.06859456599210455,0
race,Hispanic,23,4,0,0.2689414213699951,0
race,Hispanic,25,4,0,0.04742587317756678,0
race,Hispanic,54,4,0,0.01798620996209156,0
race,Hispanic,24,4,0,0.01798620996209156,0
race,Hispanic,34,4,0,0.04742587317756678,0
race,Hispanic,29,4,0,0.04742587317756678,0
race,Hispanic,38,3,0,0.04742587317756678,0
race,Hispanic,22,4,0,0.11920292202211755,0
race,Hispanic,28,3,0,0.01798620996209156,0
