Attribute,Attribute Value,Age,Prior,Label,Expected Score,fold_num
race,African-American,48,4,0,0.5588119711075025,0
race,African-American,19,3,0,0.6850146576639279,0
race,African-American,19,4,0,0.747710723267889,0
race,African-American,31,4,0,0.5891356426696792,0
race,African-American,29,2,0,0.5837201785113023,0
race,African-American,29,4,0,0.5257105693969341,0
race,African-American,24,4,0,0.5494938005165246,0
race,African-American,26,2,0,0.5776785004137327,0
race,African-American,26,3,0,0.5240399589522583,0
race,African-American,26,4,0,0.5844909515875023,0
race,African-American,30,4,0,0.5125264804780864,0
race,African-American,30,4,1,0.7361374915426365,0
race,African-American,58,4,1,0.4491679166358751,0
race,African-American,58,4,0,0.49920647632199083,0
race,African-American,35,2,0,0.42956238907671446,0
race,African-American,35,4,0,0.7082737908310516,0
race,African-American,18,3,0,0.7602481666829485,0
race,African-American,18,4,0,0.8201110002940556,0
race,African-American,18,3,1,0.7432326684100614,0
race,African-American,27,4,0,0.535341241265896,0
race,African-American,27,4,1,0.5621770523027294,0
race,African-American,38,3,0,0.5633790211643329,0
race,African-American,38,4,0,0.40723767738175976,0
race,African-American,38,4,1,0.8436103609780046,0
race,African-American,23,2,0,0.7382210405789491,0
race,African-American,23,4,0,0.7087925221874986,0
race,African-American,23,4,1,0.8088178171930511,0
race,African-American,25,3,0,0.4601964524998047,0
race,African-American,25,4,0,0.5782976283521991,0
race,African-American,25,4,1,0.7453181319565255,0
race,African-American,34,4,1,0.8494243209913319,0
race,African-American,34,3,0,0.42311632650884806,0
race,African-American,34,4,0,0.5185186133089815,0
race,African-American,33,4,0,0.4842052710702,0
race,African-American,47,4,0,0.4262908804890357,0
race,African-American,47,4,1,0.8715111572971309,0
race,African-American,28,4,0,0.47262410068898103,0
race,African-American,20,2,0,0.6654816511355082,0
race,African-American,20,3,0,0.6126459250699493,0
race,African-American,20,4,0,0.6626317573748439,0
race,African-American,45,4,0,0.650798245755118,0
race,African-American,54,4,0,0.6107565456438838,0
race,African-American,22,2,0,0.7644726381992623,0
race,African-American,22,4,0,0.7364007263293223,0
race,African-American,49,4,0,0.5479433667724986,0
race,African-American,21,2,0,0.7219993273540116,0
race,African-American,21,3,0,0.6362057103604636,0
race,African-American,21,4,0,0.7209538300039763,0
race,African-American,21,4,1,0.8491111352496364,0
race,African-American,39,4,1,0.5397996676312884,0
race,African-American,50,4,0,0.3754181646432125,0
race,African-American,36,2,0,0.42956238907671446,0
race,African-American,36,4,0,0.670931111075379,0
race,African-American,46,3,0,0.6060242967876822,0
race,African-American,46,4,0,0.4035356883031223,0
race,African-American,46,4,1,0.8242967462662755,0
race,African-American,42,2,0,0.47557437725846,0
race,African-American,42,4,0,0.42808089346067524,0
race,African-American,44,4,0,0.6398082250929745,0
race,African-American,43,4,0,0.6939491207537892,0
race,African-American,56,4,0,0.4220495387872372,0
race,African-American,37,4,0,0.7069943367671443,0
race,African-American,53,4,0,0.4548353753645093,0
race,African-American,32,3,0,0.46211776342797006,0
race,African-American,32,4,0,0.43314332733256383,0
race,African-American,62,4,0,0.7713762878225877,0
race,African-American,40,4,0,0.6379436270941163,0
race,African-American,66,4,0,0.7278206097972625,0
race,African-American,51,4,0,0.5475391751290165,0
race,African-American,52,3,0,0.4966890026284288,0
race,African-American,59,4,0,0.6211931363735818,0
race,Hispanic,42,4,0,0.6195782581737946,0
race,Hispanic,27,3,0,0.5431739823676524,0
race,Hispanic,27,4,0,0.5264229744427109,0
race,Hispanic,55,3,0,0.3923499143625761,0
race,Hispanic,20,3,0,0.6080489403181674,0
race,Hispanic,20,4,0,0.4479795259564572,0
race,Hispanic,49,4,0,0.6395599774874354,0
race,Hispanic,23,4,0,0.8885877905457817,0
race,Hispanic,25,4,0,0.5535627109642869,0
race,Hispanic,54,4,0,0.39129426550237556,0
race,Hispanic,24,4,0,0.3154008925220192,0
race,Hispanic,34,4,0,0.5576137916522276,0
race,Hispanic,29,4,0,0.5877408106694355,0
race,Hispanic,38,3,0,0.4452622989602411,0
race,Hispanic,22,4,0,0.7350738117223825,0
race,Hispanic,28,3,0,0.510146785879026,0
race,Hispanic,45,4,0,0.6320945216573324,0
race,Hispanic,39,4,0,0.7851584402977623,0
race,Hispanic,36,4,0,0.4623019178052276,0
race,Hispanic,32,4,0,0.4431595858955397,0
race,Hispanic,26,4,0,0.814940440736836,0
race,Caucasian,39,2,0,0.5210940678772986,0
race,Caucasian,39,4,0,0.4100049182398906,0
race,Caucasian,40,3,0,0.5167707723373595,0
race,Caucasian,40,4,0,0.3992044380369934,0
race,Caucasian,25,4,1,0.9152804546944385,0
race,Caucasian,25,3,0,0.5651283262869171,0
race,Caucasian,25,4,0,0.5608366503134974,0
race,Caucasian,53,4,0,0.4243967978611819,0
race,Caucasian,41,4,0,0.54279255361381,0
race,Caucasian,41,4,1,0.895434394058893,0
race,Caucasian,18,2,1,0.7923075800296224,0
race,Caucasian,18,4,0,0.8455642505637796,0
race,Caucasian,34,3,0,0.41590413639943713,0
race,Caucasian,34,4,0,0.4421037774583241,0
race,Caucasian,32,4,0,0.5944686974982532,0
race,Caucasian,21,2,0,0.7219993273540116,0
race,Caucasian,21,3,0,0.6669832164704148,0
race,Caucasian,21,4,0,0.6913780689481335,0
race,Caucasian,21,4,1,0.733970122960401,0
race,Caucasian,26,4,0,0.46393543889356703,0
race,Caucasian,51,2,0,0.6217498500277089,0
race,Caucasian,24,3,0,0.3229421210251568,0
race,Caucasian,24,4,0,0.46644833189714463,0
race,Caucasian,49,4,1,0.8641330098366664,0
race,Caucasian,49,4,0,0.3996888668765333,0
race,Caucasian,56,4,0,0.43887124489455676,0
race,Caucasian,48,4,0,0.35360025621726127,0
race,Caucasian,37,3,0,0.4452622989602411,0
race,Caucasian,37,4,0,0.4121436322302231,0
race,Caucasian,20,2,0,0.661144536370341,0
race,Caucasian,20,3,0,0.7363404093535498,0
