Attribute,Attribute Value,Age,Prior,Label,Expected Score,fold_num
race,African-American,48,4,0,1.0,0
race,African-American,19,4,0,6.5,0
race,African-American,19,3,1,8.0,0
race,African-American,19,4,1,7.0,0
race,African-American,31,4,0,4.0,0
race,African-American,31,4,1,1.0,0
race,African-American,29,2,0,8.0,0
race,African-American,29,4,0,7.4,0
race,African-American,29,4,1,5.0,0
race,African-American,24,4,0,6.333333333333333,0
race,African-American,26,2,0,2.5,0
race,African-American,26,4,0,4.818181818181818,0
race,African-American,26,3,1,4.0,0
race,African-American,30,4,0,5.25,0
race,African-American,30,4,1,4.666666666666667,0
race,African-American,58,4,1,1.0,0
race,African-American,58,4,0,1.0,0
race,African-American,35,2,0,3.0,0
race,African-American,35,4,0,6.2,0
race,African-American,35,4,1,3.0,0
race,African-American,18,4,0,7.75,0
race,African-American,18,3,1,7.5,0
race,African-American,18,4,1,9.0,0
race,African-American,27,4,0,2.6666666666666665,0
race,African-American,27,4,1,7.0,0
race,African-American,38,3,0,1.0,0
race,African-American,38,4,0,2.5,0
race,African-American,38,4,1,5.0,0
race,African-American,23,2,0,4.0,0
race,African-American,23,4,0,4.909090909090909,0
race,African-American,23,4,1,6.75,0
race,African-American,25,3,0,3.0,0
race,African-American,25,4,0,4.125,0
race,African-American,25,4,1,5.5,0
race,African-American,34,4,1,3.0,0
race,African-American,34,3,0,2.5,0
race,African-American,34,4,0,2.5,0
race,African-American,33,4,0,3.75,0
race,African-American,33,4,1,2.0,0
race,African-American,47,4,0,1.5,0
race,African-American,47,4,1,1.0,0
race,African-American,28,4,0,3.2857142857142856,0
race,African-American,28,4,1,5.0,0
race,African-American,20,2,0,6.0,0
race,African-American,20,3,0,4.0,0
race,African-American,20,4,0,9.0,0
race,African-American,20,2,1,4.0,0
race,African-American,20,4,1,7.0,0
race,African-American,45,4,0,3.5,0
race,African-American,54,4,0,5.0,0
race,African-American,22,2,1,3.5,0
race,African-American,22,4,1,6.0,0
race,African-American,22,2,0,3.0,0
race,African-American,22,4,0,7.125,0
race,African-American,49,4,0,1.5,0
race,African-American,21,2,0,5.0,0
race,African-American,21,3,0,4.5,0
race,African-American,21,4,0,5.333333333333333,0
race,African-American,21,3,1,3.0,0
race,African-American,21,4,1,5.666666666666667,0
race,African-American,39,4,1,6.0,0
race,African-American,50,4,0,1.0,0
race,African-American,36,2,0,1.0,0
race,African-American,36,4,0,2.0,0
race,African-American,46,3,0,1.0,0
race,African-American,46,4,0,1.0,0
race,African-American,46,4,1,8.0,0
race,African-American,42,4,1,3.0,0
race,African-American,42,2,0,2.0,0
race,African-American,42,4,0,1.0,0
race,African-American,44,4,0,1.0,0
race,African-American,44,4,1,5.0,0
race,African-American,43,4,0,4.666666666666667,0
race,African-American,56,4,0,1.5,0
race,African-American,37,4,0,6.333333333333333,0
race,African-American,53,4,0,1.5,0
race,African-American,32,3,1,1.0,0
race,African-American,32,4,1,2.5,0
race,African-American,32,3,0,2.0,0
race,African-American,32,4,0,4.0,0
race,African-American,62,4,0,6.0,0
race,African-American,40,4,1,1.0,0
race,African-American,40,4,0,3.0,0
race,African-American,66,4,0,4.0,0
race,African-American,51,4,0,1.0,0
race,African-American,52,3,0,1.0,0
race,African-American,59,4,0,3.0,0
race,Hispanic,42,4,1,1.0,0
race,Hispanic,42,4,0,3.0,0
race,Hispanic,27,3,0,4.0,0
race,Hispanic,27,4,0,3.0,0
race,Hispanic,55,3,0,1.0,0
race,Hispanic,20,3,0,4.0,0
race,Hispanic,20,4,0,9.0,0
race,Hispanic,49,4,0,2.0,0
race,Hispanic,23,4,0,6.0,0
race,Hispanic,25,4,0,7.0,0
race,Hispanic,54,4,0,1.0,0
race,Hispanic,24,4,0,4.0,0
race,Hispanic,34,4,0,3.0,0
race,Hispanic,29,4,0,3.0,0
race,Hispanic,38,3,0,1.0,0
race,Hispanic,22,4,0,3.0,0
race,Hispanic,28,3,0,5.0,0
race,Hispanic,45,4,0,1.0,0
race,Hispanic,39,4,0,1.0,0
race,Hispanic,36,4,1,3.0,0
race,Hispanic,32,4,0,5.0,0
race,Hispanic,32,4,1,6.0,0
race,Hispanic,26,4,0,6.0,0
race,Caucasian,39,2,0,1.0,0
race,Caucasian,39,4,0,4.0,0
race,Caucasian,39,4,1,3.0,0
race,Caucasian,40,3,0,1.0,0
race,Caucasian,40,4,0,3.0,0
race,Caucasian,40,4,1,1.0,0
race,Caucasian,25,3,1,4.0,0
race,Caucasian,25,4,1,6.0,0
race,Caucasian,25,3,0,3.0,0
race,Caucasian,25,4,0,6.5,0
race,Caucasian,53,4,0,1.0,0
race,Caucasian,41,4,0,3.0,0
race,Caucasian,41,4,1,3.0,0
race,Caucasian,18,2,1,7.0,0
race,Caucasian,18,4,1,9.0,0
race,Caucasian,18,4,0,6.5,0
race,Caucasian,34,4,1,9.0,0
race,Caucasian,34,3,0,3.0,0
race,Caucasian,34,4,0,2.4,0
race,Caucasian,32,4,0,4.0,0
race,Caucasian,21,2,0,5.0,0
race,Caucasian,21,3,0,4.0,0
race,Caucasian,21,4,0,6.0,0
race,Caucasian,21,4,1,4.5,0
race,Caucasian,26,4,0,3.0,0
race,Caucasian,51,2,0,1.0,0
race,Caucasian,24,3,0,3.0,0
race,Caucasian,24,4,0,2.6666666666666665,0
race,Caucasian,49,4,0,2.0,0
race,Caucasian,56,4,1,1.0,0
race,Caucasian,48,4,0,1.3333333333333333,0
race,Caucasian,37,3,0,1.0,0
race,Caucasian,37,4,0,1.0,0
race,Caucasian,20,2,0,4.0,0
race,Caucasian,20,3,0,4.0,0
race,Caucasian,20,4,0,5.0,0
race,Caucasian,20,4,1,5.5,0
race,Caucasian,54,3,0,1.0,0
race,Caucasian,54,4,0,1.0,0
race,Caucasian,46,4,0,1.0,0
race,Caucasian,46,3,1,2.0,0
race,Caucasian,28,4,0,4.5,0
race,Caucasian,50,2,0,1.0,0
race,Caucasian,50,3,0,1.0,0
