Attribute,Attribute Value,Age,Prior,Label,Expected Score,fold_num
race,African-American,48,4,0,0.05509522853643205,0
race,African-American,19,4,0,0.11503903639066584,0
race,African-American,19,3,1,0.04290797304802158,0
race,African-American,19,4,1,0.14566842348082407,0
race,African-American,31,4,0,0.1947783482020452,0
race,African-American,31,4,1,0.01641099652297239,0
race,African-American,29,2,0,0.014425630705051921,0
race,African-American,29,4,0,0.10925872654948536,0
race,African-American,29,4,1,0.015693616423393637,0
race,African-American,24,4,0,0.12731548548893504,0
race,African-American,26,2,0,0.03589482609003734,0
race,African-American,26,4,0,0.10292368847010341,0
race,African-American,26,3,1,0.023517730359698456,0
race,African-American,30,4,0,0.0568445064645353,0
race,African-American,30,4,1,0.19611878043607578,0
race,African-American,58,4,1,0.005395095841763007,0
race,African-American,58,4,0,0.023271440937240106,0
race,African-American,35,2,0,0.024822168678273065,0
race,African-American,35,4,0,0.2151161192479615,0
race,African-American,35,4,1,0.11895939982245964,0
race,African-American,18,4,0,0.16346650325387632,0
race,African-American,18,3,1,0.06361726837747,0
race,African-American,18,4,1,0.13397787175438094,0
race,African-American,27,4,0,0.052509941830462335,0
race,African-American,27,4,1,0.2542666707537054,0
race,African-American,38,3,0,0.019103011327300457,0
race,African-American,38,4,0,0.023937194812378448,0
race,African-American,38,4,1,0.2780854821504864,0
race,African-American,23,2,0,0.03873669271102668,0
race,African-American,23,4,0,0.12161294979596494,0
race,African-American,23,4,1,0.16377065904265997,0
race,African-American,25,3,0,0.03945211409106388,0
race,African-American,25,4,0,0.07903116947593743,0
race,African-American,25,4,1,0.2753168500766457,0
race,African-American,34,4,1,0.24980897432818805,0
race,African-American,34,3,0,0.0064447062561117045,0
race,African-American,34,4,0,0.07835087380814133,0
race,African-American,33,4,0,0.03531408669680475,0
race,African-American,33,4,1,0.05435225423423193,0
race,African-American,47,4,0,0.020463835395220554,0
race,African-American,47,4,1,0.1103687073041381,0
race,African-American,28,4,0,0.09453290148510377,0
race,African-American,28,4,1,0.08002864183395665,0
race,African-American,20,2,0,0.051506950014367774,0
race,African-American,20,3,0,0.012324376497154838,0
race,African-American,20,4,0,0.16467306689119096,0
race,African-American,20,2,1,0.037046925072807046,0
race,African-American,20,4,1,0.04247198751101565,0
race,African-American,45,4,0,0.2185801681404597,0
race,African-American,54,4,0,0.018331225699185646,0
race,African-American,22,2,1,0.0272922560744636,0
race,African-American,22,4,1,0.14198635754693512,0
race,African-American,22,2,0,0.05928151461328118,0
race,African-American,22,4,0,0.12768705772593927,0
race,African-American,49,4,0,0.024021156198965582,0
race,African-American,21,2,0,0.05468378246964903,0
race,African-American,21,3,0,0.043793088655318425,0
race,African-American,21,4,0,0.0919612412393535,0
race,African-American,21,3,1,0.07918111242050259,0
race,African-American,21,4,1,0.1459997732369285,0
race,African-American,39,4,1,0.03272357898217598,0
race,African-American,50,4,0,0.02487720504680114,0
race,African-American,36,2,0,0.016715048364943492,0
race,African-American,36,4,0,0.06606311591212477,0
race,African-American,46,3,0,0.03642003894019581,0
race,African-American,46,4,0,0.012255556505494347,0
race,African-American,46,4,1,0.0723085686143199,0
race,African-American,42,4,1,0.0530237560251642,0
race,African-American,42,2,0,0.009025135870527671,0
race,African-American,42,4,0,0.03475987880302173,0
race,African-American,44,4,0,0.02317083466343374,0
race,African-American,44,4,1,0.38767731530815497,0
race,African-American,43,4,0,0.1057695024456428,0
race,African-American,56,4,0,0.028141795362190438,0
race,African-American,37,4,0,0.10838221111921519,0
race,African-American,53,4,0,0.025956655715701753,0
race,African-American,32,3,1,0.04109112200372849,0
race,African-American,32,4,1,0.031216079839388372,0
race,African-American,32,3,0,0.02051992607364109,0
race,African-American,32,4,0,0.05283540496412441,0
race,African-American,62,4,0,0.082470309633208,0
race,African-American,40,4,1,0.03729958170076057,0
race,African-American,40,4,0,0.12766188787624724,0
race,African-American,66,4,0,0.1638951613945789,0
race,African-American,51,4,0,0.013706351182211439,0
race,African-American,52,3,0,0.01419605041449171,0
race,African-American,59,4,0,0.0314095060161587,0
race,Hispanic,42,4,1,0.013540420125902595,0
race,Hispanic,42,4,0,0.10271875253768156,0
race,Hispanic,27,3,0,0.02954369820823807,0
race,Hispanic,27,4,0,0.03983560227098023,0
race,Hispanic,55,3,0,0.00523636387995451,0
race,Hispanic,20,3,0,0.10803521193981033,0
race,Hispanic,20,4,0,0.11399041326544584,0
race,Hispanic,49,4,0,0.07624723692673988,0
race,Hispanic,23,4,0,0.07465373358983274,0
race,Hispanic,25,4,0,0.12447637036919257,0
race,Hispanic,54,4,0,0.007167967365338522,0
race,Hispanic,24,4,0,0.04721880033262225,0
race,Hispanic,34,4,0,0.028291973151794523,0
race,Hispanic,29,4,0,0.05349391976293049,0
race,Hispanic,38,3,0,0.03387857422869879,0
race,Hispanic,22,4,0,0.04020326584131956,0
race,Hispanic,28,3,0,0.048101724090780965,0
race,Hispanic,45,4,0,0.033129440579654126,0
race,Hispanic,39,4,0,0.021872238701124928,0
race,Hispanic,36,4,1,0.06372313407906045,0
race,Hispanic,32,4,0,0.051965001860671045,0
race,Hispanic,32,4,1,0.09844028070248287,0
race,Hispanic,26,4,0,0.18870223920814042,0
race,Caucasian,39,2,0,0.018690711836951018,0
race,Caucasian,39,4,0,0.03395648568885308,0
race,Caucasian,39,4,1,0.01636768873941211,0
race,Caucasian,40,3,0,0.021919514796001644,0
race,Caucasian,40,4,0,0.025312866363021498,0
race,Caucasian,40,4,1,0.03325090538020184,0
race,Caucasian,25,3,1,0.06636213615608033,0
race,Caucasian,25,4,1,0.20392950775871363,0
race,Caucasian,25,3,0,0.04008634167282392,0
race,Caucasian,25,4,0,0.07706248532699836,0
race,Caucasian,53,4,0,0.010755475083914631,0
race,Caucasian,41,4,0,0.08363686361945402,0
race,Caucasian,41,4,1,0.03146235693337165,0
race,Caucasian,18,2,1,0.03684646058351341,0
race,Caucasian,18,4,1,0.1826051836273317,0
race,Caucasian,18,4,0,0.13024393737058768,0
race,Caucasian,34,4,1,0.06443116723729107,0
race,Caucasian,34,3,0,0.021543240768382717,0
race,Caucasian,34,4,0,0.04087369550217708,0
race,Caucasian,32,4,0,0.06626100788270305,0
race,Caucasian,21,2,0,0.06599812112534463,0
race,Caucasian,21,3,0,0.030095859514980512,0
race,Caucasian,21,4,0,0.09799214915438094,0
race,Caucasian,21,4,1,0.06471748042069544,0
race,Caucasian,26,4,0,0.05586465085062534,0
race,Caucasian,51,2,0,0.03451711139571663,0
race,Caucasian,24,3,0,0.017599169265971427,0
race,Caucasian,24,4,0,0.046814017449600114,0
race,Caucasian,49,4,0,0.0952353326227288,0
race,Caucasian,56,4,1,0.016282202988118534,0
race,Caucasian,48,4,0,0.014852199619360004,0
race,Caucasian,37,3,0,0.04783542244119035,0
race,Caucasian,37,4,0,0.02113047744639044,0
race,Caucasian,20,2,0,0.03759344276208343,0
race,Caucasian,20,3,0,0.05902285174485121,0
race,Caucasian,20,4,0,0.08312071747269928,0
race,Caucasian,20,4,1,0.12444077605725622,0
race,Caucasian,54,3,0,0.006601767613630157,0
race,Caucasian,54,4,0,0.0785529974813509,0
race,Caucasian,46,4,0,0.01620128066761435,0
race,Caucasian,46,3,1,0.02659166301086064,0
race,Caucasian,28,4,0,0.2942805675207836,0
race,Caucasian,50,2,0,0.025157734418754175,0
race,Caucasian,50,3,0,0.03947951619942958,0
race,Caucasian,50,4,0,0.012553915827942444,0
race,Caucasian,23,4,0,0.0496420781284497,0
race,Caucasian,58,4,0,0.012149731274909828,0
race,Caucasian,29,4,0,0.09990781408264467,0
race,Caucasian,29,4,1,0.04866773142254044,0
race,Caucasian,47,4,0,0.012778225806276189,0
race,Caucasian,42,3,0,0.003628938575346326,0
race,Caucasian,22,4,0,0.05959554849936638,0
race,Caucasian,33,4,0,0.09201494882468925,0
race,Caucasian,27,4,0,0.2346925312924158,0
race,Caucasian,27,4,1,0.03626124819988436,0
race,Caucasian,38,4,0,0.04951976200600878,0
race,Caucasian,30,4,0,0.013789059193786757,0
race,Caucasian,52,4,1,0.018061124673904926,0
race,Caucasian,52,3,0,0.022343519356863923,0
race,Caucasian,43,4,0,0.02872577518104499,0
race,Caucasian,31,4,0,0.045037698126512725,0
race,Caucasian,63,2,0,0.002396380190663677,0
race,Caucasian,45,3,0,0.010612605840243988,0
race,Caucasian,45,4,0,0.01666108848962438,0
race,Caucasian,44,4,0,0.0165832716385256,0
race,Caucasian,19,4,0,0.16974566058815643,0
race,Caucasian,19,4,1,0.22189106215323912,0
race,Caucasian,35,4,0,0.1231457843215301,0
race,Caucasian,35,2,1,0.006645685606283325,0
race,Caucasian,36,4,0,0.022595912391753417,0
race,Caucasian,55,3,0,0.01004600111792581,0
race,Caucasian,69,4,0,0.019826320053020468,0
race,Other,34,4,0,0.016148224083198725,0
race,Other,33,4,0,0.016066051243076886,0
race,Other,33,4,1,0.04417816141808436,0
race,Other,38,4,0,0.006284227935778195,0
race,Other,27,4,1,0.0642856565310254,0
race,Other,27,4,0,0.13271937258730643,0
race,Other,20,4,0,0.07411204866875923,0
race,Other,31,4,0,0.016078794073659034,0
race,Other,22,4,0,0.12881619490617813,0
race,Other,25,3,0,0.051158625260561925,0
race,Other,25,4,0,0.04175309039872996,0
race,Other,29,2,0,0.05617211027519618,0
race,Other,39,3,1,0.04621780605354289,0
race,Other,37,4,1,0.17290573072381282,0
race,Other,35,3,0,0.03992062285366675,0
race,Other,23,4,0,0.05826530762071395,0
race,Other,45,4,0,0.02587110132694057,0
race,Other,18,4,0,0.12816308805578033,0
race,Other,32,4,0,0.07019500160678695,0
race,Other,40,4,0,0.01915115316061871,0
sex,male,48,4,0,0.03784821614340117,0
sex,male,42,4,1,0.039862644058743665,0
sex,male,42,3,0,0.003628938575346326,0
sex,male,42,4,0,0.08008742357439971,0
sex,male,19,4,0,0.12224527906947734,0
sex,male,19,3,1,0.04290797304802158,0
sex,male,19,4,1,0.18377974281703158,0
sex,male,31,4,0,0.11877801891988791,0
sex,male,31,4,1,0.01641099652297239,0
sex,male,29,2,0,0.03529887049012405,0
sex,male,29,4,0,0.09994566608425459,0
sex,male,29,4,1,0.032180673922967036,0
sex,male,24,3,0,0.017599169265971427,0
sex,male,24,4,0,0.10257694016014142,0
sex,male,39,4,0,0.03395648568885308,0
sex,male,39,3,1,0.04621780605354289,0
sex,male,39,4,1,0.024545633860794044,0
sex,male,26,2,0,0.03589482609003734,0
sex,male,26,4,0,0.11175651376550699,0
sex,male,26,3,1,0.023517730359698456,0
sex,male,27,3,0,0.02954369820823807,0
sex,male,27,4,0,0.10254516734015554,0
sex,male,27,4,1,0.18626893129095523,0
sex,male,55,3,0,0.00764118249894016,0
sex,male,35,2,0,0.024822168678273065,0
sex,male,35,3,0,0.03992062285366675,0
sex,male,35,4,0,0.18062724365054975,0
sex,male,35,4,1,0.11895939982245964,0
sex,male,34,3,0,0.021543240768382717,0
sex,male,34,4,0,0.04786541246509907,0
sex,male,34,4,1,0.18801637196455576,0
sex,male,40,3,0,0.021919514796001644,0
sex,male,40,4,0,0.049359693440727236,0
sex,male,40,4,1,0.03729958170076057,0
sex,male,18,4,0,0.14973824567623903,0
sex,male,18,2,1,0.03684646058351341,0
sex,male,18,3,1,0.06361726837747,0
sex,male,18,4,1,0.1582915276908563,0
sex,male,53,4,0,0.020889595505106048,0
sex,male,33,4,0,0.039059369364220414,0
sex,male,33,4,1,0.04926520782615815,0
sex,male,41,4,0,0.08363686361945402,0
sex,male,41,4,1,0.03146235693337165,0
sex,male,32,3,0,0.02051992607364109,0
sex,male,32,4,0,0.05710894731523696,0
sex,male,32,3,1,0.04109112200372849,0
sex,male,32,4,1,0.05834061254384523,0
sex,male,25,3,1,0.06636213615608033,0
sex,male,25,4,1,0.2753168500766457,0
sex,male,25,3,0,0.04356569367481658,0
sex,male,25,4,0,0.08137783222073881,0
sex,male,23,2,0,0.03873669271102668,0
sex,male,23,4,0,0.09799360192055763,0
sex,male,23,4,1,0.20299779701831044,0
sex,male,20,2,0,0.044550196388225605,0
sex,male,20,3,0,0.06017979421848259,0
sex,male,20,4,0,0.11990777553560521,0
sex,male,20,2,1,0.037046925072807046,0
sex,male,20,4,1,0.09030656329211635,0
sex,male,49,4,0,0.06516790858281142,0
sex,male,56,4,1,0.016282202988118534,0
sex,male,56,4,0,0.028141795362190438,0
sex,male,47,4,0,0.011870110425171018,0
sex,male,47,4,1,0.1103687073041381,0
sex,male,37,3,0,0.04783542244119035,0
sex,male,37,4,0,0.08704502982221249,0
sex,male,37,4,1,0.17290573072381282,0
sex,male,45,3,0,0.010612605840243988,0
sex,male,45,4,0,0.08978217800067984,0
sex,male,54,3,0,0.009573964644442955,0
sex,male,54,4,0,0.03468406351529169,0
sex,male,50,2,0,0.025157734418754175,0
sex,male,50,3,0,0.03947951619942958,0
sex,male,50,4,0,0.01906074039472729,0
sex,male,46,3,0,0.03642003894019581,0
sex,male,46,4,0,0.01422841858655435,0
sex,male,46,3,1,0.02659166301086064,0
sex,male,46,4,1,0.0723085686143199,0
sex,male,21,2,0,0.05845522868821423,0
sex,male,21,3,0,0.043793088655318425,0
sex,male,21,4,0,0.10100506594509173,0
sex,male,21,3,1,0.07918111242050259,0
sex,male,21,4,1,0.14030451990268628,0
sex,male,30,4,1,0.19611878043607578,0
sex,male,30,4,0,0.0465727720899092,0
sex,male,36,2,0,0.016715048364943492,0
sex,male,36,4,0,0.06460184138671657,0
sex,male,22,2,0,0.05928151461328118,0
sex,male,22,4,0,0.11514916869024268,0
sex,male,22,2,1,0.02890403206352443,0
sex,male,22,4,1,0.14198635754693512,0
sex,male,28,3,0,0.048101724090780965,0
sex,male,28,4,0,0.14715429499577576,0
sex,male,28,4,1,0.08002864183395665,0
sex,male,44,4,0,0.019877053150979672,0
sex,male,44,4,1,0.38767731530815497,0
sex,male,43,4,0,0.10764065652031096,0
sex,male,38,3,0,0.026490792777999622,0
sex,male,38,4,0,0.04370440698457089,0
sex,male,38,4,1,0.2780854821504864,0
sex,male,62,4,0,0.082470309633208,0
sex,male,52,4,1,0.018061124673904926,0
sex,male,52,3,0,0.022343519356863923,0
sex,male,66,4,0,0.1638951613945789,0
sex,male,58,4,0,0.023271440937240106,0
sex,male,51,4,0,0.013706351182211439,0
sex,male,69,4,0,0.019826320053020468,0
sex,male,59,4,0,0.0314095060161587,0
sex,female,30,4,0,0.02748470502662156,0
sex,female,58,4,1,0.005395095841763007,0
sex,female,58,4,0,0.012149731274909828,0
sex,female,25,4,1,0.20392950775871363,0
sex,female,25,4,0,0.04881693901381066,0
sex,female,27,4,0,0.06426738761164355,0
sex,female,38,4,0,0.008134782798701043,0
sex,female,21,3,0,0.030095859514980512,0
sex,female,21,4,0,0.06182192466503392,0
sex,female,21,4,1,0.07326036042205883,0
sex,female,51,2,0,0.03451711139571663,0
sex,female,28,4,0,0.0730570854710873,0
sex,female,23,4,0,0.10133217075103798,0
sex,female,23,4,1,0.046089245115708534,0
sex,female,34,3,0,0.0064447062561117045,0
sex,female,34,4,0,0.022587122641368706,0
sex,female,22,2,1,0.02568048008540277,0
sex,female,22,4,0,0.035567880256310504,0
sex,female,54,3,0,0.00362957058281736,0
sex,female,39,2,0,0.018690711836951018,0
sex,female,39,4,0,0.021872238701124928,0
sex,female,26,4,0,0.017811042989781582,0
sex,female,36,4,0,0.025518461442569827,0
sex,female,36,4,1,0.06372313407906045,0
sex,female,50,4,0,0.004666371431735615,0
sex,female,47,4,0,0.030873791127480434,0
sex,female,42,2,0,0.009025135870527671,0
sex,female,42,4,0,0.01206366299492561,0
sex,female,31,4,0,0.022858819540005407,0
sex,female,37,4,0,0.019227468961576493,0
sex,female,32,4,1,0.044191215293569154,0
sex,female,43,4,0,0.023112312957040484,0
sex,female,63,2,0,0.002396380190663677,0
sex,female,19,4,0,0.11209571915766452,0
sex,female,35,2,1,0.006645685606283325,0
sex,female,20,4,1,0.06290583726019469,0
sex,female,20,3,0,0.05902285174485121,0
sex,female,40,4,1,0.03325090538020184,0
sex,female,18,4,0,0.14408750175502677,0
sex,female,52,3,0,0.01419605041449171,0
race,Other,40,4,0,0.04913368935768434,1
race,Other,34,4,0,0.04684791286583595,1
race,Other,27,4,0,0.45311496645323446,1
race,Other,22,4,0,0.0404984110258991,1
race,Other,35,4,0,0.018678135747091786,1
race,Other,26,4,0,0.1023324883687274,1
race,Other,43,4,0,0.07765606428989472,1
race,Other,43,4,1,0.030632935579077182,1
race,Other,20,4,1,0.18758722047498086,1
race,Other,20,4,0,0.062449347629482004,1
race,Other,18,4,1,0.12413793794598599,1
race,Other,25,4,0,0.2754335435816642,1
race,Caucasian,28,4,1,0.10619012706715995,1
race,Caucasian,28,4,0,0.038683954087276776,1
race,Caucasian,50,2,0,0.019466554145957528,1
race,Caucasian,50,4,0,0.05094041198442556,1
race,Caucasian,23,4,1,0.18839630037730282,1
race,Caucasian,23,4,0,0.09192135333563987,1
race,Caucasian,43,2,0,0.01645817695930733,1
race,Caucasian,43,4,0,0.07976266074986652,1
race,Caucasian,43,4,1,0.30591300270261923,1
race,Caucasian,42,4,0,0.041952439084668544,1
race,Caucasian,42,4,1,0.07962149713825524,1
race,Caucasian,48,4,0,0.03744740415599712,1
race,Caucasian,20,3,0,0.0354661282609576,1
race,Caucasian,20,4,0,0.10458457112141539,1
race,Caucasian,55,4,0,0.036231902016471425,1
race,Caucasian,55,4,1,0.053387684634287225,1
race,Caucasian,25,3,0,0.03158125499787727,1
race,Caucasian,25,4,0,0.05561700829898324,1
race,Caucasian,35,4,0,0.02891690754305895,1
race,Caucasian,31,2,0,0.037151159012339605,1
race,Caucasian,31,4,0,0.04615042764604255,1
race,Caucasian,31,4,1,0.021651545414676423,1
race,Caucasian,45,4,1,0.7732291153481419,1
race,Caucasian,45,4,0,0.06033721926810482,1
race,Caucasian,22,4,0,0.04145504958005033,1
race,Caucasian,22,2,1,0.04446794773491691,1
race,Caucasian,34,3,0,0.021421911842502767,1
race,Caucasian,34,4,0,0.020728298107532402,1
race,Caucasian,37,3,0,0.014685049149155126,1
race,Caucasian,37,4,0,0.05461855492622078,1
race,Caucasian,19,3,0,0.02703821783548027,1
race,Caucasian,19,4,0,0.2959944626234697,1
race,Caucasian,19,4,1,0.08150466872170993,1
race,Caucasian,44,2,0,0.06172784112947865,1
race,Caucasian,44,4,0,0.01973063944142743,1
race,Caucasian,18,4,0,0.16871494254010222,1
race,Caucasian,18,4,1,0.08273825510949734,1
race,Caucasian,21,2,0,0.06646339444228533,1
race,Caucasian,21,4,0,0.038275602799453114,1
race,Caucasian,21,4,1,0.059970955166572096,1
race,Caucasian,30,4,0,0.149451341569319,1
race,Caucasian,41,4,0,0.024803150502403313,1
race,Caucasian,51,4,0,0.06570151591042143,1
race,Caucasian,47,4,1,0.09737144745681393,1
race,Caucasian,47,4,0,0.02475366687857722,1
race,Caucasian,26,2,0,0.029987328097472617,1
race,Caucasian,26,4,0,0.04347180139857383,1
race,Caucasian,26,4,1,0.030268314845078765,1
race,Caucasian,27,2,0,0.03134810912914637,1
race,Caucasian,27,4,0,0.03700845814382573,1
race,Caucasian,27,4,1,0.037356825807320505,1
race,Caucasian,46,4,0,0.09186642573355043,1
race,Caucasian,46,4,1,0.04670489445404584,1
race,Caucasian,24,2,0,0.02784816673912005,1
race,Caucasian,24,4,0,0.0440641476910197,1
race,Caucasian,39,2,1,0.032776335474416114,1
race,Caucasian,53,2,0,0.058547726735943245,1
race,Caucasian,38,4,0,0.04367546596667105,1
race,Caucasian,29,2,0,0.03658417662616674,1
race,Caucasian,29,4,0,0.08969191704252549,1
race,Caucasian,32,2,0,0.011931705780854618,1
race,Caucasian,32,4,0,0.09591507152257626,1
race,Caucasian,49,4,0,0.12853209237568614,1
race,Caucasian,40,4,0,0.0323831799691412,1
race,Caucasian,54,4,0,0.007324056047464147,1
race,Caucasian,61,4,0,0.020631424368689064,1
race,African-American,31,4,0,0.07071399564235957,1
race,African-American,28,2,0,0.025657837457222412,1
race,African-American,28,4,0,0.19446881116022702,1
race,African-American,21,2,0,0.05560804017629069,1
race,African-American,21,3,0,0.05392076917077259,1
race,African-American,21,4,0,0.07748713111557319,1
race,African-American,21,2,1,0.06345341101938018,1
race,African-American,21,4,1,0.09347446800080184,1
race,African-American,46,2,0,0.04158146383148686,1
race,African-American,46,3,0,0.017201030322942422,1
race,African-American,46,4,0,0.023565549870825445,1
race,African-American,20,3,0,0.16358269653592925,1
race,African-American,20,4,0,0.15869460176538652,1
race,African-American,20,3,1,0.10062484684135771,1
race,African-American,27,4,0,0.07436456011421325,1
race,African-American,27,4,1,0.2331808911358347,1
race,African-American,26,2,0,0.029827661998825198,1
race,African-American,26,4,0,0.12594078656742846,1
race,African-American,26,4,1,0.0860926284358406,1
race,African-American,29,2,0,0.016519607471032195,1
race,African-American,29,3,0,0.03601175227963675,1
race,African-American,29,4,0,0.14151974896741892,1
race,African-American,29,4,1,0.33919309323975294,1
race,African-American,23,2,0,0.0388274422890645,1
race,African-American,23,3,0,0.020243121965820593,1
race,African-American,23,4,0,0.09110671162008836,1
race,African-American,23,4,1,0.13878699484936075,1
race,African-American,22,2,0,0.042292914365229806,1
race,African-American,22,4,0,0.09008521553247087,1
race,African-American,22,2,1,0.05708849459947702,1
race,African-American,22,4,1,0.11666609139822863,1
race,African-American,35,4,0,0.10354333046273914,1
race,African-American,35,4,1,0.044254287071840405,1
race,African-American,30,3,0,0.018530765727697327,1
race,African-American,30,4,0,0.09033907575707366,1
race,African-American,30,4,1,0.06686919702759482,1
race,African-American,18,3,0,0.050481633866698995,1
race,African-American,18,4,0,0.13838637761214506,1
race,African-American,18,4,1,0.1849561823190873,1
race,African-American,19,4,0,0.10219317827074285,1
race,African-American,19,3,1,0.13622917267845402,1
race,African-American,19,4,1,0.08527511452186484,1
race,African-American,50,4,0,0.06755188992673497,1
race,African-American,50,4,1,0.009490899191844641,1
race,African-American,37,4,0,0.036353514272757445,1
race,African-American,37,4,1,0.03489124837174265,1
race,African-American,47,4,0,0.08003867691282991,1
race,African-American,51,2,0,0.016922989341515506,1
race,African-American,51,4,0,0.32731568241073056,1
race,African-American,51,4,1,0.08253570153640696,1
race,African-American,53,2,0,0.04096336611426662,1
race,African-American,53,3,0,0.005604356259941849,1
race,African-American,49,2,0,0.039853684280664055,1
race,African-American,49,4,0,0.043505165408646906,1
race,African-American,49,4,1,0.2874683098884375,1
race,African-American,58,4,0,0.11357560464006262,1
race,African-American,32,2,0,0.04008071869504348,1
race,African-American,32,4,0,0.06249021699627879,1
race,African-American,32,4,1,0.08213559852452769,1
race,African-American,24,4,0,0.06329988725793113,1
race,African-American,24,4,1,0.2547800462668478,1
