Attribute,Attribute Value,PPV,NPV,FPR,FNR,Accuracy,Treatment Equality,Individuals Evaluated On,fold_num
race,African-American,0.0,0.9403669724770642,0.00966183574879227,1.0,0.9318181818181818,6.5,220,0
race,African-American,0.0,0.9641255605381166,0.0,1.0,0.9641255605381166,inf,223,1
race,African-American,0.0,0.9638009049773756,0.004672897196261682,1.0,0.9594594594594594,8.0,222,2
race,African-American,0.0,0.9642857142857143,0.0,1.0,0.9642857142857143,inf,224,3
race,African-American,0.0,0.9531914893617022,0.0,1.0,0.9531914893617022,inf,235,4
race,Caucasian,0.0,0.9512195121951219,0.00847457627118644,1.0,0.9435483870967742,6.0,124,0
race,Caucasian,0.0,0.9606299212598425,0.0,1.0,0.9606299212598425,inf,127,1
race,Caucasian,1.0,0.9846153846153847,0.0,0.6666666666666666,0.9847328244274809,inf,131,2
race,Caucasian,0.0,0.95,0.0,1.0,0.95,inf,120,3
race,Caucasian,0.0,0.9595959595959596,0.0,1.0,0.9595959595959596,inf,99,4
race,Hispanic,0.0,1.0,0.0,0.0,1.0,,24,0
race,Hispanic,0.0,0.9629629629629629,0.0,1.0,0.9629629629629629,inf,27,1
race,Hispanic,0.0,1.0,0.0,0.0,1.0,,19,2
race,Hispanic,0.0,0.9310344827586207,0.0,1.0,0.9310344827586207,inf,29,3
race,Hispanic,0.0,1.0,0.0,0.0,1.0,,28,4
race,Other,0.0,0.9565217391304348,0.0,1.0,0.9565217391304348,inf,23,0
race,Other,0.0,1.0,0.0,0.0,1.0,,14,1
race,Other,0.0,0.8947368421052632,0.0,1.0,0.8947368421052632,inf,19,2
race,Other,0.0,1.0,0.0,0.0,1.0,,18,3
race,Other,0.0,1.0,0.0,0.0,1.0,,28,4
sex,female,0.0,0.9591836734693877,0.0,1.0,0.9591836734693877,inf,49,0
sex,female,0.0,0.9615384615384616,0.0,1.0,0.9615384615384616,inf,52,1
sex,female,0.0,0.9807692307692307,0.0,1.0,0.9807692307692307,inf,52,2
sex,female,0.0,0.9767441860465116,0.0,1.0,0.9767441860465116,inf,43,3
sex,female,0.0,0.9454545454545454,0.0,1.0,0.9454545454545454,inf,55,4
sex,male,0.0,0.9469026548672567,0.009259259259259259,1.0,0.9385964912280702,6.0,342,0
sex,male,0.0,0.9646017699115044,0.0,1.0,0.9646017699115044,inf,339,1
sex,male,0.5,0.9673590504451038,0.0030581039755351682,0.9166666666666666,0.9646017699115044,11.0,339,2
sex,male,0.0,0.9568965517241379,0.0,1.0,0.9568965517241379,inf,348,3
sex,male,0.0,0.9641791044776119,0.0,1.0,0.9641791044776119,inf,335,4
