Attribute,Attribute Value,PPV,NPV,FPR,FNR,Accuracy,Treatment Equality,Individuals Evaluated On,fold_num
race,African-American,0.06930693069306931,0.9495798319327731,0.45410628019323673,0.46153846153846156,0.5454545454545454,0.06382978723404255,220,0
race,African-American,0.045714285714285714,1.0,0.7767441860465116,0.0,0.25112107623318386,0.0,223,1
race,African-American,0.0625,0.9841269841269841,0.4205607476635514,0.25,0.5855855855855856,0.022222222222222223,222,2
race,African-American,0.045871559633027525,0.9739130434782609,0.48148148148148145,0.375,0.5223214285714286,0.028846153846153848,224,3
race,African-American,0.06315789473684211,0.9642857142857143,0.39732142857142855,0.45454545454545453,0.6,0.056179775280898875,235,4
race,Caucasian,0.05660377358490566,0.9577464788732394,0.423728813559322,0.5,0.5725806451612904,0.06,124,0
race,Caucasian,0.043478260869565216,0.9714285714285714,0.7213114754098361,0.2,0.2992125984251969,0.011363636363636364,127,1
race,Caucasian,0.03278688524590164,0.9857142857142858,0.4609375,0.3333333333333333,0.5419847328244275,0.01694915254237288,131,2
race,Caucasian,0.125,0.9875,0.30701754385964913,0.16666666666666666,0.7,0.02857142857142857,120,3
race,Caucasian,0.04,0.9594594594594594,0.25263157894736843,0.75,0.7272727272727273,0.125,99,4
race,Hispanic,0.0,1.0,0.3333333333333333,0.0,0.6666666666666666,0.0,24,0
race,Hispanic,0.0,0.9,0.6538461538461539,1.0,0.3333333333333333,0.058823529411764705,27,1
race,Hispanic,0.0,1.0,0.3157894736842105,0.0,0.6842105263157895,0.0,19,2
race,Hispanic,0.1111111111111111,0.95,0.2962962962962963,0.5,0.6896551724137931,0.125,29,3
race,Hispanic,0.0,1.0,0.35714285714285715,0.0,0.6428571428571429,0.0,28,4
race,Other,0.09090909090909091,1.0,0.45454545454545453,0.0,0.5652173913043478,0.0,23,0
race,Other,0.0,1.0,0.42857142857142855,0.0,0.5714285714285714,0.0,14,1
race,Other,0.16666666666666666,0.9230769230769231,0.29411764705882354,0.5,0.6842105263157895,0.2,19,2
race,Other,0.0,1.0,0.5,0.0,0.5,0.0,18,3
race,Other,0.0,1.0,0.25,0.0,0.75,0.0,28,4
sex,female,0.0,0.9333333333333333,0.40425531914893614,1.0,0.5714285714285714,0.10526315789473684,49,0
sex,female,0.05,1.0,0.76,0.0,0.2692307692307692,0.0,52,1
sex,female,0.047619047619047616,1.0,0.39215686274509803,0.0,0.6153846153846154,0.0,52,2
sex,female,0.0,0.9655172413793104,0.3333333333333333,1.0,0.6511627906976745,0.07142857142857142,43,3
sex,female,0.0,0.9285714285714286,0.25,1.0,0.7090909090909091,0.23076923076923078,55,4
sex,male,0.07142857142857142,0.9627659574468085,0.44135802469135804,0.3888888888888889,0.5614035087719298,0.04895104895104895,342,0
sex,male,0.04,0.9775280898876404,0.7339449541284404,0.16666666666666666,0.2861356932153392,0.008333333333333333,339,1
sex,male,0.05405405405405406,0.9790575916230366,0.42813455657492355,0.3333333333333333,0.5752212389380531,0.02857142857142857,339,2
sex,male,0.0718954248366013,0.9794871794871794,0.4264264264264264,0.26666666666666666,0.5804597701149425,0.028169014084507043,348,3
sex,male,0.056451612903225805,0.976303317535545,0.3622291021671827,0.4166666666666667,0.6358208955223881,0.042735042735042736,335,4
