Attribute,Attribute Value,PPV,NPV,FPR,FNR,Accuracy,Treatment Equality,Individuals Evaluated On,fold_num
race,African-American,0.23786407766990292,0.9285714285714286,0.9235294117647059,0.02,0.2818181818181818,0.006369426751592357,220,0
race,African-American,0.24644549763033174,0.9166666666666666,0.9352941176470588,0.018867924528301886,0.2825112107623318,0.006289308176100629,223,1
race,African-American,0.22966507177033493,0.9230769230769231,0.930635838150289,0.02040816326530612,0.2702702702702703,0.006211180124223602,222,2
race,African-American,0.27,1.0,0.8588235294117647,0.0,0.3482142857142857,0.0,224,3
race,African-American,0.2714285714285714,0.84,0.8793103448275862,0.06557377049180328,0.33191489361702126,0.026143790849673203,235,4
race,Caucasian,0.23809523809523808,0.8947368421052632,0.8247422680412371,0.07407407407407407,0.3387096774193548,0.025,124,0
race,Caucasian,0.1592920353982301,0.9285714285714286,0.8796296296296297,0.05263157894736842,0.2440944881889764,0.010526315789473684,127,1
race,Caucasian,0.2037037037037037,0.9130434782608695,0.8037383177570093,0.08333333333333333,0.3282442748091603,0.023255813953488372,131,2
race,Caucasian,0.2708333333333333,0.8333333333333334,0.7777777777777778,0.13333333333333333,0.38333333333333336,0.05714285714285714,120,3
race,Caucasian,0.3380281690140845,0.9642857142857143,0.6351351351351351,0.04,0.5151515151515151,0.02127659574468085,99,4
race,Hispanic,0.047619047619047616,1.0,0.8695652173913043,0.0,0.16666666666666666,0.0,24,0
race,Hispanic,0.17391304347826086,0.75,0.8636363636363636,0.2,0.25925925925925924,0.05263157894736842,27,1
race,Hispanic,0.26666666666666666,1.0,0.7333333333333333,0.0,0.42105263157894735,0.0,19,2
race,Hispanic,0.15,1.0,0.6538461538461539,0.0,0.41379310344827586,0.0,29,3
race,Hispanic,0.09090909090909091,1.0,0.7692307692307693,0.0,0.2857142857142857,0.0,28,4
race,Other,0.19047619047619047,1.0,0.8947368421052632,0.0,0.2608695652173913,0.0,23,0
race,Other,0.15384615384615385,1.0,0.9166666666666666,0.0,0.21428571428571427,0.0,14,1
race,Other,0.23529411764705882,1.0,0.8666666666666667,0.0,0.3157894736842105,0.0,19,2
race,Other,0.1875,1.0,0.8666666666666667,0.0,0.2777777777777778,0.0,18,3
race,Other,0.17391304347826086,0.8,0.8260869565217391,0.2,0.2857142857142857,0.05263157894736842,28,4
sex,female,0.1282051282051282,1.0,0.7727272727272727,0.0,0.30612244897959184,0.0,49,0
sex,female,0.14893617021276595,0.6,0.9302325581395349,0.2222222222222222,0.19230769230769232,0.05,52,1
sex,female,0.1590909090909091,1.0,0.8222222222222222,0.0,0.28846153846153844,0.0,52,2
sex,female,0.23333333333333334,1.0,0.6388888888888888,0.0,0.46511627906976744,0.0,43,3
sex,female,0.2727272727272727,0.8181818181818182,0.7804878048780488,0.14285714285714285,0.38181818181818183,0.0625,55,4
sex,male,0.2356687898089172,0.8928571428571429,0.9056603773584906,0.03896103896103896,0.2894736842105263,0.0125,342,0
sex,male,0.22044728434504793,0.9615384615384616,0.9070631970260223,0.014285714285714285,0.27728613569321536,0.004098360655737705,339,1
sex,male,0.23278688524590163,0.9117647058823529,0.8830188679245283,0.04054054054054054,0.3008849557522124,0.01282051282051282,339,2
sex,male,0.26158940397350994,0.9130434782608695,0.8415094339622642,0.04819277108433735,0.34770114942528735,0.017937219730941704,348,3
sex,male,0.26595744680851063,0.9245283018867925,0.80859375,0.05063291139240506,0.3701492537313433,0.01932367149758454,335,4
