Attribute,Attribute Value,PPV,NPV,FPR,FNR,Accuracy,Treatment Equality,Individuals Evaluated On,fold_num
race,African-American,0,0.8454545454545455,0.0,1.0,0.8454545454545455,inf,220,0
race,African-American,0,0.874439461883408,0.0,1.0,0.874439461883408,inf,223,1
race,African-American,0,0.8873873873873874,0.0,1.0,0.8873873873873874,inf,222,2
race,African-American,0,0.84375,0.0,1.0,0.84375,inf,224,3
race,African-American,0,0.8553191489361702,0.0,1.0,0.8553191489361702,inf,235,4
race,Caucasian,0,0.9032258064516129,0.0,1.0,0.9032258064516129,inf,124,0
race,Caucasian,0,0.9212598425196851,0.0,1.0,0.9212598425196851,inf,127,1
race,Caucasian,0,0.8778625954198473,0.0,1.0,0.8778625954198473,inf,131,2
race,Caucasian,0,0.8833333333333333,0.0,1.0,0.8833333333333333,inf,120,3
race,Caucasian,0,0.8585858585858586,0.0,1.0,0.8585858585858586,inf,99,4
race,Hispanic,0,0.9583333333333334,0.0,1.0,0.9583333333333334,inf,24,0
race,Hispanic,0,0.8518518518518519,0.0,1.0,0.8518518518518519,inf,27,1
race,Hispanic,0,0.8421052631578947,0.0,1.0,0.8421052631578947,inf,19,2
race,Hispanic,0,0.9655172413793104,0.0,1.0,0.9655172413793104,inf,29,3
race,Hispanic,0,1.0,0.0,0.0,1.0,,28,4
race,Other,0,0.9565217391304348,0.0,1.0,0.9565217391304348,inf,23,0
race,Other,0,0.8571428571428571,0.0,1.0,0.8571428571428571,inf,14,1
race,Other,0,0.7894736842105263,0.0,1.0,0.7894736842105263,inf,19,2
race,Other,0,0.8888888888888888,0.0,1.0,0.8888888888888888,inf,18,3
race,Other,0,0.8214285714285714,0.0,1.0,0.8214285714285714,inf,28,4
sex,female,0,0.9591836734693877,0.0,1.0,0.9591836734693877,inf,49,0
sex,female,0,0.9038461538461539,0.0,1.0,0.9038461538461539,inf,52,1
sex,female,0,0.9038461538461539,0.0,1.0,0.9038461538461539,inf,52,2
sex,female,0,0.9069767441860465,0.0,1.0,0.9069767441860465,inf,43,3
sex,female,0,0.8,0.0,1.0,0.8,inf,55,4
sex,male,0,0.8654970760233918,0.0,1.0,0.8654970760233918,inf,342,0
sex,male,0,0.8849557522123894,0.0,1.0,0.8849557522123894,inf,339,1
sex,male,0,0.8731563421828908,0.0,1.0,0.8731563421828908,inf,339,2
sex,male,0,0.8620689655172413,0.0,1.0,0.8620689655172413,inf,348,3
sex,male,0,0.8746268656716418,0.0,1.0,0.8746268656716418,inf,335,4
