Attribute,Attribute Value,PPV,NPV,FPR,FNR,Accuracy,Treatment Equality,Individuals Evaluated On,fold_num
race,African-American,0.08974358974358974,0.9859154929577465,0.33649289099526064,0.2222222222222222,0.6681818181818182,0.028169014084507043,220,0
race,African-American,0.11688311688311688,0.9657534246575342,0.3253588516746411,0.35714285714285715,0.672645739910314,0.07352941176470588,223,1
race,African-American,0.11594202898550725,0.9673202614379085,0.291866028708134,0.38461538461538464,0.7027027027027027,0.08196721311475409,222,2
race,African-American,0.05263157894736842,0.9580838323353293,0.2523364485981308,0.7,0.7276785714285714,0.12962962962962962,224,3
race,African-American,0.08536585365853659,0.954248366013072,0.3393665158371041,0.5,0.6510638297872341,0.09333333333333334,235,4
race,Caucasian,0.03225806451612903,0.946236559139785,0.2542372881355932,0.8333333333333334,0.717741935483871,0.16666666666666666,124,0
race,Caucasian,0.038461538461538464,0.9702970297029703,0.2032520325203252,0.75,0.7795275590551181,0.12,127,1
race,Caucasian,0.21739130434782608,0.9722222222222222,0.14634146341463414,0.375,0.8396946564885496,0.16666666666666666,131,2
race,Caucasian,0.2,0.9578947368421052,0.18018018018018017,0.4444444444444444,0.8,0.2,120,3
race,Caucasian,0.18518518518518517,0.9722222222222222,0.2391304347826087,0.2857142857142857,0.7575757575757576,0.09090909090909091,99,4
race,Hispanic,0.0,1.0,0.25,0.0,0.75,0.0,24,0
race,Hispanic,0.1,1.0,0.34615384615384615,0.0,0.6666666666666666,0.0,27,1
race,Hispanic,0.0,1.0,0.2631578947368421,0.0,0.7368421052631579,0.0,19,2
race,Hispanic,0.0,1.0,0.1724137931034483,0.0,0.8275862068965517,0.0,29,3
race,Hispanic,0.09090909090909091,1.0,0.37037037037037035,0.0,0.6428571428571429,0.0,28,4
race,Other,0.0,1.0,0.2608695652173913,0.0,0.7391304347826086,0.0,23,0
race,Other,0.0,1.0,0.2857142857142857,0.0,0.7142857142857143,0.0,14,1
race,Other,0.0,1.0,0.3684210526315789,0.0,0.631578947368421,0.0,19,2
race,Other,0.5,1.0,0.058823529411764705,0.0,0.9444444444444444,0.0,18,3
race,Other,0.1111111111111111,1.0,0.2962962962962963,0.0,0.7142857142857143,0.0,28,4
sex,female,0.0,1.0,0.32653061224489793,0.0,0.673469387755102,0.0,49,0
sex,female,0.07142857142857142,0.9473684210526315,0.2653061224489796,0.6666666666666666,0.7115384615384616,0.15384615384615385,52,1
sex,female,0.07692307692307693,0.9743589743589743,0.24,0.5,0.75,0.08333333333333333,52,2
sex,female,0.2,0.9696969696969697,0.2,0.3333333333333333,0.7906976744186046,0.125,43,3
sex,female,0.058823529411764705,0.9473684210526315,0.3076923076923077,0.6666666666666666,0.6727272727272727,0.125,55,4
sex,male,0.0761904761904762,0.9704641350210971,0.2966360856269113,0.4666666666666667,0.695906432748538,0.07216494845360824,342,0
sex,male,0.0970873786407767,0.9745762711864406,0.28792569659442724,0.375,0.7079646017699115,0.06451612903225806,339,1
sex,male,0.13186813186813187,0.9717741935483871,0.246875,0.3684210526315789,0.7463126843657817,0.08860759493670886,339,2
sex,male,0.08860759493670886,0.9628252788104089,0.2175226586102719,0.5882352941176471,0.764367816091954,0.1388888888888889,348,3
sex,male,0.11607142857142858,0.968609865470852,0.3142857142857143,0.35,0.6835820895522388,0.0707070707070707,335,4
