Attribute,Attribute Value,PPV,NPV,FPR,FNR,Accuracy,Treatment Equality,Individuals Evaluated On,fold_num
race,African-American,0.0,0.8181818181818182,0.0,1.0,0.8181818181818182,inf,220,0
race,African-American,0.0,0.8116591928251121,0.0,1.0,0.8116591928251121,inf,223,1
race,African-American,0.0,0.7737556561085973,0.005813953488372093,1.0,0.7702702702702703,50.0,222,2
race,African-American,0.0,0.8169642857142857,0.0,1.0,0.8169642857142857,inf,224,3
race,African-American,0.0,0.7914893617021277,0.0,1.0,0.7914893617021277,inf,235,4
race,Caucasian,0.0,0.8225806451612904,0.0,1.0,0.8225806451612904,inf,124,0
race,Caucasian,1.0,0.8888888888888888,0.0,0.9333333333333333,0.889763779527559,inf,127,1
race,Caucasian,0.0,0.8549618320610687,0.0,1.0,0.8549618320610687,inf,131,2
race,Caucasian,0.0,0.8083333333333333,0.0,1.0,0.8083333333333333,inf,120,3
race,Caucasian,0.0,0.8585858585858586,0.0,1.0,0.8585858585858586,inf,99,4
race,Hispanic,0.0,1.0,0.0,0.0,1.0,,24,0
race,Hispanic,0.0,0.8518518518518519,0.0,1.0,0.8518518518518519,inf,27,1
race,Hispanic,0.0,0.6842105263157895,0.0,1.0,0.6842105263157895,inf,19,2
race,Hispanic,0.0,0.9310344827586207,0.0,1.0,0.9310344827586207,inf,29,3
race,Hispanic,0.0,0.9285714285714286,0.0,1.0,0.9285714285714286,inf,28,4
race,Other,0.0,0.7391304347826086,0.0,1.0,0.7391304347826086,inf,23,0
race,Other,0.0,0.9285714285714286,0.0,1.0,0.9285714285714286,inf,14,1
race,Other,0.0,0.8421052631578947,0.0,1.0,0.8421052631578947,inf,19,2
race,Other,0.0,0.8333333333333334,0.0,1.0,0.8333333333333334,inf,18,3
race,Other,0.0,0.9285714285714286,0.0,1.0,0.9285714285714286,inf,28,4
sex,female,0.0,0.8979591836734694,0.0,1.0,0.8979591836734694,inf,49,0
sex,female,0.0,0.9038461538461539,0.0,1.0,0.9038461538461539,inf,52,1
sex,female,0.0,0.8269230769230769,0.0,1.0,0.8269230769230769,inf,52,2
sex,female,0.0,0.8604651162790697,0.0,1.0,0.8604651162790697,inf,43,3
sex,female,0.0,0.8909090909090909,0.0,1.0,0.8909090909090909,inf,55,4
sex,male,0.0,0.8157894736842105,0.0,1.0,0.8157894736842105,inf,342,0
sex,male,1.0,0.834319526627219,0.0,0.9824561403508771,0.8348082595870207,inf,339,1
sex,male,0.0,0.7958579881656804,0.003703703703703704,1.0,0.7935103244837758,69.0,339,2
sex,male,0.0,0.8189655172413793,0.0,1.0,0.8189655172413793,inf,348,3
sex,male,0.0,0.817910447761194,0.0,1.0,0.817910447761194,inf,335,4
