Attribute,Attribute Value,PPV,NPV,FPR,FNR,Accuracy,Treatment Equality,Individuals Evaluated On,fold_num
race,African-American,0.19117647058823528,0.9375,0.9166666666666666,0.025,0.24545454545454545,0.006060606060606061,220,0
race,African-American,0.22772277227722773,0.8442622950819673,0.430939226519337,0.4523809523809524,0.5650224215246636,0.24358974358974358,223,1
race,African-American,0.215,0.6818181818181818,0.9127906976744186,0.14,0.26126126126126126,0.044585987261146494,222,2
race,African-American,0.18981481481481483,1.0,0.9562841530054644,0.0,0.21875,0.0,224,3
race,African-American,0.2682926829268293,0.8571428571428571,0.4838709677419355,0.32653061224489793,0.548936170212766,0.17777777777777778,235,4
race,Caucasian,0.19,0.875,0.7941176470588235,0.13636363636363635,0.3225806451612903,0.037037037037037035,124,0
race,Caucasian,0.1875,0.9052631578947369,0.23214285714285715,0.6,0.7244094488188977,0.34615384615384615,127,1
race,Caucasian,0.18478260869565216,0.9487179487179487,0.6696428571428571,0.10526315789473684,0.4122137404580153,0.02666666666666667,131,2
race,Caucasian,0.19047619047619047,0.8,0.8762886597938144,0.13043478260869565,0.26666666666666666,0.03529411764705882,120,3
race,Caucasian,0.1951219512195122,0.896551724137931,0.38823529411764707,0.42857142857142855,0.6060606060606061,0.18181818181818182,99,4
race,Hispanic,0.0,1.0,0.9166666666666666,0.0,0.08333333333333333,0.0,24,0
race,Hispanic,0.25,0.8947368421052632,0.2608695652173913,0.5,0.7037037037037037,0.3333333333333333,27,1
race,Hispanic,0.4166666666666667,0.8571428571428571,0.5384615384615384,0.16666666666666666,0.5789473684210527,0.14285714285714285,19,2
race,Hispanic,0.1,1.0,0.6666666666666666,0.0,0.3793103448275862,0.0,29,3
race,Hispanic,0.18181818181818182,1.0,0.34615384615384615,0.0,0.6785714285714286,0.0,28,4
race,Other,0.2631578947368421,0.75,0.8235294117647058,0.16666666666666666,0.34782608695652173,0.07142857142857142,23,0
race,Other,0.2,1.0,0.3076923076923077,0.0,0.7142857142857143,0.0,14,1
race,Other,0.21428571428571427,1.0,0.6875,0.0,0.42105263157894735,0.0,19,2
race,Other,0.17647058823529413,1.0,0.9333333333333333,0.0,0.2222222222222222,0.0,18,3
race,Other,0.14285714285714285,0.9523809523809523,0.23076923076923078,0.5,0.75,0.16666666666666666,28,4
sex,female,0.1282051282051282,1.0,0.7727272727272727,0.0,0.30612244897959184,0.0,49,0
sex,female,0.08333333333333333,0.9,0.23404255319148937,0.8,0.7115384615384616,0.36363636363636365,52,1
sex,female,0.225,1.0,0.7209302325581395,0.0,0.40384615384615385,0.0,52,2
sex,female,0.15789473684210525,1.0,0.8648648648648649,0.0,0.2558139534883721,0.0,43,3
sex,female,0.14285714285714285,0.9117647058823529,0.3673469387755102,0.5,0.6181818181818182,0.16666666666666666,55,4
sex,male,0.1895424836601307,0.8611111111111112,0.8888888888888888,0.07936507936507936,0.260233918128655,0.020161290322580645,342,0
sex,male,0.23134328358208955,0.8731707317073171,0.36524822695035464,0.45614035087719296,0.6194690265486725,0.2524271844660194,339,1
sex,male,0.21223021582733814,0.8360655737704918,0.8111111111111111,0.14492753623188406,0.32448377581120946,0.045662100456621,339,2
sex,male,0.1875,0.8928571428571429,0.9122807017543859,0.047619047619047616,0.2442528735632184,0.011538461538461539,348,3
sex,male,0.2546583850931677,0.8850574712643678,0.43795620437956206,0.32786885245901637,0.582089552238806,0.16666666666666666,335,4
