Attribute,Attribute Value,PPV,NPV,FPR,FNR,Accuracy,Treatment Equality,Individuals Evaluated On,fold_num
race,African-American,0.6395348837209303,0.5597014925373134,0.29245283018867924,0.5175438596491229,0.5909090909090909,1.903225806451613,220,0
race,African-American,0.5533980582524272,0.625,0.38016528925619836,0.4411764705882353,0.5919282511210763,0.9782608695652174,223,1
race,African-American,0.6097560975609756,0.5571428571428572,0.2909090909090909,0.5535714285714286,0.5765765765765766,1.9375,222,2
race,African-American,0.6428571428571429,0.5571428571428572,0.2777777777777778,0.5344827586206896,0.5892857142857143,2.066666666666667,224,3
race,African-American,0.6161616161616161,0.6102941176470589,0.3140495867768595,0.4649122807017544,0.6127659574468085,1.394736842105263,235,4
race,Caucasian,0.44,0.5959595959595959,0.1917808219178082,0.7843137254901961,0.5645161290322581,2.857142857142857,124,0
race,Caucasian,0.4666666666666667,0.711340206185567,0.18823529411764706,0.6666666666666666,0.6535433070866141,1.75,127,1
race,Caucasian,0.6666666666666666,0.625,0.12162162162162163,0.6842105263157895,0.6335877862595419,4.333333333333333,131,2
race,Caucasian,0.5714285714285714,0.5754716981132075,0.08955223880597014,0.8490566037735849,0.575,7.5,120,3
race,Caucasian,0.625,0.64,0.15789473684210525,0.6428571428571429,0.6363636363636364,3.0,99,4
race,Hispanic,0.4,0.8421052631578947,0.15789473684210525,0.6,0.75,1.0,24,0
race,Hispanic,0.36363636363636365,0.625,0.4117647058823529,0.6,0.5185185185185185,0.8571428571428571,27,1
race,Hispanic,0.8,0.5714285714285714,0.1111111111111111,0.6,0.631578947368421,6.0,19,2
race,Hispanic,0.2857142857142857,0.7272727272727273,0.23809523809523808,0.75,0.6206896551724138,1.2,29,3
race,Hispanic,0.5,0.6666666666666666,0.1111111111111111,0.8,0.6428571428571429,4.0,28,4
race,Other,0.375,0.6,0.35714285714285715,0.6666666666666666,0.5217391304347826,1.2,23,0
race,Other,0.8,0.8888888888888888,0.1111111111111111,0.2,0.8571428571428571,1.0,14,1
race,Other,0.75,0.5333333333333333,0.1111111111111111,0.7,0.5789473684210527,7.0,19,2
race,Other,1.0,0.47058823529411764,0.0,0.9,0.5,inf,18,3
race,Other,0.5,0.75,0.21052631578947367,0.5555555555555556,0.6785714285714286,1.25,28,4
sex,female,0.25,0.6444444444444445,0.09375,0.9411764705882353,0.6122448979591837,5.333333333333333,49,0
sex,female,0.35714285714285715,0.7105263157894737,0.25,0.6875,0.6153846153846154,1.2222222222222223,52,1
sex,female,0.75,0.6818181818181818,0.0625,0.7,0.6923076923076923,7.0,52,2
sex,female,0.7142857142857143,0.75,0.06896551724137931,0.6428571428571429,0.7441860465116279,4.5,43,3
sex,female,0.75,0.6595744680851063,0.06060606060606061,0.7272727272727273,0.6727272727272727,8.0,55,4
sex,male,0.5833333333333334,0.5855855855855856,0.2777777777777778,0.5679012345679012,0.5847953216374269,1.84,342,0
sex,male,0.5481481481481482,0.6617647058823529,0.3112244897959184,0.4825174825174825,0.616519174041298,1.1311475409836065,339,1
sex,male,0.6272727272727273,0.5633187772925764,0.2411764705882353,0.591715976331361,0.584070796460177,2.4390243902439024,339,2
sex,male,0.6060606060606061,0.5461847389558233,0.22285714285714286,0.653179190751445,0.5632183908045977,2.8974358974358974,348,3
sex,male,0.5984251968503937,0.6298076923076923,0.2802197802197802,0.5032679738562091,0.6179104477611941,1.5098039215686274,335,4
