Attribute,Attribute Value,PPV,NPV,FPR,FNR,Accuracy,Treatment Equality,Individuals Evaluated On,fold_num
race,African-American,0.0,0.6727272727272727,0.0,1.0,0.6727272727272727,inf,220,0
race,African-American,0.5,0.7375565610859729,0.006097560975609756,0.9830508474576272,0.7354260089686099,58.0,223,1
race,African-American,0.42857142857142855,0.7255813953488373,0.025,0.9516129032258065,0.7162162162162162,14.75,222,2
race,African-American,0.0,0.6741071428571429,0.0,1.0,0.6741071428571429,inf,224,3
race,African-American,0.25,0.7312775330396476,0.03488372093023256,0.9682539682539683,0.7148936170212766,10.166666666666666,235,4
race,Caucasian,0.0,0.7741935483870968,0.0,1.0,0.7741935483870968,inf,124,0
race,Caucasian,0.0,0.7936507936507936,0.009900990099009901,1.0,0.7874015748031497,26.0,127,1
race,Caucasian,1.0,0.7153846153846154,0.0,0.9736842105263158,0.7175572519083969,inf,131,2
race,Caucasian,0.0,0.75,0.0,1.0,0.75,inf,120,3
race,Caucasian,0.3333333333333333,0.7291666666666666,0.027777777777777776,0.9629629629629629,0.7171717171717171,13.0,99,4
race,Hispanic,0.0,0.7916666666666666,0.0,1.0,0.7916666666666666,inf,24,0
race,Hispanic,0.0,0.76,0.09523809523809523,1.0,0.7037037037037037,3.0,27,1
race,Hispanic,0.0,0.7894736842105263,0.0,1.0,0.7894736842105263,inf,19,2
race,Hispanic,0.0,0.7931034482758621,0.0,1.0,0.7931034482758621,inf,29,3
race,Hispanic,0.0,0.7857142857142857,0.0,1.0,0.7857142857142857,inf,28,4
race,Other,0.0,0.8695652173913043,0.0,1.0,0.8695652173913043,inf,23,0
race,Other,0.0,0.6923076923076923,0.1,1.0,0.6428571428571429,4.0,14,1
race,Other,0.0,0.631578947368421,0.0,1.0,0.631578947368421,inf,19,2
race,Other,0.0,0.6666666666666666,0.0,1.0,0.6666666666666666,inf,18,3
race,Other,1.0,0.7777777777777778,0.0,0.8571428571428571,0.7857142857142857,inf,28,4
sex,female,0.0,0.7551020408163265,0.0,1.0,0.7551020408163265,inf,49,0
sex,female,0.0,0.7884615384615384,0.0,1.0,0.7884615384615384,inf,52,1
sex,female,0.0,0.7884615384615384,0.0,1.0,0.7884615384615384,inf,52,2
sex,female,0.0,0.813953488372093,0.0,1.0,0.813953488372093,inf,43,3
sex,female,0.0,0.7090909090909091,0.0,1.0,0.7090909090909091,inf,55,4
sex,male,0.0,0.7192982456140351,0.0,1.0,0.7192982456140351,inf,342,0
sex,male,0.16666666666666666,0.7507507507507507,0.0196078431372549,0.9880952380952381,0.7404129793510325,16.6,339,1
sex,male,0.5,0.7099697885196374,0.016736401673640166,0.96,0.7050147492625368,24.0,339,2
sex,male,0.0,0.6925287356321839,0.0,1.0,0.6925287356321839,inf,348,3
sex,male,0.3333333333333333,0.7430340557275542,0.03225806451612903,0.9540229885057471,0.7283582089552239,10.375,335,4
