Attribute,Attribute Value,PPV,NPV,FPR,FNR,Accuracy,Treatment Equality,Individuals Evaluated On,fold_num
race,African-American,0,0.6727272727272727,0.0,1.0,0.6727272727272727,inf,220,0
race,African-American,0,0.7354260089686099,0.0,1.0,0.7354260089686099,inf,223,1
race,African-American,0,0.7207207207207207,0.0,1.0,0.7207207207207207,inf,222,2
race,African-American,0,0.6741071428571429,0.0,1.0,0.6741071428571429,inf,224,3
race,African-American,0,0.7319148936170212,0.0,1.0,0.7319148936170212,inf,235,4
race,Caucasian,0,0.7741935483870968,0.0,1.0,0.7741935483870968,inf,124,0
race,Caucasian,0,0.7952755905511811,0.0,1.0,0.7952755905511811,inf,127,1
race,Caucasian,0,0.7099236641221374,0.0,1.0,0.7099236641221374,inf,131,2
race,Caucasian,0,0.75,0.0,1.0,0.75,inf,120,3
race,Caucasian,0,0.7272727272727273,0.0,1.0,0.7272727272727273,inf,99,4
race,Hispanic,0,0.7916666666666666,0.0,1.0,0.7916666666666666,inf,24,0
race,Hispanic,0,0.7777777777777778,0.0,1.0,0.7777777777777778,inf,27,1
race,Hispanic,0,0.7894736842105263,0.0,1.0,0.7894736842105263,inf,19,2
race,Hispanic,0,0.7931034482758621,0.0,1.0,0.7931034482758621,inf,29,3
race,Hispanic,0,0.7857142857142857,0.0,1.0,0.7857142857142857,inf,28,4
race,Other,0,0.8695652173913043,0.0,1.0,0.8695652173913043,inf,23,0
race,Other,0,0.7142857142857143,0.0,1.0,0.7142857142857143,inf,14,1
race,Other,0,0.631578947368421,0.0,1.0,0.631578947368421,inf,19,2
race,Other,0,0.6666666666666666,0.0,1.0,0.6666666666666666,inf,18,3
race,Other,0,0.75,0.0,1.0,0.75,inf,28,4
sex,female,0,0.7551020408163265,0.0,1.0,0.7551020408163265,inf,49,0
sex,female,0,0.7884615384615384,0.0,1.0,0.7884615384615384,inf,52,1
sex,female,0,0.7884615384615384,0.0,1.0,0.7884615384615384,inf,52,2
sex,female,0,0.813953488372093,0.0,1.0,0.813953488372093,inf,43,3
sex,female,0,0.7090909090909091,0.0,1.0,0.7090909090909091,inf,55,4
sex,male,0,0.7192982456140351,0.0,1.0,0.7192982456140351,inf,342,0
sex,male,0,0.7522123893805309,0.0,1.0,0.7522123893805309,inf,339,1
sex,male,0,0.7050147492625368,0.0,1.0,0.7050147492625368,inf,339,2
sex,male,0,0.6925287356321839,0.0,1.0,0.6925287356321839,inf,348,3
sex,male,0,0.7402985074626866,0.0,1.0,0.7402985074626866,inf,335,4
