Attribute,Attribute Value,PPV,NPV,FPR,FNR,Accuracy,Treatment Equality,Individuals Evaluated On,fold_num
race,African-American,0.3317307692307692,0.75,0.9391891891891891,0.041666666666666664,0.35454545454545455,0.02158273381294964,220,0
race,African-American,0.2682926829268293,0.7777777777777778,0.9146341463414634,0.06779661016949153,0.3094170403587444,0.02666666666666667,223,1
race,African-American,0.28921568627450983,0.8333333333333334,0.90625,0.04838709677419355,0.3333333333333333,0.020689655172413793,222,2
race,African-American,0.33649289099526064,0.8461538461538461,0.9271523178807947,0.0273972602739726,0.36607142857142855,0.014285714285714285,224,3
race,African-American,0.2727272727272727,0.7567567567567568,0.8372093023255814,0.14285714285714285,0.34893617021276596,0.0625,235,4
race,Caucasian,0.22727272727272727,0.7857142857142857,0.8854166666666666,0.10714285714285714,0.2903225806451613,0.03529411764705882,124,0
race,Caucasian,0.22935779816513763,0.9444444444444444,0.8316831683168316,0.038461538461538464,0.33070866141732286,0.011904761904761904,127,1
race,Caucasian,0.29464285714285715,0.7368421052631579,0.8494623655913979,0.13157894736842105,0.35877862595419846,0.06329113924050633,131,2
race,Caucasian,0.2549019607843137,0.7777777777777778,0.8444444444444444,0.13333333333333333,0.3333333333333333,0.05263157894736842,120,3
race,Caucasian,0.3055555555555556,0.8148148148148148,0.6944444444444444,0.18518518518518517,0.4444444444444444,0.1,99,4
race,Hispanic,0.21052631578947367,0.8,0.7894736842105263,0.2,0.3333333333333333,0.06666666666666667,24,0
race,Hispanic,0.19047619047619047,0.6666666666666666,0.8095238095238095,0.3333333333333333,0.2962962962962963,0.11764705882352941,27,1
race,Hispanic,0.2222222222222222,1.0,0.9333333333333333,0.0,0.2631578947368421,0.0,19,2
race,Hispanic,0.23076923076923078,1.0,0.8695652173913043,0.0,0.3103448275862069,0.0,29,3
race,Hispanic,0.17391304347826086,0.6,0.8636363636363636,0.3333333333333333,0.25,0.10526315789473684,28,4
race,Other,0.15789473684210525,1.0,0.8,0.0,0.30434782608695654,0.0,23,0
race,Other,0.36363636363636365,1.0,0.7,0.0,0.5,0.0,14,1
race,Other,0.4375,1.0,0.75,0.0,0.5263157894736842,0.0,19,2
race,Other,0.3125,0.5,0.9166666666666666,0.16666666666666666,0.3333333333333333,0.09090909090909091,18,3
race,Other,0.23809523809523808,0.7142857142857143,0.7619047619047619,0.2857142857142857,0.35714285714285715,0.125,28,4
sex,female,0.24390243902439024,0.75,0.8378378378378378,0.16666666666666666,0.32653061224489793,0.06451612903225806,49,0
sex,female,0.2127659574468085,0.8,0.9024390243902439,0.09090909090909091,0.2692307692307692,0.02702702702702703,52,1
sex,female,0.25,1.0,0.8048780487804879,0.0,0.36538461538461536,0.0,52,2
sex,female,0.1891891891891892,0.8333333333333334,0.8571428571428571,0.125,0.27906976744186046,0.03333333333333333,43,3
sex,female,0.37209302325581395,1.0,0.6923076923076923,0.0,0.509090909090909,0.0,55,4
sex,male,0.28888888888888886,0.8148148148148148,0.9105691056910569,0.052083333333333336,0.3304093567251462,0.022321428571428572,342,0
sex,male,0.2608695652173913,0.85,0.8666666666666667,0.07142857142857142,0.3303834808259587,0.027149321266968326,339,1
sex,male,0.3006535947712418,0.7575757575757576,0.895397489539749,0.08,0.34513274336283184,0.037383177570093455,339,2
sex,male,0.31761006289308175,0.8,0.9004149377593361,0.056074766355140186,0.35919540229885055,0.027649769585253458,348,3
sex,male,0.25461254612546125,0.71875,0.8145161290322581,0.20689655172413793,0.34328358208955223,0.0891089108910891,335,4
