Attribute,Attribute Value,PPV,NPV,FPR,FNR,Accuracy,Treatment Equality,Individuals Evaluated On,fold_num
race,African-American,0.0,0.9090909090909091,0.0,1.0,0.9090909090909091,inf,220,0
race,African-American,0.0,0.9147982062780269,0.0,1.0,0.9147982062780269,inf,223,1
race,African-American,0.6666666666666666,0.9259259259259259,0.009900990099009901,0.8,0.918918918918919,8.0,222,2
race,African-American,0.0,0.9103139013452914,0.004901960784313725,1.0,0.90625,20.0,224,3
race,African-American,0.0,0.8765957446808511,0.0,1.0,0.8765957446808511,inf,235,4
race,Caucasian,0.0,0.9032258064516129,0.0,1.0,0.9032258064516129,inf,124,0
race,Caucasian,0.0,0.9291338582677166,0.0,1.0,0.9291338582677166,inf,127,1
race,Caucasian,0.0,0.8923076923076924,0.008547008547008548,1.0,0.8854961832061069,14.0,131,2
race,Caucasian,0.0,0.9166666666666666,0.0,1.0,0.9166666666666666,inf,120,3
race,Caucasian,0.0,0.9191919191919192,0.0,1.0,0.9191919191919192,inf,99,4
race,Hispanic,0.0,1.0,0.0,0.0,1.0,,24,0
race,Hispanic,0.0,0.9259259259259259,0.0,1.0,0.9259259259259259,inf,27,1
race,Hispanic,0.0,0.8888888888888888,0.058823529411764705,1.0,0.8421052631578947,2.0,19,2
race,Hispanic,0.0,1.0,0.0,0.0,1.0,,29,3
race,Hispanic,0.0,0.9285714285714286,0.0,1.0,0.9285714285714286,inf,28,4
race,Other,0.0,0.9565217391304348,0.0,1.0,0.9565217391304348,inf,23,0
race,Other,0.0,0.9285714285714286,0.0,1.0,0.9285714285714286,inf,14,1
race,Other,0.0,0.8888888888888888,0.058823529411764705,1.0,0.8421052631578947,2.0,19,2
race,Other,0.0,0.8888888888888888,0.0,1.0,0.8888888888888888,inf,18,3
race,Other,0.0,0.9285714285714286,0.0,1.0,0.9285714285714286,inf,28,4
sex,female,0.0,0.8979591836734694,0.0,1.0,0.8979591836734694,inf,49,0
sex,female,0.0,0.9423076923076923,0.0,1.0,0.9423076923076923,inf,52,1
sex,female,0.0,0.9230769230769231,0.0,1.0,0.9230769230769231,inf,52,2
sex,female,0.0,0.9302325581395349,0.0,1.0,0.9302325581395349,inf,43,3
sex,female,0.0,0.9090909090909091,0.0,1.0,0.9090909090909091,inf,55,4
sex,male,0.0,0.9181286549707602,0.0,1.0,0.9181286549707602,inf,342,0
sex,male,0.0,0.9174041297935103,0.0,1.0,0.9174041297935103,inf,339,1
sex,male,0.4444444444444444,0.9090909090909091,0.01639344262295082,0.8823529411764706,0.8967551622418879,6.0,339,2
sex,male,0.0,0.9164265129682997,0.003134796238244514,1.0,0.9137931034482759,29.0,348,3
sex,male,0.0,0.8925373134328358,0.0,1.0,0.8925373134328358,inf,335,4
