Attribute,Attribute Value,PPV,NPV,FPR,FNR,Accuracy,Treatment Equality,Individuals Evaluated On,fold_num
race,African-American,0,0.9090909090909091,0.0,1.0,0.9090909090909091,inf,220,0
race,African-American,0,0.9147982062780269,0.0,1.0,0.9147982062780269,inf,223,1
race,African-American,0,0.9099099099099099,0.0,1.0,0.9099099099099099,inf,222,2
race,African-American,0,0.9107142857142857,0.0,1.0,0.9107142857142857,inf,224,3
race,African-American,0,0.8765957446808511,0.0,1.0,0.8765957446808511,inf,235,4
race,Caucasian,0,0.9032258064516129,0.0,1.0,0.9032258064516129,inf,124,0
race,Caucasian,0,0.9291338582677166,0.0,1.0,0.9291338582677166,inf,127,1
race,Caucasian,0,0.8931297709923665,0.0,1.0,0.8931297709923665,inf,131,2
race,Caucasian,0,0.9166666666666666,0.0,1.0,0.9166666666666666,inf,120,3
race,Caucasian,0,0.9191919191919192,0.0,1.0,0.9191919191919192,inf,99,4
race,Hispanic,0,1.0,0.0,0.0,1.0,,24,0
race,Hispanic,0,0.9259259259259259,0.0,1.0,0.9259259259259259,inf,27,1
race,Hispanic,0,0.8947368421052632,0.0,1.0,0.8947368421052632,inf,19,2
race,Hispanic,0,1.0,0.0,0.0,1.0,,29,3
race,Hispanic,0,0.9285714285714286,0.0,1.0,0.9285714285714286,inf,28,4
race,Other,0,0.9565217391304348,0.0,1.0,0.9565217391304348,inf,23,0
race,Other,0,0.9285714285714286,0.0,1.0,0.9285714285714286,inf,14,1
race,Other,0,0.8947368421052632,0.0,1.0,0.8947368421052632,inf,19,2
race,Other,0,0.8888888888888888,0.0,1.0,0.8888888888888888,inf,18,3
race,Other,0,0.9285714285714286,0.0,1.0,0.9285714285714286,inf,28,4
sex,female,0,0.8979591836734694,0.0,1.0,0.8979591836734694,inf,49,0
sex,female,0,0.9423076923076923,0.0,1.0,0.9423076923076923,inf,52,1
sex,female,0,0.9230769230769231,0.0,1.0,0.9230769230769231,inf,52,2
sex,female,0,0.9302325581395349,0.0,1.0,0.9302325581395349,inf,43,3
sex,female,0,0.9090909090909091,0.0,1.0,0.9090909090909091,inf,55,4
sex,male,0,0.9181286549707602,0.0,1.0,0.9181286549707602,inf,342,0
sex,male,0,0.9174041297935103,0.0,1.0,0.9174041297935103,inf,339,1
sex,male,0,0.8997050147492626,0.0,1.0,0.8997050147492626,inf,339,2
sex,male,0,0.9166666666666666,0.0,1.0,0.9166666666666666,inf,348,3
sex,male,0,0.8925373134328358,0.0,1.0,0.8925373134328358,inf,335,4
