Attribute,Attribute Value,PPV,NPV,FPR,FNR,Accuracy,Treatment Equality,Individuals Evaluated On,fold_num
race,African-American,0.12080536912751678,0.971830985915493,0.655,0.1,0.39545454545454545,0.015267175572519083,220,0
race,African-American,0.1728395061728395,0.9647887323943662,0.3284313725490196,0.2631578947368421,0.6771300448430493,0.07462686567164178,223,1
race,African-American,0.21212121212121213,0.9615384615384616,0.25742574257425743,0.3,0.7387387387387387,0.11538461538461539,222,2
race,African-American,0.13793103448275862,0.9416058394160584,0.36764705882352944,0.4,0.6294642857142857,0.10666666666666667,224,3
race,African-American,0.2289156626506024,0.9342105263157895,0.3106796116504854,0.3448275862068966,0.6851063829787234,0.15625,235,4
race,Caucasian,0.12903225806451613,0.9354838709677419,0.48214285714285715,0.3333333333333333,0.532258064516129,0.07407407407407407,124,0
race,Caucasian,0.21428571428571427,0.9696969696969697,0.1864406779661017,0.3333333333333333,0.8031496062992126,0.13636363636363635,127,1
race,Caucasian,0.3333333333333333,0.9439252336448598,0.13675213675213677,0.42857142857142855,0.8320610687022901,0.375,131,2
race,Caucasian,0.16666666666666666,0.9523809523809523,0.2727272727272727,0.4,0.7166666666666667,0.13333333333333333,120,3
race,Caucasian,0.17857142857142858,0.9577464788732394,0.25274725274725274,0.375,0.7373737373737373,0.13043478260869565,99,4
race,Hispanic,0.0,1.0,0.4583333333333333,0.0,0.5416666666666666,0.0,24,0
race,Hispanic,0.2222222222222222,1.0,0.28,0.0,0.7407407407407407,0.0,27,1
race,Hispanic,0.25,0.9333333333333333,0.17647058823529413,0.5,0.7894736842105263,0.3333333333333333,19,2
race,Hispanic,0.0,1.0,0.20689655172413793,0.0,0.7931034482758621,0.0,29,3
race,Hispanic,0.25,1.0,0.23076923076923078,0.0,0.7857142857142857,0.0,28,4
race,Other,0.09090909090909091,1.0,0.45454545454545453,0.0,0.5652173913043478,0.0,23,0
race,Other,0.0,0.8888888888888888,0.38461538461538464,1.0,0.5714285714285714,0.2,14,1
race,Other,0.3333333333333333,1.0,0.23529411764705882,0.0,0.7894736842105263,0.0,19,2
race,Other,0.5,0.9375,0.0625,0.5,0.8888888888888888,1.0,18,3
race,Other,0.25,1.0,0.23076923076923078,0.0,0.7857142857142857,0.0,28,4
sex,female,0.13793103448275862,0.95,0.5681818181818182,0.2,0.46938775510204084,0.04,49,0
sex,female,0.16666666666666666,0.975,0.20408163265306123,0.3333333333333333,0.7884615384615384,0.1,52,1
sex,female,0.18181818181818182,0.9512195121951219,0.1875,0.5,0.7884615384615384,0.2222222222222222,52,2
sex,female,0.13333333333333333,0.9642857142857143,0.325,0.3333333333333333,0.6744186046511628,0.07692307692307693,43,3
sex,female,0.21428571428571427,0.9512195121951219,0.22,0.4,0.7636363636363637,0.18181818181818182,55,4
sex,male,0.11274509803921569,0.9637681159420289,0.5764331210191083,0.17857142857142858,0.45614035087719296,0.027624309392265192,342,0
sex,male,0.18018018018018017,0.9649122807017544,0.29260450160771706,0.2857142857142857,0.7079646017699115,0.08791208791208792,339,1
sex,male,0.25842696629213485,0.956,0.21639344262295082,0.3235294117647059,0.7728613569321534,0.16666666666666666,339,2
sex,male,0.14655172413793102,0.9482758620689655,0.3103448275862069,0.41379310344827586,0.6810344827586207,0.12121212121212122,348,3
sex,male,0.22123893805309736,0.9504504504504504,0.29431438127090304,0.3055555555555556,0.7044776119402985,0.125,335,4
