Attribute,Attribute Value,PPV,NPV,FPR,FNR,Accuracy,Treatment Equality,Individuals Evaluated On,fold_num
race,African-American,1.0,0.776255707762557,0.0,0.98,0.7772727272727272,inf,220,0
race,African-American,0.5,0.7828054298642534,0.005747126436781609,0.9795918367346939,0.7802690582959642,48.0,223,1
race,African-American,0.0,0.7612612612612613,0.0,1.0,0.7612612612612613,inf,222,2
race,African-American,0.0,0.7723214285714286,0.0,1.0,0.7723214285714286,inf,224,3
race,African-American,1.0,0.7777777777777778,0.0,0.9811320754716981,0.7787234042553192,inf,235,4
race,Caucasian,0.0,0.8373983739837398,0.009615384615384616,1.0,0.8306451612903226,20.0,124,0
race,Caucasian,1.0,0.848,0.0,0.9047619047619048,0.8503937007874016,inf,127,1
race,Caucasian,0.0,0.8091603053435115,0.0,1.0,0.8091603053435115,inf,131,2
race,Caucasian,0.0,0.7583333333333333,0.0,1.0,0.7583333333333333,inf,120,3
race,Caucasian,1.0,0.8144329896907216,0.0,0.9,0.8181818181818182,inf,99,4
race,Hispanic,0.0,0.875,0.0,1.0,0.875,inf,24,0
race,Hispanic,0.0,0.8518518518518519,0.0,1.0,0.8518518518518519,inf,27,1
race,Hispanic,0.0,0.6842105263157895,0.0,1.0,0.6842105263157895,inf,19,2
race,Hispanic,0.0,0.896551724137931,0.0,1.0,0.896551724137931,inf,29,3
race,Hispanic,0.0,0.9642857142857143,0.0,1.0,0.9642857142857143,inf,28,4
race,Other,0.0,0.8260869565217391,0.0,1.0,0.8260869565217391,inf,23,0
race,Other,0.0,0.7857142857142857,0.0,1.0,0.7857142857142857,inf,14,1
race,Other,0.0,0.7894736842105263,0.0,1.0,0.7894736842105263,inf,19,2
race,Other,0.0,0.6666666666666666,0.0,1.0,0.6666666666666666,inf,18,3
race,Other,0.0,0.8214285714285714,0.0,1.0,0.8214285714285714,inf,28,4
sex,female,0.0,0.7755102040816326,0.0,1.0,0.7755102040816326,inf,49,0
sex,female,0.0,0.8653846153846154,0.0,1.0,0.8653846153846154,inf,52,1
sex,female,0.0,0.8846153846153846,0.0,1.0,0.8846153846153846,inf,52,2
sex,female,0.0,0.9069767441860465,0.0,1.0,0.9069767441860465,inf,43,3
sex,female,0.0,0.8727272727272727,0.0,1.0,0.8727272727272727,inf,55,4
sex,male,0.5,0.8088235294117647,0.0036231884057971015,0.9848484848484849,0.8070175438596491,65.0,342,0
sex,male,0.75,0.8,0.0037174721189591076,0.9571428571428572,0.799410029498525,67.0,339,1
sex,male,0.0,0.7581120943952803,0.0,1.0,0.7581120943952803,inf,339,2
sex,male,0.0,0.7557471264367817,0.0,1.0,0.7557471264367817,inf,348,3
sex,male,1.0,0.7921686746987951,0.0,0.9583333333333334,0.7940298507462686,inf,335,4
