Attribute,Attribute Value,Label,Expected Score,fold_num
race,African-American,0,0.041519288095478064,0
race,African-American,1,0.037523197864753846,0
race,Hispanic,0,0.028056383843860114,0
race,Caucasian,0,0.038708758517075455,0
race,Caucasian,1,0.03574817023583627,0
race,Other,0,0.03365041031075186,0
race,Other,1,0.058823529411764705,0
sex,male,0,0.04032990137512574,0
sex,male,1,0.04087602783048703,0
sex,female,0,0.03210426243249532,0
sex,female,1,0.012672811059907835,0
race,Other,0,0.035571724545348515,1
race,Caucasian,0,0.04083963493690525,1
race,Caucasian,1,0.04812993851326648,1
race,African-American,0,0.04163608778840595,1
race,African-American,1,0.05588648243462756,1
race,Hispanic,0,0.03699233698515823,1
race,Hispanic,1,0.01710376282782212,1
sex,male,0,0.04114035153418063,1
sex,male,1,0.0472681002997819,1
sex,female,0,0.03882208580763318,1
sex,female,1,0.06881405563689605,1
race,African-American,0,0.042557343231975776,2
race,African-American,1,0.05489413174128299,2
race,Other,0,0.030850971878518693,2
race,Other,1,0.043216025522226045,2
race,Caucasian,0,0.03993155814811634,2
race,Caucasian,1,0.3777148253068933,2
race,Hispanic,0,0.03952820250568174,2
sex,male,0,0.04228498118834124,2
sex,male,1,0.13267977857792132,2
sex,female,0,0.03268283167758643,2
sex,female,1,0.06657223796033994,2
race,African-American,0,0.039667306461932166,3
race,African-American,1,0.03966730646193218,3
race,Caucasian,0,0.03966730646193225,3
race,Caucasian,1,0.03966730646193218,3
race,Hispanic,0,0.03966730646193218,3
race,Hispanic,1,0.03966730646193218,3
race,Other,0,0.03966730646193218,3
sex,male,0,0.0396673064619324,3
sex,male,1,0.03966730646193218,3
sex,female,0,0.03966730646193218,3
sex,female,1,0.03966730646193218,3
race,Caucasian,0,0.03907751441383722,4
race,Caucasian,1,0.039077514413837285,4
race,African-American,0,0.039077514413837326,4
race,African-American,1,0.039077514413837285,4
race,Hispanic,0,0.03907751441383731,4
race,Other,0,0.03907751441383731,4
sex,male,0,0.039077514413837125,4
sex,male,1,0.039077514413837285,4
sex,female,0,0.03907751441383732,4
sex,female,1,0.039077514413837285,4
