Attribute,Attribute Value,Label,Expected Score,fold_num
race,African-American,0,4.029268292682927,0
race,African-American,1,3.8,0
race,Hispanic,0,3.7083333333333335,0
race,Caucasian,0,3.3363636363636364,0
race,Caucasian,1,3.357142857142857,0
race,Other,0,3.25,0
race,Other,1,4.666666666666667,0
sex,male,0,3.8242811501597442,0
sex,male,1,3.6551724137931036,0
sex,female,0,3.260869565217391,0
sex,female,1,4.0,0
race,Other,0,4.428571428571429,1
race,Caucasian,0,3.2288135593220337,1
race,Caucasian,1,3.888888888888889,1
race,African-American,0,4.0703517587939695,1
race,African-American,1,4.5,1
race,Hispanic,0,3.769230769230769,1
race,Hispanic,1,4.0,1
sex,male,0,3.831715210355987,1
sex,male,1,4.4,1
sex,female,0,3.4791666666666665,1
sex,female,1,3.75,1
race,African-American,0,3.823232323232323,2
race,African-American,1,4.166666666666667,2
race,Other,0,3.5789473684210527,2
race,Caucasian,0,3.341463414634146,2
race,Caucasian,1,4.125,2
race,Hispanic,0,3.5,2
race,Hispanic,1,3.0,2
sex,male,0,3.688311688311688,2
sex,male,1,4.193548387096774,2
sex,female,0,3.26,2
sex,female,1,3.0,2
race,African-American,0,4.087378640776699,3
race,African-American,1,4.111111111111111,3
race,Caucasian,1,4.0,3
race,Caucasian,0,3.3173076923076925,3
race,Hispanic,0,3.2222222222222223,3
race,Hispanic,1,4.0,3
race,Other,0,3.1176470588235294,3
race,Other,1,5.0,3
sex,male,0,3.8025477707006368,3
sex,male,1,3.9705882352941178,3
sex,female,0,3.325,3
sex,female,1,5.333333333333333,3
race,Caucasian,1,4.636363636363637,4
race,Caucasian,0,3.25,4
race,African-American,0,4.014354066985646,4
race,African-American,1,4.346153846153846,4
race,Hispanic,0,2.962962962962963,4
race,Hispanic,1,3.0,4
race,Other,0,3.392857142857143,4
sex,male,1,4.4,4
sex,male,0,3.8133333333333335,4
sex,female,1,4.333333333333333,4
sex,female,0,3.0,4
