Attribute,Attribute Value,Label,Expected Score,fold_num
race,African-American,0,5.529411764705882,0
race,African-American,1,6.28,0
race,Hispanic,0,3.8260869565217392,0
race,Hispanic,1,3.0,0
race,Caucasian,0,4.268041237113402,0
race,Caucasian,1,5.185185185185185,0
race,Other,0,4.052631578947368,0
race,Other,1,6.0,0
sex,male,0,4.947169811320754,0
sex,male,1,5.8441558441558445,0
sex,female,0,4.7272727272727275,0
sex,female,1,6.2,0
race,Other,0,4.916666666666667,1
race,Other,1,4.0,1
race,Caucasian,0,3.8981481481481484,1
race,Caucasian,1,4.7894736842105265,1
race,African-American,0,5.411764705882353,1
race,African-American,1,7.0,1
race,Hispanic,0,4.5,1
race,Hispanic,1,3.6,1
sex,male,0,4.79182156133829,1
sex,male,1,6.171428571428572,1
sex,female,0,4.883720930232558,1
sex,female,1,6.222222222222222,1
race,African-American,1,6.673469387755102,2
race,African-American,0,5.514450867052023,2
race,Other,0,3.7333333333333334,2
race,Other,1,4.0,2
race,Caucasian,0,4.271028037383178,2
race,Caucasian,1,4.375,2
race,Hispanic,0,4.333333333333333,2
race,Hispanic,1,5.25,2
sex,male,1,5.8108108108108105,2
sex,male,0,4.9547169811320755,2
sex,female,0,4.866666666666666,2
sex,female,1,5.571428571428571,2
race,African-American,1,6.777777777777778,3
race,African-American,0,6.076470588235294,3
race,Caucasian,1,4.966666666666667,3
race,Caucasian,0,4.311111111111111,3
race,Hispanic,0,3.730769230769231,3
race,Hispanic,1,7.666666666666667,3
race,Other,0,3.466666666666667,3
race,Other,1,5.0,3
sex,male,1,6.168674698795181,3
sex,male,0,5.366037735849057,3
sex,female,0,4.111111111111111,3
sex,female,1,5.857142857142857,3
race,Caucasian,1,4.6,4
race,Caucasian,0,3.77027027027027,4
race,African-American,1,6.967213114754099,4
race,African-American,0,5.712643678160919,4
race,Hispanic,0,4.576923076923077,4
race,Hispanic,1,6.0,4
race,Other,1,5.4,4
race,Other,0,3.6956521739130435,4
sex,male,1,6.379746835443038,4
sex,male,0,5.1171875,4
sex,female,1,5.357142857142857,4
sex,female,0,4.073170731707317,4
