Attribute,Attribute Value,Label,Expected Score,fold_num
race,African-American,0,5.60752688172043,0
race,African-American,1,6.205882352941177,0
race,Hispanic,0,3.8260869565217392,0
race,Hispanic,1,3.0,0
race,Caucasian,0,4.446428571428571,0
race,Caucasian,1,4.666666666666667,0
race,Other,0,4.363636363636363,0
race,Other,1,5.0,0
sex,male,0,5.050675675675675,0
sex,male,1,5.782608695652174,0
sex,female,0,4.8936170212765955,0
sex,female,1,4.5,0
race,Other,0,4.916666666666667,1
race,Other,1,4.0,1
race,Caucasian,0,4.042735042735043,1
race,Caucasian,1,3.9,1
race,African-American,0,5.712820512820513,1
race,African-American,1,6.321428571428571,1
race,Hispanic,0,4.434782608695652,1
race,Hispanic,1,3.75,1
sex,male,0,5.023333333333333,1
sex,male,1,5.487179487179487,1
sex,female,0,5.127659574468085,1
sex,female,1,5.0,1
race,African-American,1,6.76,2
race,African-American,0,5.644670050761421,2
race,Other,0,3.7333333333333334,2
race,Other,1,4.0,2
race,Caucasian,0,4.3652173913043475,2
race,Caucasian,1,3.75,2
race,Hispanic,0,4.375,2
race,Hispanic,1,5.333333333333333,2
sex,male,1,5.372093023255814,2
sex,male,0,5.108108108108108,2
sex,female,0,4.851063829787234,2
sex,female,1,6.0,2
race,African-American,1,6.857142857142857,3
race,African-American,0,6.132275132275132,3
race,Caucasian,0,4.462264150943396,3
race,Caucasian,1,4.571428571428571,3
race,Hispanic,0,3.9642857142857144,3
race,Hispanic,1,9.0,3
race,Other,0,3.3125,3
race,Other,1,7.0,3
sex,male,1,6.4375,3
sex,male,0,5.416666666666667,3
sex,female,0,4.384615384615385,3
sex,female,1,4.5,3
race,Caucasian,0,3.976470588235294,4
race,Caucasian,1,4.0,4
race,African-American,1,7.029411764705882,4
race,African-American,0,5.870646766169155,4
race,Hispanic,0,4.678571428571429,4
race,Other,1,5.4,4
race,Other,0,3.6956521739130435,4
sex,male,0,5.300341296928328,4
sex,male,1,6.214285714285714,4
sex,female,0,4.113636363636363,4
sex,female,1,5.545454545454546,4
