Attribute,Attribute Value,Label,Expected Score,fold_num
race,African-American,0,0.060110057361019605,0
race,African-American,1,0.08517677061056822,0
race,Hispanic,0,0.052409681972108546,0
race,Caucasian,0,0.045693358476899044,0
race,Caucasian,1,0.0484776313354934,0
race,Other,0,0.04095544750892526,0
sex,male,0,0.05269427341045189,0
sex,male,1,0.0704971149005383,0
sex,female,0,0.062118748127905896,0
race,Other,0,0.04601358198176005,1
race,Caucasian,0,0.05274416662338813,1
race,Caucasian,1,0.055393463181408475,1
race,African-American,0,0.05328743842098188,1
race,African-American,1,0.09482371229637761,1
race,Hispanic,0,0.05978945157727933,1
race,Hispanic,1,0.03350707371556218,1
sex,male,0,0.054173791259902945,1
sex,male,1,0.09263072984023725,1
sex,female,0,0.04745282523402437,1
sex,female,1,0.03350707371556218,1
race,African-American,0,0.046326033322937304,2
race,African-American,1,0.0675607734431264,2
race,Other,0,0.0448451547522755,2
race,Caucasian,0,0.045293069252897,2
race,Caucasian,1,0.061086822116233876,2
race,Hispanic,0,0.04090778084586135,2
sex,male,0,0.04642747526938719,2
sex,male,1,0.06453202428434629,2
sex,female,0,0.040514043455219945,2
sex,female,1,0.0704380851439675,2
race,African-American,0,0.05020779931192196,3
race,African-American,1,0.05404221048392828,3
race,Caucasian,1,0.07013170049979867,3
race,Caucasian,0,0.044040635609198034,3
race,Hispanic,0,0.03823012546833154,3
race,Other,0,0.0299079754601227,3
race,Other,1,0.0299079754601227,3
sex,male,0,0.04667798771231413,3
sex,male,1,0.051202888716421736,3
sex,female,0,0.044991872350001225,3
sex,female,1,0.11035542553947462,3
race,Caucasian,1,0.10310107851091457,4
race,Caucasian,0,0.04475039738760329,4
race,African-American,0,0.049100803199163746,4
race,African-American,1,0.0755715263911985,4
race,Hispanic,0,0.041414489501921184,4
race,Hispanic,1,0.13063063063063063,4
race,Other,1,0.13063063063063063,4
race,Other,0,0.04498313514706956,4
sex,male,1,0.09208925766302814,4
sex,male,0,0.04804197427148236,4
sex,female,0,0.0416890007053941,4
sex,female,1,0.06639500901795985,4
