Attribute,Attribute Value,Label,Expected Score,fold_num
race,African-American,0,0.46048877296531115,0
race,African-American,1,0.6461984335693358,0
race,Hispanic,0,0.4240800780076935,0
race,Caucasian,0,0.40484725605410865,0
race,Caucasian,1,0.43473028333146385,0
race,Other,0,0.3889424226881705,0
sex,male,0,0.4355206028501446,0
sex,male,1,0.5616111734741871,0
sex,female,0,0.4417034239200164,0
race,Other,0,0.40769275965681195,1
race,Caucasian,0,0.3764653989125953,1
race,Caucasian,1,0.3997486379907359,1
race,African-American,0,0.43423490422259636,1
race,African-American,1,0.5800038185034152,1
race,Hispanic,0,0.4129133730511855,1
race,Hispanic,1,0.5691767665869171,1
sex,male,0,0.41253200456006806,1
sex,male,1,0.5583437882900827,1
sex,female,0,0.41338669204890083,1
sex,female,1,0.45157472165211715,1
race,African-American,0,0.4370766263750784,2
race,African-American,1,0.5809627641286511,2
race,Other,0,0.42914242762480304,2
race,Caucasian,0,0.3710783627465352,2
race,Caucasian,1,0.5939357975880979,2
race,Hispanic,0,0.3970835560176297,2
sex,male,0,0.4161303388724428,2
sex,male,1,0.584762252904347,2
sex,female,0,0.39056477560479363,2
sex,female,1,0.5967597545973273,2
race,African-American,0,0.4414502206094437,3
race,African-American,1,0.4873152515108326,3
race,Caucasian,1,0.5541025252490032,3
race,Caucasian,0,0.40226557217681347,3
race,Hispanic,0,0.38631930200005304,3
race,Other,0,0.35216177892173217,3
race,Other,1,0.5190842818476105,3
sex,male,0,0.4223039430330466,3
sex,male,1,0.49967340057915177,3
sex,female,0,0.4132307644444954,3
sex,female,1,0.6282372381171282,3
race,Caucasian,1,0.6261720516629004,4
race,Caucasian,0,0.3791768969375405,4
race,African-American,0,0.43903025141408064,4
race,African-American,1,0.5467402619768057,4
race,Hispanic,0,0.4018297276368971,4
race,Hispanic,1,0.7818939001204465,4
race,Other,1,0.5769977298336915,4
race,Other,0,0.4307115932042193,4
sex,male,1,0.5912674732582819,4
sex,male,0,0.42093788600445164,4
sex,female,0,0.41909887792448713,4
sex,female,1,0.5237033980346956,4
