Attribute,Attribute Value,Label,Expected Score,fold_num
race,African-American,0,3.521951219512195,0
race,African-American,1,4.266666666666667,0
race,Hispanic,0,3.5833333333333335,0
race,Caucasian,0,3.1709401709401708,0
race,Caucasian,1,3.7142857142857144,0
race,Other,0,3.0952380952380953,0
race,Other,1,4.0,0
sex,male,0,3.41875,0
sex,male,1,4.045454545454546,0
sex,female,0,3.1914893617021276,0
sex,female,1,4.5,0
race,Other,0,4.357142857142857,1
race,Caucasian,0,3.042016806722689,1
race,Caucasian,1,4.125,1
race,African-American,0,3.61,1
race,African-American,1,4.3478260869565215,1
race,Hispanic,0,3.923076923076923,1
race,Hispanic,1,4.0,1
sex,male,0,3.504823151125402,1
sex,male,1,4.178571428571429,1
sex,female,0,3.2708333333333335,1
sex,female,1,5.0,1
race,African-American,0,3.50990099009901,2
race,African-American,1,4.45,2
race,Other,0,3.6666666666666665,2
race,Other,1,6.0,2
race,Caucasian,0,3.1639344262295084,2
race,Caucasian,1,4.555555555555555,2
race,Hispanic,0,3.3529411764705883,2
race,Hispanic,1,3.0,2
sex,male,0,3.401294498381877,2
sex,male,1,4.5,2
sex,female,0,3.34,2
sex,female,1,3.5,2
race,African-American,0,3.4532019704433496,3
race,African-American,1,4.571428571428571,3
race,Caucasian,1,4.888888888888889,3
race,Caucasian,0,3.284313725490196,3
race,Hispanic,0,2.9285714285714284,3
race,Hispanic,1,2.0,3
race,Other,0,2.5,3
race,Other,1,4.0,3
sex,male,0,3.284789644012945,3
sex,male,1,4.615384615384615,3
sex,female,0,3.575,3
sex,female,1,4.666666666666667,3
race,Caucasian,1,5.0,4
race,Caucasian,0,2.965909090909091,4
race,African-American,0,3.518867924528302,4
race,African-American,1,4.260869565217392,4
race,Hispanic,0,2.5714285714285716,4
race,Other,1,6.0,4
race,Other,0,3.4814814814814814,4
sex,male,1,4.65625,4
sex,male,0,3.3432343234323434,4
sex,female,0,3.076923076923077,4
sex,female,1,3.3333333333333335,4
