Attribute,Attribute Value,Label,Expected Score,fold_num
race,African-American,0,0.0966425711474158,0
race,African-American,1,0.12877723244314015,0
race,Hispanic,0,0.08880910535054715,0
race,Caucasian,0,0.07440092037592708,0
race,Caucasian,1,0.07583082980144414,0
race,Other,0,0.07231560488892105,0
race,Other,1,0.25735294117647056,0
sex,male,0,0.08638415872684604,0
sex,male,1,0.12380268412952672,0
sex,female,0,0.09625000441900805,0
sex,female,1,0.1267605633802817,0
race,Other,0,0.09368646439722357,1
race,Caucasian,0,0.082663621839451,1
race,Caucasian,1,0.08985236867633775,1
race,African-American,0,0.09470376946737806,1
race,African-American,1,0.11541573092116507,1
race,Hispanic,0,0.09816402064232548,1
race,Hispanic,1,0.1437908496732026,1
sex,male,0,0.09286626185028055,1
sex,male,1,0.11220744322987763,1
sex,female,0,0.07833734364988752,1
sex,female,1,0.09384079995853184,1
race,African-American,0,0.08717473559190947,2
race,African-American,1,0.09861062048205776,2
race,Other,0,0.09746470225623799,2
race,Other,1,0.1089238845144357,2
race,Caucasian,0,0.0828742227785255,2
race,Caucasian,1,0.10163253724993894,2
race,Hispanic,0,0.1107898396804515,2
race,Hispanic,1,0.07611282182420026,2
sex,male,0,0.08831590320709987,2
sex,male,1,0.09986097098016805,2
sex,female,0,0.08136259185463794,2
sex,female,1,0.07611282182420026,2
race,African-American,0,0.0876127940789145,3
race,African-American,1,0.08757639663693567,3
race,Caucasian,1,0.09219548653434258,3
race,Caucasian,0,0.07763779973639054,3
race,Hispanic,0,0.06679049209860462,3
race,Hispanic,1,0.059861857252494245,3
race,Other,0,0.05986185725249426,3
race,Other,1,0.059861857252494245,3
sex,male,0,0.0830190858789795,3
sex,male,1,0.08473387977699288,3
sex,female,0,0.07198696823318732,3
sex,female,1,0.1245291158161909,3
race,Caucasian,1,0.1464881820496794,4
race,Caucasian,0,0.08133142777506916,4
race,African-American,0,0.08929706064313452,4
race,African-American,1,0.10775991119661196,4
race,Hispanic,0,0.07494865959282974,4
race,Other,1,0.13636363636363635,4
race,Other,0,0.07996677285892974,4
sex,male,1,0.1206590473163313,4
sex,male,0,0.08724832936393781,4
sex,female,0,0.07518392382822525,4
sex,female,1,0.12170736076986077,4
