Attribute,Attribute Value,Label,Expected Score,fold_num
race,African-American,0,0.08757613726193642,0
race,African-American,1,0.13479521212278292,0
race,Hispanic,0,0.09211264797689754,0
race,Caucasian,0,0.08405627696604062,0
race,Caucasian,1,0.08844132966016724,0
race,Other,0,0.07739975407276116,0
race,Other,1,0.06859456599210455,0
sex,male,0,0.08636917065131869,0
sex,male,1,0.11544548988194943,0
sex,female,0,0.08480119834628268,0
sex,female,1,0.11920292202211755,0
race,Other,0,0.11495947591304621,1
race,Caucasian,0,0.0786379038069865,1
race,Caucasian,1,0.14475850805893067,1
race,African-American,0,0.09016527775249428,1
race,African-American,1,0.12422886895916237,1
race,Hispanic,0,0.10498093346589057,1
race,Hispanic,1,0.11920292202211755,1
sex,male,0,0.0887733178499254,1
sex,male,1,0.13424785701878048,1
sex,female,0,0.08586252468956834,1
sex,female,1,0.09389874400711104,1
race,African-American,0,0.09062913593770965,2
race,African-American,1,0.13869328464794922,2
race,Other,0,0.07370363310514345,2
race,Other,1,0.11920292202211755,2
race,Caucasian,0,0.08346957395178436,2
race,Caucasian,1,0.14519007218989316,2
race,Hispanic,0,0.09994207985548074,2
race,Hispanic,1,0.11920292202211755,2
sex,male,0,0.08753671874468778,2
sex,male,1,0.13739392713956045,2
sex,female,0,0.08934416285724633,2
sex,female,1,0.15818364727378095,2
race,African-American,0,0.0906706818678571,3
race,African-American,1,0.1483135315796919,3
race,Caucasian,1,0.1568093357940529,3
race,Caucasian,0,0.08600644449126611,3
race,Hispanic,0,0.0923678045526423,3
race,Hispanic,1,0.01798620996209156,3
race,Other,0,0.055364132983018434,3
race,Other,1,0.11920292202211755,3
sex,male,0,0.08696693601565492,3
sex,male,1,0.14579992297586103,3
sex,female,0,0.0944536795912261,3
sex,female,1,0.16911575513807675,3
race,Caucasian,1,0.14046513579575212,4
race,Caucasian,0,0.06496308003716651,4
race,African-American,0,0.07757331348084819,4
race,African-American,1,0.0974451795117957,4
race,Hispanic,0,0.0543953370112633,4
race,Other,1,0.11920292202211755,4
race,Other,0,0.07808186523070793,4
sex,male,1,0.10935712472476523,4
sex,male,0,0.07264448357658805,4
sex,female,0,0.07273643798170702,4
sex,female,1,0.13537685111806808,4
