Attribute,Attribute Value,Label,Expected Score,fold_num
race,African-American,0,3.9555555555555557,0
race,African-American,1,4.275,0
race,Hispanic,0,3.7083333333333335,0
race,Caucasian,0,3.2745098039215685,0
race,Caucasian,1,3.6363636363636362,0
race,Other,1,3.8333333333333335,0
race,Other,0,3.2941176470588234,0
sex,male,0,3.7562724014336917,0
sex,male,1,4.0476190476190474,0
sex,female,0,3.25,0
sex,female,1,3.8,0
race,Other,0,4.3076923076923075,1
race,Other,1,6.0,1
race,Caucasian,1,3.933333333333333,1
race,Caucasian,0,3.1875,1
race,African-American,0,4.011049723756906,1
race,African-American,1,4.571428571428571,1
race,Hispanic,0,3.5652173913043477,1
race,Hispanic,1,5.0,1
sex,male,0,3.75177304964539,1
sex,male,1,4.526315789473684,1
sex,female,1,3.8,1
sex,female,0,3.4680851063829787,1
race,African-American,0,3.7906976744186047,2
race,African-American,1,4.1,2
race,Other,0,3.4375,2
race,Other,1,4.333333333333333,2
race,Caucasian,1,4.0,2
race,Caucasian,0,3.2857142857142856,2
race,Hispanic,0,3.5384615384615383,2
race,Hispanic,1,3.3333333333333335,2
sex,male,0,3.640740740740741,2
sex,male,1,4.101449275362318,2
sex,female,1,3.4444444444444446,2
sex,female,0,3.2093023255813953,2
race,African-American,0,4.021857923497268,3
race,African-American,1,4.390243902439025,3
race,Caucasian,1,3.869565217391304,3
race,Caucasian,0,3.2989690721649483,3
race,Hispanic,0,3.2222222222222223,3
race,Hispanic,1,4.0,3
race,Other,0,3.066666666666667,3
race,Other,1,4.0,3
sex,male,0,3.7473684210526317,3
sex,male,1,4.142857142857143,3
sex,female,0,3.27027027027027,3
sex,female,1,4.666666666666667,3
race,Caucasian,1,4.571428571428571,4
race,Caucasian,0,3.211764705882353,4
race,African-American,0,3.9301075268817205,4
race,African-American,1,4.510204081632653,4
race,Hispanic,0,2.8461538461538463,4
race,Hispanic,1,4.5,4
race,Other,0,3.230769230769231,4
race,Other,1,5.5,4
sex,male,1,4.60655737704918,4
sex,male,0,3.7116788321167884,4
sex,female,1,4.0,4
sex,female,0,2.9591836734693877,4
