Attribute,Attribute Value,Label,Expected Score,fold_num
race,African-American,0,0.18908237210031043,0
race,African-American,1,0.2366110692603597,0
race,Hispanic,0,0.13869328464794922,0
race,Caucasian,0,0.12932248001818786,0
race,Caucasian,1,0.1506866892944443,0
race,Other,1,0.12126438924170957,0
race,Other,0,0.146552506147999,0
sex,male,0,0.17137484448796214,0
sex,male,1,0.20003335922378565,0
sex,female,0,0.11891294917810016,0
sex,female,1,0.1810069278487839,0
race,Other,0,0.1715316971508589,1
race,Other,1,0.11920292202211755,1
race,Caucasian,1,0.2099061322452692,1
race,Caucasian,0,0.16305700270125442,1
race,African-American,0,0.20361401784936725,1
race,African-American,1,0.23808332953034284,1
race,Hispanic,0,0.15175476970643872,1
race,Hispanic,1,0.3096014610110588,1
sex,male,0,0.18834082856433595,1
sex,male,1,0.24140258737826875,1
sex,female,1,0.1491506218916931,1
sex,female,0,0.16435488604984183,1
race,African-American,0,0.16708441890661344,2
race,African-American,1,0.182093091748226,2
race,Other,0,0.14727889064984462,2
race,Other,1,0.16911575513807672,2
race,Caucasian,1,0.15860779027155894,2
race,Caucasian,0,0.1432680379887404,2
race,Hispanic,0,0.15375796033316622,2
race,Hispanic,1,0.16911575513807672,2
sex,male,0,0.15802401444564174,2
sex,male,1,0.17779624785389553,2
sex,female,1,0.15247814409942367,2
sex,female,0,0.1505435381646966,2
race,African-American,0,0.1756044079649685,3
race,African-American,1,0.21738816210244996,3
race,Caucasian,1,0.17645802375762312,3
race,Caucasian,0,0.12962370488544606,3
race,Hispanic,0,0.12011912967526951,3
race,Hispanic,1,0.19407217169605634,3
race,Other,0,0.10006237566357067,3
race,Other,1,0.07135155612575036,3
sex,male,0,0.15420139740744157,3
sex,male,1,0.19558270941710948,3
sex,female,0,0.14880702450115002,3
sex,female,1,0.2086562518528736,3
race,Caucasian,1,0.24402646723525565,4
race,Caucasian,0,0.15154177543728492,4
race,African-American,0,0.1817926956578012,4
race,African-American,1,0.24447218982128255,4
race,Hispanic,0,0.1434494166984335,4
race,Hispanic,1,0.38447071068499755,4
race,Other,0,0.13203975416705735,4
race,Other,1,0.15818364727378095,4
sex,male,1,0.2460223524449886,4
sex,male,0,0.16681489178589667,4
sex,female,1,0.24557550988494495,4
sex,female,0,0.1663251101568844,4
