Attribute,Attribute Value,Label,Expected Score,fold_num
race,African-American,0,0.41046968389593924,0
race,African-American,1,0.4771047124123175,0
race,Hispanic,1,0.31515313709599607,0
race,Hispanic,0,0.3669082786466485,0
race,Caucasian,0,0.3415104011684864,0
race,Caucasian,1,0.4010865930939024,0
race,Other,1,0.3383589009060245,0
race,Other,0,0.43979184034015056,0
sex,male,0,0.39576516614084883,0
sex,male,1,0.4503188563308578,0
sex,female,0,0.3228330916238986,0
sex,female,1,0.38321732534285063,0
race,Other,0,0.37163412298333065,1
race,Other,1,0.5,1
race,Caucasian,1,0.46699163162428486,1
race,Caucasian,0,0.4075765685479979,1
race,African-American,1,0.5135916810958827,1
race,African-American,0,0.44462232412999875,1
race,Hispanic,1,0.43068242641099863,1
race,Hispanic,0,0.4184499134247041,1
sex,male,0,0.4174790790607129,1
sex,male,1,0.4983842057438463,1
sex,female,1,0.47111767767124935,1
sex,female,0,0.4743268245966661,1
race,African-American,1,0.5020630230234822,2
race,African-American,0,0.4411850890759987,2
race,Other,1,0.43068242641099863,2
race,Other,0,0.4229804737899984,2
race,Caucasian,1,0.4391951108868407,2
race,Caucasian,0,0.37510347101080804,2
race,Hispanic,0,0.37163412298333065,2
race,Hispanic,1,0.453788284273999,2
sex,male,1,0.4767574210845557,2
sex,male,0,0.42252741775346897,2
sex,female,1,0.4768941421369995,2
sex,female,0,0.3628089689384345,2
race,African-American,1,0.5318701487765525,3
race,African-American,0,0.4315381989244429,3
race,Caucasian,1,0.4084484877126394,3
race,Caucasian,0,0.38619502843596765,3
race,Hispanic,0,0.37896931595571154,3
race,Hispanic,1,0.5577646446575012,3
race,Other,0,0.4422353553424988,3
race,Other,1,0.45378828427399903,3
sex,male,1,0.4946576051183815,3
sex,male,0,0.41681891169319846,3
sex,female,0,0.3804869420879284,3
sex,female,1,0.48349581581214246,3
race,Caucasian,1,0.4724930263535708,4
race,Caucasian,0,0.35812192540262844,4
race,African-American,1,0.5121609778226318,4
race,African-American,0,0.43889359903999864,4
race,Hispanic,1,0.4768941421369995,4
race,Hispanic,0,0.42298047378999837,4
race,Other,1,0.4743268245966661,4
race,Other,0,0.3905511995963134,4
sex,male,1,0.4954694396347059,4
sex,male,0,0.41874863169054816,4
sex,female,1,0.5210053253300004,4
sex,female,0,0.3739680480199972,4
