Attribute,Attribute Value,Label,Expected Score,fold_num
race,African-American,0,5.675675675675675,0
race,African-American,1,5.75,0
race,Hispanic,1,3.0,0
race,Hispanic,0,4.0,0
race,Caucasian,0,4.46875,0
race,Caucasian,1,4.464285714285714,0
race,Other,0,4.6,0
race,Other,1,3.0,0
sex,male,0,5.09349593495935,0
sex,male,1,5.291666666666667,0
sex,female,0,4.972972972972973,0
sex,female,1,4.583333333333333,0
race,Other,0,4.9,1
race,Other,1,4.5,1
race,Caucasian,0,3.9207920792079207,1
race,Caucasian,1,4.461538461538462,1
race,African-American,1,5.88135593220339,1
race,African-American,0,5.7560975609756095,1
race,Hispanic,1,3.8333333333333335,1
race,Hispanic,0,4.476190476190476,1
sex,male,0,5.0,1
sex,male,1,5.309523809523809,1
sex,female,0,5.073170731707317,1
sex,female,1,5.2727272727272725,1
race,African-American,1,6.161290322580645,2
race,African-American,0,5.61875,2
race,Other,1,3.4285714285714284,2
race,Other,0,4.0,2
race,Caucasian,0,4.193548387096774,2
race,Caucasian,1,4.526315789473684,2
race,Hispanic,0,4.333333333333333,2
race,Hispanic,1,5.25,2
sex,male,1,5.24,2
sex,male,0,5.100418410041841,2
sex,female,0,4.463414634146342,2
sex,female,1,6.818181818181818,2
race,African-American,1,6.7534246575342465,3
race,African-American,0,6.0,3
race,Caucasian,0,4.322222222222222,3
race,Caucasian,1,4.933333333333334,3
race,Hispanic,0,3.9565217391304346,3
race,Hispanic,1,4.833333333333333,3
race,Other,0,2.8333333333333335,3
race,Other,1,5.5,3
sex,male,1,6.196261682242991,3
sex,male,0,5.273858921161826,3
sex,female,0,4.257142857142857,3
sex,female,1,5.0,3
race,Caucasian,0,3.8333333333333335,4
race,Caucasian,1,4.37037037037037,4
race,African-American,1,6.619047619047619,4
race,African-American,0,5.825581395348837,4
race,Hispanic,1,3.5,4
race,Hispanic,0,5.0,4
race,Other,1,5.428571428571429,4
race,Other,0,3.5238095238095237,4
sex,male,0,5.286290322580645,4
sex,male,1,5.781609195402299,4
sex,female,0,3.871794871794872,4
sex,female,1,5.6875,4
