Attribute,Attribute Value,Label,Expected Score,fold_num
race,African-American,0,0.1245074102185672,0
race,African-American,1,0.15080476778164362,0
race,Hispanic,1,0.08309067544739353,0
race,Hispanic,0,0.11415427150385911,0
race,Caucasian,0,0.10999557525948528,0
race,Caucasian,1,0.11829227558406627,0
race,Other,0,0.12432394204630712,0
race,Other,1,0.1957598087345022,0
sex,male,0,0.12242428002502675,0
sex,male,1,0.14647721958992568,0
sex,female,0,0.09528943380003838,0
sex,female,1,0.09258722661998375,0
race,Other,0,0.1252334982617373,1
race,Other,1,0.17123300472141034,1
race,Caucasian,0,0.12249159752623062,1
race,Caucasian,1,0.14791554259526446,1
race,African-American,1,0.1443199631349807,1
race,African-American,0,0.13184154582823593,1
race,Hispanic,1,0.139161418060158,1
race,Hispanic,0,0.13556335577113787,1
sex,male,0,0.13002745376727537,1
sex,male,1,0.1455451174661224,1
sex,female,0,0.12038608802770799,1
sex,female,1,0.15043569023027692,1
race,African-American,1,0.15227314452669097,2
race,African-American,0,0.12776311392114803,2
race,Other,1,0.12635646497188435,2
race,Other,0,0.09602165807221684,2
race,Caucasian,0,0.11398055921234583,2
race,Caucasian,1,0.1474069551586167,2
race,Hispanic,0,0.09992016993146739,2
race,Hispanic,1,0.151738126572909,2
sex,male,1,0.14843955845503995,2
sex,male,0,0.12245411293894266,2
sex,female,0,0.10797121189178409,2
sex,female,1,0.15362647020664622,2
race,African-American,1,0.14400305678138997,3
race,African-American,0,0.12492132581919894,3
race,Caucasian,0,0.11114612051402736,3
race,Caucasian,1,0.12228799048242008,3
race,Hispanic,0,0.11624761692531357,3
race,Hispanic,1,0.15268288659845944,3
race,Other,0,0.11636185144181947,3
race,Other,1,0.14234176907342388,3
sex,male,1,0.13953712840358562,3
sex,male,0,0.12102511419298241,3
sex,female,0,0.10769302660105091,3
sex,female,1,0.12756725679521416,3
race,Caucasian,0,0.11313577108960976,4
race,Caucasian,1,0.1315447671497376,4
race,African-American,1,0.1417127370719793,4
race,African-American,0,0.12803670224327315,4
race,Hispanic,1,0.13416563310308346,4
race,Hispanic,0,0.12027511962248805,4
race,Other,1,0.1606646603600079,4
race,Other,0,0.11255356624198785,4
sex,male,0,0.12566810520111427,4
sex,male,1,0.14056186563183246,4
sex,female,0,0.10287373685115431,4
sex,female,1,0.1362734537341716,4
