Attribute,Attribute Value,Label,Expected Score,fold_num
race,African-American,0,0.23677433616631646,0
race,African-American,1,0.26996991201609866,0
race,Hispanic,1,0.17909832176126855,0
race,Hispanic,0,0.2026181575178901,0
race,Caucasian,0,0.20311021171556656,0
race,Caucasian,1,0.19741820321747347,0
race,Other,0,0.201868316746389,0
race,Other,1,0.29604811446403756,0
sex,male,0,0.22266759875030362,0
sex,male,1,0.25662129576695614,0
sex,female,0,0.2068125435811421,0
sex,female,1,0.17612790948491866,0
race,Other,0,0.20904602163084407,1
race,Other,1,0.34703608584802814,1
race,Caucasian,0,0.2357754436818497,1
race,Caucasian,1,0.2699338566943318,1
race,African-American,1,0.28874132903722205,1
race,African-American,0,0.2667529830557938,1
race,Hispanic,1,0.21902858825403593,1
race,Hispanic,0,0.21902858825403587,1
sex,male,0,0.24906214378811684,1
sex,male,1,0.27765428700736566,1
sex,female,0,0.2619517789436686,1
sex,female,1,0.3121249501405758,1
race,African-American,1,0.30200293371279213,2
race,African-American,0,0.258759293730235,2
race,Other,1,0.22615899298488726,2
race,Other,0,0.1940721716960563,2
race,Caucasian,0,0.20582835774651279,2
race,Caucasian,1,0.2402365635524124,2
race,Hispanic,0,0.2244499268728444,2
race,Hispanic,1,0.28927144119052695,2
sex,male,1,0.2724131564857691,2
sex,male,0,0.24349125222711313,2
sex,female,0,0.19621292557142983,2
sex,female,1,0.3047322156603824,2
race,African-American,1,0.3112028131709838,3
race,African-American,0,0.2673853372467243,3
race,Caucasian,0,0.23096161951923466,3
race,Caucasian,1,0.26209957936341993,3
race,Hispanic,0,0.24699654054856013,3
race,Hispanic,1,0.3074511844749959,3
race,Other,0,0.25076167808552613,3
race,Other,1,0.2824947679170164,3
sex,male,1,0.2994145374377783,3
sex,male,0,0.25225658200093365,3
sex,female,0,0.25879874252584845,3
sex,female,1,0.26038911886177635,3
race,Caucasian,0,0.23394487733553426,4
race,Caucasian,1,0.2638733902540135,4
race,African-American,1,0.2887749869517176,4
race,African-American,0,0.27342157073736867,4
race,Hispanic,1,0.3074511844749959,4
race,Hispanic,0,0.23490994424547748,4
race,Other,1,0.3679665264971401,4
race,Other,0,0.21577056825090496,4
sex,male,0,0.2598011012191795,4
sex,male,1,0.28782893135669363,4
sex,female,0,0.23438638305894635,4
sex,female,1,0.29354759244463635,4
