Attribute,Attribute Value,Label,Expected Score,fold_num
race,African-American,0,0.08562026496077911,0
race,African-American,1,0.14732750380147766,0
race,Hispanic,0,0.09506879837615484,0
race,Caucasian,0,0.06976730694536834,0
race,Caucasian,1,0.13639808332484873,0
race,Other,0,0.06523818317437921,0
race,Other,1,0.04244817374136229,0
sex,male,0,0.08055375754772687,0
sex,male,1,0.14494670806975682,0
sex,female,0,0.07638642479352199,0
sex,female,1,0.11345348474318169,0
race,Other,0,0.10622953649464603,1
race,Other,1,0.043795620437956206,1
race,Caucasian,0,0.07692996566754785,1
race,Caucasian,1,0.16693777865015372,1
race,African-American,0,0.10138918202949017,1
race,African-American,1,0.19098606096575588,1
race,Hispanic,0,0.0906458059101624,1
race,Hispanic,1,0.16518665890269152,1
sex,male,0,0.09198361505839152,1
sex,male,1,0.18742881490498076,1
sex,female,0,0.09798681473084103,1
sex,female,1,0.08577909570154096,1
race,African-American,0,0.08619312431763458,2
race,African-American,1,0.26922217336244625,2
race,Other,0,0.10710244537435354,2
race,Other,1,0.19101834282099936,2
race,Caucasian,1,0.13829056798293654,2
race,Caucasian,0,0.06594992116552727,2
race,Hispanic,0,0.09393335801870131,2
race,Hispanic,1,0.15785323175812402,2
sex,male,0,0.08272440474406302,2
sex,male,1,0.2172600482686996,2
sex,female,1,0.15785323175812405,2
sex,female,0,0.06903785623482415,2
race,African-American,0,0.09845348574958925,3
race,African-American,1,0.09942366598001304,3
race,Caucasian,1,0.15082711292043055,3
race,Caucasian,0,0.07682015535803328,3
race,Hispanic,0,0.06351361912537443,3
race,Other,0,0.04802021903959563,3
race,Other,1,0.04802021903959562,3
sex,male,0,0.08764889733895247,3
sex,male,1,0.10710464081019037,3
sex,female,0,0.07962370976108714,3
sex,female,1,0.16225010112941224,3
race,Caucasian,1,0.13867053485970665,4
race,Caucasian,0,0.06942883731043112,4
race,African-American,0,0.0799868395607062,4
race,African-American,1,0.14598255559890402,4
race,Hispanic,0,0.06822015307037668,4
race,Hispanic,1,0.30941850941850946,4
race,Other,1,0.1945945945945946,4
race,Other,0,0.07520922599485437,4
sex,male,1,0.15907438354362258,4
sex,male,0,0.07725397387322733,4
sex,female,0,0.06851077624711319,4
sex,female,1,0.12484135834033258,4
