Attribute,Attribute Value,Label,Expected Score,fold_num
race,African-American,0,3.511764705882353,0
race,African-American,1,3.78,0
race,Hispanic,1,4.666666666666667,0
race,Hispanic,0,3.4285714285714284,0
race,Caucasian,0,3.0384615384615383,0
race,Caucasian,1,4.05,0
race,Other,0,2.9473684210526314,0
race,Other,1,4.25,0
sex,male,0,3.369565217391304,0
sex,male,1,3.8333333333333335,0
sex,female,0,2.9210526315789473,0
sex,female,1,4.363636363636363,0
race,Other,0,4.2727272727272725,1
race,Other,1,4.666666666666667,1
race,Caucasian,1,3.857142857142857,1
race,Caucasian,0,2.9622641509433962,1
race,African-American,0,3.5344827586206895,1
race,African-American,1,4.224489795918367,1
race,Hispanic,0,3.782608695652174,1
race,Hispanic,1,4.75,1
sex,male,0,3.41635687732342,1
sex,male,1,4.114285714285714,1
sex,female,0,3.2,1
sex,female,1,4.714285714285714,1
race,African-American,0,3.408284023668639,2
race,African-American,1,4.188679245283019,2
race,Other,0,3.6,2
race,Other,1,4.5,2
race,Caucasian,1,4.52,2
race,Caucasian,0,2.9622641509433962,2
race,Hispanic,0,3.0,2
race,Hispanic,1,4.0,2
sex,male,0,3.2607003891050583,2
sex,male,1,4.2439024390243905,2
sex,female,1,4.833333333333333,2
sex,female,0,3.152173913043478,2
race,African-American,0,3.4508670520231215,3
race,African-American,1,3.9215686274509802,3
race,Caucasian,1,4.620689655172414,3
race,Caucasian,0,3.1758241758241756,3
race,Hispanic,0,2.8076923076923075,3
race,Hispanic,1,3.6666666666666665,3
race,Other,0,2.4166666666666665,3
race,Other,1,3.1666666666666665,3
sex,male,0,3.23574144486692,3
sex,male,1,4.047058823529412,3
sex,female,0,3.5128205128205128,3
sex,female,1,5.0,3
race,Caucasian,1,4.8,4
race,Caucasian,0,2.7848101265822787,4
race,African-American,0,3.4285714285714284,4
race,African-American,1,4.150943396226415,4
race,Hispanic,0,2.5185185185185186,4
race,Hispanic,1,4.0,4
race,Other,1,4.2,4
race,Other,0,3.4347826086956523,4
sex,male,1,4.347222222222222,4
sex,male,0,3.2281368821292777,4
sex,female,0,2.9583333333333335,4
sex,female,1,4.0,4
