Attribute,Attribute Value,Label,Expected Score,fold_num
race,African-American,0,0.20868636779744398,0
race,African-American,1,0.24445681714434161,0
race,Hispanic,1,0.2031586021505376,0
race,Hispanic,0,0.2019959594311648,0
race,Caucasian,0,0.18656172506630003,0
race,Caucasian,1,0.2288410544015375,0
race,Other,0,0.18531975646359924,0
race,Other,1,0.17736895161290323,0
sex,male,0,0.2022767619043717,0
sex,male,1,0.23637183819207272,0
sex,female,0,0.17930805704518354,0
sex,female,1,0.2289156579522057,0
race,Other,0,0.25911891926540753,1
race,Other,1,0.1934058921397389,1
race,Caucasian,1,0.2324507953893389,1
race,Caucasian,0,0.19662233284686675,1
race,African-American,0,0.23144595067842283,1
race,African-American,1,0.30550661491909786,1
race,Hispanic,0,0.22155106796413512,1
race,Hispanic,1,0.3164666920028232,1
sex,male,0,0.22056220141699664,1
sex,male,1,0.2896746603481787,1
sex,female,0,0.21618473763857726,1
sex,female,1,0.20287843632427519,1
race,African-American,0,0.19377671548502245,2
race,African-American,1,0.280170552609764,2
race,Other,0,0.19665022544331437,2
race,Other,1,0.27423951921705453,2
race,Caucasian,1,0.25259643845799223,2
race,Caucasian,0,0.17559079474554173,2
race,Hispanic,0,0.15823396516645055,2
race,Hispanic,1,0.3146235639962953,2
sex,male,0,0.1901630815311199,2
sex,male,1,0.26462130795706496,2
sex,female,1,0.408283743022328,2
sex,female,0,0.16295156815895376,2
race,African-American,0,0.2050382833604086,3
race,African-American,1,0.24237219073518912,3
race,Caucasian,1,0.223513779262758,3
race,Caucasian,0,0.166037293775953,3
race,Hispanic,0,0.1772188547337243,3
race,Hispanic,1,0.20363108206245462,3
race,Other,0,0.19558683872409363,3
race,Other,1,0.18964383709694269,3
sex,male,0,0.1938311935935039,3
sex,male,1,0.2294983213827678,3
sex,female,0,0.16815756737530585,3
sex,female,1,0.271070069337094,3
race,Caucasian,1,0.2847328954293014,4
race,Caucasian,0,0.18086697403982752,4
race,African-American,0,0.22584534522008298,4
race,African-American,1,0.29097164001845227,4
race,Hispanic,0,0.18996498791066793,4
race,Hispanic,1,0.2994350282485876,4
race,Other,1,0.26842962195359066,4
race,Other,0,0.20511925650660678,4
sex,male,1,0.28793587648948943,4
sex,male,0,0.21199006296812364,4
sex,female,0,0.19761989149635628,4
sex,female,1,0.28947926576247013,4
