Attribute,Attribute Value,AUC,fold_num
race,African-American,0.5333529411764706,0
race,Hispanic,0.7826086956521738,0
race,Caucasian,0.5305460099274533,0
race,Other,0.8618421052631579,0
sex,male,0.5348444008821367,0
sex,female,0.7159090909090909,0
race,Other,0.7708333333333334,1
race,Caucasian,0.5255847953216374,1
race,African-American,0.5709766925638179,1
race,Hispanic,0.24545454545454543,1
sex,male,0.554567180031864,1
sex,female,0.6291989664082688,1
race,African-American,0.5808068892296803,2
race,Other,0.30833333333333335,2
race,Caucasian,0.5506230529595015,2
race,Hispanic,0.7333333333333334,2
sex,male,0.5691483936766956,2
sex,female,0.5238095238095237,2
race,African-American,0.5351307189542484,3
race,Caucasian,0.648888888888889,3
race,Hispanic,0.75,3
race,Other,0.8111111111111111,3
sex,male,0.5840872925664923,3
sex,female,0.6607142857142857,3
race,Caucasian,0.6670270270270272,4
race,African-American,0.5553514226493311,4
race,Hispanic,0.27884615384615385,4
race,Other,0.6304347826086957,4
sex,male,0.5952581091772152,4
sex,female,0.6585365853658537,4
