Attribute,Attribute Value,AUC,fold_num
race,African-American,0.6071764705882352,0
race,Hispanic,0.30434782608695654,0
race,Caucasian,0.5250095456281023,0
race,Other,0.5394736842105263,0
sex,male,0.5675079637343788,0
sex,female,0.6613636363636364,0
race,Other,0.8125,1
race,Caucasian,0.4485867446393762,1
race,African-American,0.5482796892341842,1
race,Hispanic,0.2181818181818182,1
sex,male,0.5203929899097185,1
sex,female,0.5555555555555555,1
race,African-American,0.6010970862333372,2
race,Other,0.5666666666666667,2
race,Caucasian,0.5883956386292835,2
race,Hispanic,0.49166666666666664,2
sex,male,0.5847016828148903,2
sex,female,0.6682539682539683,2
race,African-American,0.5976579520697167,3
race,Caucasian,0.44499999999999995,3
race,Hispanic,0.9166666666666666,3
race,Other,0.6111111111111112,3
sex,male,0.5586269606728802,3
sex,female,0.5853174603174603,3
race,Caucasian,0.6683783783783784,4
race,African-American,0.49778594309402674,4
race,Hispanic,0.30769230769230765,4
race,Other,0.4391304347826087,4
sex,male,0.5340684335443038,4
sex,female,0.6001742160278746,4
