Attribute,Attribute Value,AUC,fold_num
race,African-American,0.63,0
race,Hispanic,1.0,0
race,Caucasian,0.5948835433371515,0
race,Other,0.5921052631578947,0
sex,male,0.6094094584660622,0
sex,female,0.7090909090909091,0
race,Other,0.9166666666666667,1
race,Caucasian,0.5692007797270955,1
race,African-American,0.5894561598224196,1
race,Hispanic,0.42727272727272725,1
sex,male,0.6012745618693575,1
sex,female,0.5478036175710594,1
race,African-American,0.6208564350595729,2
race,Other,0.5666666666666667,2
race,Caucasian,0.596183800623053,2
race,Hispanic,0.6666666666666667,2
sex,male,0.6132075471698113,2
sex,female,0.6285714285714286,2
race,African-American,0.6541394335511983,3
race,Caucasian,0.6192592592592593,3
race,Hispanic,0.7820512820512819,3
race,Other,0.9111111111111112,3
sex,male,0.6410547851784497,3
sex,female,0.7698412698412698,3
race,Caucasian,0.6886486486486486,4
race,African-American,0.5691539476163557,4
race,Hispanic,0.38461538461538464,4
race,Other,0.6347826086956522,4
sex,male,0.6077432753164558,4
sex,female,0.6445993031358885,4
